"lang"
{ 
	"Language" "vietnamese" 
	"Tokens" 
	{

		"DOTA_ItemOnSale"		"ƯU ĐÃI!"

		"Debut_Persona_Mirana_Feature_4_Title" 						"<span class='bullettitle'>800+ lời thoại độc quyền cho phiên bản nhân cách</span>"
		"Debut_Persona_Mirana_Feature_4_Desc" 						"Với tài năng lồng tiếng Lara Pulver trong vai Mirana, một chất giọng kinh điển khác từ DOTA: Dòng máu rồng tham gia chiến trường các Ancient."

		"Debut_Persona_Mirana_Feature_5_Title" 						"<span class='bullettitle'>Mở khóa thêm các vật phẩm</span>"
		"Debut_Persona_Mirana_Feature_5_Desc" 						"Tăng cấp Battle để mở khóa kiểu giáp từ những ngày Mirana còn làm chỉ huy binh đoàn Dark Moon đáng sợ của Selemene."

		"Debut_Persona_Mirana_Feature_6_Title" 						"<span class='bullettitle'>Hiệu ứng Starstorm và Sacred Arrow mới</span>"
		"Debut_Persona_Mirana_Feature_6_Desc" 						"Triệu gọi phong cách anime của Nightsilver với hiệu ứng Starstorm và Sacred Arrow mới từ Mirana."		
		
		"Debut_Persona_Mirana_AlternateStyle" 						"Bộ Dark Moon - Mở khóa tại cấp 235"

	// DROW RANGER ARCANA GAME
		"DOTA_DrowRangerArcana_Title"									"Arcana cho Drow"
		"DOTA_DrowRangerArcana_Score"									"{s:current_score}/{d:unlock_value}"
		"DOTA_DrowRangerArcana_Label"									"Tiến độ Arcana"
		"DOTA_DrowRangerArcana_Description:p{unlock_value}"				"Diệt {d:unlock_value} mục tiêu báo thù trong các trận thắng."
		"DOTA_DrowRangerArcana_Description_Tooltip"						"Trận đấu trong chế độ Turbo chỉ được tính một nửa tiến độ."
		"DOTA_DrowRangerArcana_VictimHeader"							"Trả thù ngay!"
		"DOTA_DrowRangerArcana_RevengeHeader"							"Thù đã được trả!"
		"DOTA_DrowRangerArcana_VictimSelfDescription"					"<b>{s:revenge_target_hero}</b> đã kết liễu bạn! Giết chúng, giành chiến thắng trận này cùng đồng đội để tiến gần hơn tới việc mở khóa kiểu dáng khác!"
		"DOTA_DrowRangerArcana_VictimSelfDescription_Reward"			"<b>{s:revenge_target_hero}</b> đã kết liễu bạn! Giết chúng, giành chiến thắng trận này cùng đồng đội để lãnh phần thưởng Battle Pass và báo thù xưa!"
		"DOTA_DrowRangerArcana_RevengeCompleteDescription"				"Bạn đã báo thù <b>{s:revenge_target_hero}</b> thành công, giành chiến thắng trận này cùng đồng đội để tiến gần hơn tới việc mở khóa kiểu dáng khác!"
		"DOTA_DrowRangerArcana_RevengeCompleteDescription_Reward"		"Bạn đã báo thù <b>{s:revenge_target_hero}</b> thành công, giành chiến thắng trận này cùng đồng đội để lãnh phần thưởng Battle Pass!"

		"DOTA_DrowRangerArcana_WeeklyEvent"						"Sự kiện tuần"
		"DOTA_DrowRangerArcana_WeeklyEvent_Desc"				"Sự kiện <span class=\"arcana_title\">Dread Retribution</span> được kích hoạt trong trận này! Tham gia <b>báo thù</b> để đem về phần thưởng hằng tuần."
		"DOTA_DrowRangerArcana_WeeklyEvent_Tooltip"				"Sự kiện Dread Retribution được kích hoạt trong suốt thời gian hiệu lực của Battle Pass."
		
		"DOTA_DrowRangerArcana_HowToPlay"						"Hướng dẫn chơi"
		"DOTA_DrowRangerArcana_HowToPlay_Desc"					"Khi lần đầu chết, kẻ giết bạn sẽ bị đánh dấu thành <b>mục tiêu trả thù</b>. Khi trả thù bằng cách giết chúng ít nhất một lần trong trận đấu, và đội của bạn thắng, bạn sẽ nhận kho báu Aghanim's Helping Hand. Drow Ranger cũng sẽ nhận thêm điểm để mở khóa kiểu dáng với bất kỳ <b>báo thù</b> nào đến từ đồng minh."
		"DOTA_DrowRangerArcana_HowToPlay_Tooltip"					"Sẽ tính mạng giết nếu bạn gây sát thương tới mục tiêu 2 giây trước khi chúng chết."

		"DOTA_DrowRangerArcana_RewardTitle"						"Dread Retribution"
		"DOTA_DrowRangerArcana_RewardText"						"Bạn đã báo thù thành công và nhận Aghanim's Helping Hand."

		"KillEaterEvent_DrowRanger_ArcanaProgress"						"Tiến độ trả thù"
		"KillEaterEvent_DrowRanger_ArcanaFlawlessVictories"				"Chiến thắng hoàn mỹ"
		
		"DOTA_DrowRangerArcanaFlawlessVictory"				"Chiến thắng hoàn mỹ"
		"DOTA_DrowRangerArcanaRevengeKills"					"Báo thù"

		"DOTA_DrowRangerArcana_ArcanaProgress_Score"					"{s:current_score} / {d:unlock_value}"
		"DOTA_DrowRangerArcana_ArcanaProgress_Description"				"Đạt {d:unlock_value} tiến độ báo thù để mở khóa kiểu dáng phụ"

		"DOTA_Style_DrowRanger_Arcana_Style0"	"Cold of Heart"
		"DOTA_Style_DrowRanger_Arcana_Style1"	"Master of Madness"
		
	//DROW ARCANA DEBUT
		"Debut_Arcana_DrowRanger_Intro" 								"Bộ Arcana mới cho Drow Ranger" 
		"Debut_Arcana_DrowRanger_Lore"									"Qua đôi mắt mặt nạ điên, Traxex đã nhìn thấy những ký ức lãng quên của tuổi thanh xuân. Nhưng cũng kèm theo nỗi ám ảnh luôn tìm ẩn, mặt nạ cũng hé lộ thêm nhiều nữa—ác mộng mà đôi mắt khác đã trải qua. Giờ, ngay cả khi đã đặt mặt nạ sang một bên, cô vẫn phải vùng vẫy để vượt qua những ham muốn tự diệt nguy hiểm nhất được giải phóng bởi tà ác đã đốt hằn sau đôi mắt này. Trong vòng xoáy thù ghét, thuốc chữa duy nhất chính là báo thù... lên tất cả nạn nhân cả gan cản đường."
		"Debut_Arcana_DrowRanger_Equip" 								"Khi trang bị, vật phẩm Arcana này có các hiệu ứng nâng cấp sau cho Drow Ranger:"

		"Debut_Arcana_DrowRanger_PlaySample" 							"Nhấp để nghe lời thoại mẫu"

		"Debut_Arcana_DrowRanger_Feature_1_Title" 						"<span class='bullettitle'>Mô hình và bệ đài mới</span>"
		"Debut_Arcana_DrowRanger_Feature_1_Desc" 						"Mô hình và bệ đài mới của Drow Ranger đã được biến hóa tà ma như tâm trí của cô và giờ hợp hoàn hảo với con đường đẫm máu Traxex đi."

		"Debut_Arcana_DrowRanger_Feature_2_Title" 						"<span class='bullettitle'>Hiệu ứng & cử động mới</span>"
		"Debut_Arcana_DrowRanger_Feature_2_Desc" 						"Bao gồm loạt các cử động và hiệu ứng nền hoàn toàn mới, cũng như hiệu ứng mới cho Frost Arrow, Gust, Multishot và Marksmanship."

		"Debut_Arcana_DrowRanger_Feature_3_Title" 						"<span class='bullettitle'>Tân trang toàn diện cho tướng</span>"
		"Debut_Arcana_DrowRanger_Feature_3_Desc" 						"Bao gồm biểu tượng báo hiệu báo thù mới, thanh vận pháp dành riêng cho Multishot, ảnh chân dung, biểu tượng kỹ năng, biểu tượng bản đồ nhỏ, và biểu tượng vật phẩm cho khi trang bị Hurricane Pike, Satanic, và Daedalus."

		"Debut_Arcana_DrowRanger_Feature_4_Title" 						"<span class='bullettitle'>800+ lời thoại mới chỉ có cho phiên bản Arcana</span>"
		"Debut_Arcana_DrowRanger_Feature_4_Desc" 						"Drow Ranger có lời thoại mới do diễn viên lồng tiếng nguyên tác thực hiện để phản ánh sự thay đổi nghiệt ngã trong tâm hồn cô, bao gồm phản hồi đặc biệt với các nạn nhân báo thù."

		"Debut_Arcana_DrowRanger_Feature_5_Title" 						"<span class='bullettitle'>Hiệu ứng giết mới và vật phẩm đặc biệt</span>"
		"Debut_Arcana_DrowRanger_Feature_5_Desc" 						"Bao gồm hiệu ứng giết mới cho nạn nhân của Drow Ranger, cũng như hiệu ứng chối bỏ mới. Ngoài ra còn có thêm hiệu ứng đặc biệt khi hút máu và dùng Force Staff."

		"Debut_Arcana_DrowRanger_Feature_6_Title" 						"<span class='bullettitle'>Kiểu dáng thứ hai có thể mở khóa</span>"
		"Debut_Arcana_DrowRanger_Feature_6_Desc" 						"Chốt các mạng giết báo thù qua nhiều trận thắng để mở khóa kiểu dáng Master of Madness."

	//CAVERN CRAWL SET STYLES
	
	"DOTA_Style_Slark_TI10_Cavern_Crawl_Head_0"		"Tellurian Trespass"
	"DOTA_Style_Slark_TI10_Cavern_Crawl_Head_1"		"Shadowpass"
	"DOTA_Style_Slark_TI10_Cavern_Crawl_Head_2"		"Full Throttle"
	"DOTA_Style_Slark_TI10_Cavern_Crawl_Weapon_0"		"Tellurian Trespass"
	"DOTA_Style_Slark_TI10_Cavern_Crawl_Weapon_1"		"Shadowpass"
	"DOTA_Style_Slark_TI10_Cavern_Crawl_Weapon_2"		"Full Throttle"
	"DOTA_Style_Slark_TI10_Cavern_Crawl_Arms_0"		"Tellurian Trespass"
	"DOTA_Style_Slark_TI10_Cavern_Crawl_Arms_1"		"Shadowpass"
	"DOTA_Style_Slark_TI10_Cavern_Crawl_Arms_2"		"Full Throttle"
	"DOTA_Style_Slark_TI10_Cavern_Crawl_Back_0"		"Tellurian Trespass"
	"DOTA_Style_Slark_TI10_Cavern_Crawl_Back_1"		"Shadowpass"
	"DOTA_Style_Slark_TI10_Cavern_Crawl_Back_2"		"Full Throttle"
	"DOTA_Style_Slark_TI10_Cavern_Crawl_Shoulder_0"		"Tellurian Trespass"
	"DOTA_Style_Slark_TI10_Cavern_Crawl_Shoulder_1"		"Shadowpass"
	"DOTA_Style_Slark_TI10_Cavern_Crawl_Shoulder_2"		"Full Throttle"
	
	"DOTA_Style_Nyx_TI10_Cavern_Crawl_Weapon_0"		"Gilded Worship"
	"DOTA_Style_Nyx_TI10_Cavern_Crawl_Weapon_1"		"Gilded Slayer"
	"DOTA_Style_Nyx_TI10_Cavern_Crawl_Weapon_2"		"Ultimate Worship"
	"DOTA_Style_Nyx_TI10_Cavern_Crawl_Head_0"		"Gilded Worship"
	"DOTA_Style_Nyx_TI10_Cavern_Crawl_Head_1"		"Gilded Slayer"
	"DOTA_Style_Nyx_TI10_Cavern_Crawl_Head_2"		"Ultimate Worship"
	"DOTA_Style_Nyx_TI10_Cavern_Crawl_Back_0"		"Gilded Worship"
	"DOTA_Style_Nyx_TI10_Cavern_Crawl_Back_1"		"Gilded Slayer"
	"DOTA_Style_Nyx_TI10_Cavern_Crawl_Back_2"		"Ultimate Worship"
	"DOTA_Style_Nyx_TI10_Cavern_Crawl_Misc_0"		"Gilded Worship"
	"DOTA_Style_Nyx_TI10_Cavern_Crawl_Misc_1"		"Gilded Slayer"
	"DOTA_Style_Nyx_TI10_Cavern_Crawl_Misc_2"		"Ultimate Worship"
	
	"DOTA_Style_Spirit_Breaker_TI10_Cavern_Crawl_Weapon_0"		"Echoes of Ultoria"
	"DOTA_Style_Spirit_Breaker_TI10_Cavern_Crawl_Weapon_1"		"Ultorian Guard"
	"DOTA_Style_Spirit_Breaker_TI10_Cavern_Crawl_Weapon_2"		"Ultorian Charger"
	"DOTA_Style_Spirit_Breaker_TI10_Cavern_Crawl_Arms_0"		"Echoes of Ultoria"
	"DOTA_Style_Spirit_Breaker_TI10_Cavern_Crawl_Arms_1"		"Ultorian Guard"
	"DOTA_Style_Spirit_Breaker_TI10_Cavern_Crawl_Arms_2"		"Ultorian Charger"
	"DOTA_Style_Spirit_Breaker_TI10_Cavern_Crawl_Belt_0"		"Echoes of Ultoria"
	"DOTA_Style_Spirit_Breaker_TI10_Cavern_Crawl_Belt_1"		"Ultorian Guard"
	"DOTA_Style_Spirit_Breaker_TI10_Cavern_Crawl_Belt_2"		"Ultorian Charger"
	"DOTA_Style_Spirit_Breaker_TI10_Cavern_Crawl_Head_0"		"Echoes of Ultoria"
	"DOTA_Style_Spirit_Breaker_TI10_Cavern_Crawl_Head_1"		"Ultorian Guard"
	"DOTA_Style_Spirit_Breaker_TI10_Cavern_Crawl_Head_2"		"Ultorian Charger"
	"DOTA_Style_Spirit_Breaker_TI10_Cavern_Crawl_Shoulders_0"		"Echoes of Ultoria"
	"DOTA_Style_Spirit_Breaker_TI10_Cavern_Crawl_Shoulders_1"		"Ultorian Guard"
	"DOTA_Style_Spirit_Breaker_TI10_Cavern_Crawl_Shoulders_2"		"Ultorian Charger"
	"DOTA_Style_Spirit_Breaker_TI10_Cavern_Crawl_Tail_0"		"Echoes of Ultoria"
	"DOTA_Style_Spirit_Breaker_TI10_Cavern_Crawl_Tail_1"		"Ultorian Guard"
	"DOTA_Style_Spirit_Breaker_TI10_Cavern_Crawl_Tail_2"		"Ultorian Charger"
	
	//AGHANIM'S LAB 2021 CAVERN CRAWL SET STYLES
	
	"DOTA_Style_Guardian_of_the_Forest_Legs_0" "Redfall"
	"DOTA_Style_Guardian_of_the_Forest_Legs_1" "Winterleaf"
	"DOTA_Style_Guardian_of_the_Forest_Arms_0" "Redfall"
	"DOTA_Style_Guardian_of_the_Forest_Arms_1" "Winterleaf"
	"DOTA_Style_Guardian_of_the_Forest_Head_0" "Redfall"
	"DOTA_Style_Guardian_of_the_Forest_Head_1" "Winterleaf"
	"DOTA_Style_Guardian_of_the_Forest_Shoulder_0" "Redfall"
	"DOTA_Style_Guardian_of_the_Forest_Shoulder_1" "Winterleaf"
	
	"DOTA_Style_Old_Man_Gondar_Armor_0" "Autumn Stalker"
	"DOTA_Style_Old_Man_Gondar_Armor_1" "The Long Night"
	"DOTA_Style_Old_Man_Gondar_Back_0" "Autumn Stalker"
	"DOTA_Style_Old_Man_Gondar_Back_1" "The Long Night"
	"DOTA_Style_Old_Man_Gondar_OffHand_0" "Autumn Stalker"
	"DOTA_Style_Old_Man_Gondar_OffHand_1" "The Long Night"
	"DOTA_Style_Old_Man_Gondar_Head_0" "Autumn Stalker"
	"DOTA_Style_Old_Man_Gondar_Head_1" "The Long Night"
	"DOTA_Style_Old_Man_Gondar_Shoulder_0" "Autumn Stalker"
	"DOTA_Style_Old_Man_Gondar_Shoulder_1" "The Long Night"
	"DOTA_Style_Old_Man_Gondar_Weapon_0" "Autumn Stalker"
	"DOTA_Style_Old_Man_Gondar_Weapon_1" "The Long Night"
	
	"DOTA_Style_FV_The_hollow_Belt_0" "Horizon's Maw"
	"DOTA_Style_FV_The_hollow_Belt_1" "Oblivion's Fate"
	"DOTA_Style_FV_The_hollow_Body__Head_0" "Horizon's Maw"
	"DOTA_Style_FV_The_hollow_Body__Head_1" "Oblivion's Fate"
	"DOTA_Style_FV_The_hollow_Arms_0" "Horizon's Maw"
	"DOTA_Style_FV_The_hollow_Arms_1" "Oblivion's Fate"
	"DOTA_Style_FV_The_hollow_Weapon_0" "Horizon's Maw"
	"DOTA_Style_FV_The_hollow_Weapon_1" "Oblivion's Fate"
	"DOTA_Style_FV_The_hollow_Shoulder_0" "Horizon's Maw"
	"DOTA_Style_FV_The_hollow_Shoulder_1" "Oblivion's Fate"

	// Consumables
	"DOTA_Tooltip_ability_seasonal_ti10_portal"												"Cổng triệu hồi"
	"DOTA_Tooltip_ability_seasonal_ti10_portal_Description"									"Không hứa hẹn, không lừa dối. Hứa nhiều, giết kẻ nói ta dối lừa."
	"npc_dota_seasonal_ti10_disco_ball"														"Quả Cầu Disco"
	"DOTA_Tooltip_ability_seasonal_ti10_disco_ball"											"Quả Cầu Disco"
	"DOTA_Tooltip_ability_seasonal_ti10_disco_ball_Description"								"Sức mạnh hồi phục của điệu nhảy này sẽ không làm bạn tăng khả năng hồi máu. Nhưng đó không phải là lý do mà ta nhảy."
	"DOTA_Tooltip_ability_seasonal_ti10_hot_potato"											"Ớt Nóng"
	"DOTA_Tooltip_ability_seasonal_ti10_hot_potato_Description"								"Ném một trái ớt nóng vào tướng khác--dù là bạn hay thù. Ớt sẽ phát nổ sau một khoảng thời gian ngẫu nhiên. Chớ dại mà cầm lâu nhé!"
	"DOTA_Tooltip_ability_seasonal_ti10_hot_potato_throw_existing_potato"					"Ném quả ớt đó đi!"
	"DOTA_Tooltip_ability_seasonal_ti10_hot_potato_throw_existing_potato_Description"		"Ném quả ớt nóng đi trước khi nó nổ! Ném vào đồng đội hoặc tướng địch."
	"DOTA_Tooltip_modifier_seasonal_ti10_hot_potato"										"Ớt Nóng"
	"DOTA_Tooltip_modifier_seasonal_ti10_hot_potato_Description"							"Chớ dại cầm quả Ớt Nóng biết nổ này!"
	"DOTA_Tooltip_modifier_seasonal_ti10_hot_potato_debuff"									"Sốt Cay Ớt Nóng"
	"DOTA_Tooltip_modifier_seasonal_ti10_hot_potato_debuff_Description"						"Bạn đã cầm ớt. Rồi nó phát nổ!"
	"DOTA_Tooltip_ability_seasonal_ti10_soccer_ball"										"Quả Bóng Đá"
	"DOTA_Tooltip_ability_seasonal_ti10_soccer_ball_Description"							"Không cần biết chúng ta đang chơi trò gì. Ta hạ hết."
	"DOTA_Tooltip_ability_seasonal_ti10_guild_banner"										"Cờ hội"
	"DOTA_Tooltip_ability_seasonal_ti10_guild_banner_Description"							"Đất này hội ta chiếm, cờ này hội ta cắm, chớ mà mơ qua đây, vẹn toàn được cái mạng!"
	"DOTA_Tooltip_ability_seasonal_ti10_high_five"											"Đập tay"
	"DOTA_Tooltip_ability_seasonal_ti10_high_five_Description"								"Giơ bàn tay (hoặc cái gì đó giống tay) của bạn lên cao nào!"

	"DOTA_TI_REWARDS_High_Five_Effect"						"Hiệu ứng theo mùa - Đập tay"
	"DOTA_TI_REWARDS_High_Five_Effect_Lvl_1"				"Hiệu ứng đập tay theo mùa cấp 1"
	"DOTA_TI_REWARDS_High_Five_Effect_Lvl_2"				"Hiệu ứng đập tay theo mùa cấp 2"
	"DOTA_TI_REWARDS_High_Five_Effect_Lvl_3"				"Hiệu ứng đập tay theo mùa cấp 3"

	"DOTA_TI_REWARDS_Aghanim_Effect_Lvl_2"							"Hiệu ứng hào quang Aghanim's Scepter cấp 1"
	"DOTA_TI_REWARDS_Aghanim_Effect_Lvl_3"							"Hiệu ứng hào quang Aghanim's Scepter cấp 2"

	"DOTA_Reward_Phase_Boots_Effect_1"							"Hiệu ứng Phase Boots cấp 1"
	"DOTA_Reward_Phase_Boots_Effect_2"							"Hiệu ứng Phase Boots cấp 2"

	"DOTA_TI_REWARDS_Kill_Streak_Effect_Lvl_1"				"Hiệu ứng chuỗi giết theo mùa cấp 1"

	"DOTA_TI_BattlePass_Bounties_Base"				"Có tới 2 xu treo thưởng mỗi tuần"
	"DOTA_TI_BattlePass_Bounties_Upgrade_1"			"Thêm xu treo thưởng hàng tuần"
	"DOTA_TI_BattlePass_Bounties_Upgrade_2"			"Thêm xu treo thưởng hàng tuần"


	"DOTA_HighFive_Completed"	"%s1 và %s2 vừa đập tay với nhau."
	"DOTA_HighFive_LeftHanging"	"%s1 chờ mãi mà chẳng ai chịu đập tay mình."

	"DOTA_QuickstatsDamageBreakdown_Title"		"Sát thương nhận"
	"DOTA_QuickstatsDamageBreakdownRaw_Title"		"Sát thương nhận (Gốc)"
	"DOTA_QuickstatsOutgoingDamageBreakdown_Title"		"Sát thương gây ra"
	"DOTA_QuickstatsOutgoingDamageBreakdownRaw_Title"		"Sát thương gây ra (Gốc)"

	"DOTA_QuickstatsDamageBreakdown_Physical"			"{d:physical_damage_percent}%"
	"DOTA_QuickstatsDamageBreakdown_Physical_Verbose"	"{d:physical_damage_percent}% Vật lý"
	"DOTA_QuickstatsDamageBreakdown_Magical"			"{d:magical_damage_percent}%"
	"DOTA_QuickstatsDamageBreakdown_Magical_Verbose"	"{d:magical_damage_percent}% Phép"
	"DOTA_QuickstatsDamageBreakdown_Pure"				"{d:pure_damage_percent}%"
	"DOTA_QuickstatsDamageBreakdown_Pure_Verbose"		"{d:pure_damage_percent}% Thuần"

	"DOTA_LaneSelectionDescription" "Tìm trận đấu xếp hạng theo vai trò cụ thể cho bản thân. Đội của bạn sẽ bao gồm một đi đường dễ, một đường giữa, một đường khó, và hai người chơi hỗ trợ."
	"DOTA_LaneSelectionLabel" 		"Chọn đường"
	"DOTA_LaneSelectionNone"		"<Chọn đường>"
	"DOTA_LaneSelection_FasterQueue" "Xếp trận nhanh hơn"

	"DOTA_LaneSelectionSafelane"	"Đường dễ"
	"DOTA_LaneSelectionMidlane"		"Đường giữa"
	"DOTA_LaneSelectionOfflane"		"Đường khó"
	"DOTA_LaneSelectionOther"		"Hỗ trợ"
	"DOTA_LaneSelectionSoftSupport"	"Bán hỗ trợ"
	"DOTA_LaneSelectionHardSupport"	"Chuyên hỗ trợ"
	"DOTA_LaneSelectionNoneAssigned" "Chưa gán vai trò nào"

    "DOTA_LaneSelection_RoleCall"           "Chọn vai trò"
    "DOTA_LaneSelection_RoleCall_Reward"    "+25"
    "DOTA_LaneSelection_RoleCall_Reward2"   "+50"
    "DOTA_LaneSelection_RoleCall_Desc"      "Cải thiện trải nghiệm cho các trận đấu của cộng đồng Dota bằng cách chơi các vai trò được ít người chọn hơn, và nhận lấy phần thưởng lên đến 1000 pha lê Dota Plus mỗi tuần."
    "DOTA_LaneSelection_RoleCall_Award"     "Phần thưởng chọn vai trò"

    "DOTA_LaneSelection_PartyRoles"         "Vị trí trong nhóm"

	"DOTA_TopBar_LaneSelectionSafelane"	    "Đường dễ"
	"DOTA_TopBar_LaneSelectionMidlane"		"Đường giữa"
	"DOTA_TopBar_LaneSelectionOfflane"		"Đường khó"
	"DOTA_TopBar_LaneSelectionOther"		"Hỗ trợ"
	"DOTA_TopBar_LaneSelectionSoftSupport"	"Bán hỗ trợ"
	"DOTA_TopBar_LaneSelectionHardSupport"	"Chuyên hỗ trợ"

    "DOTA_RR_RoleQueue"                     "Hàng chờ vai trò"
    "DOTA_RR_NoRoleQueue"                   "Không có trận đấu theo vai trò"
    "DOTA_RR_RolePerformanceTitle"			"Phong độ xếp trận theo vai trò"

    "DOTA_RR_RoleHandicapTitle"				"Phong độ vai trò (xếp hạng)"	
    "DOTA_RR_RoleHandicapExplain"			"Dựa theo kết quả trong các trận đấu theo vai trò của bạn, hệ thống sẽ điều chỉnh hạng của bạn dựa theo phong độ của từng vai trò khi tìm trận. Điều này giúp bạn tìm được các trận đấu công bằng hơn bất kể vai trò hay cách chơi của bạn."

    "DOTA_Play_RR_Roles"                    "Đã chọn {d:party_role_total}/5 vai"
    "DOTA_Play_RR_PartyEligible"            "Trận đấu xếp theo vai"
    "DOTA_Play_RR_PartyQPEmpty"             "Một số người trong nhóm hết lượt dùng xếp trận theo vai. Chọn toàn bộ vai trò để tham gia hàng chờ theo vai."
    "DOTA_Play_RR_PartyGainingQP"           "Nhóm của bạn đủ cả 5 vai. Mỗi người chơi sẽ được một lượt dùng tìm trận theo vai."

    "DOTA_Play_RR_SoloEarningQP:p{earn_amount}"		"Bạn sẽ nhận {d:earn_amount} trận xếp hạng theo vai trò."
    "DOTA_Play_RR_PartyEarningQP:p{earn_amount}"	"Mỗi thành viên nhóm sẽ nhận {d:earn_amount} trận xếp hạng theo vai trò."
    "DOTA_Play_RR_FiveStack"                "Nhóm đủ 5 người sẽ luôn có thể nhận đấu xếp hạng theo vai trò."
    "DOTA_Play_RR_HighDemand"               "Đã chọn tất cả vai trò nhu cầu cao. Chọn tất cả vai trò để nhận thêm trận đấu xếp theo vai."

	"DOTA_Play_RR_SoloSpendingQP"			"Bạn sẽ dùng một trận đấu theo vai."
	"DOTA_Play_RR_PartySpendingQP"			"Mỗi thành viên trong nhóm sẽ dùng một trận đấu theo vai."

	"DOTA_Play_RR_SoloMissingQP"			"Bạn phải chọn ít nhất cả hai vai trò Hỗ trợ."
	"DOTA_Play_RR_SoloMissingQP_Tooltip"	"Chọn 2 vai trò Hỗ trợ sẽ cho bạn đấu xếp hạng theo vai trong trận này. Chọn tất cả vai sẽ cho phép bạn nhận lượt tìm trận đấu theo vai mình muốn trong tương lai."
	"DOTA_Play_RR_PartyMissingQP"			"Nhóm của bạn cần phải xếp trận có cả 2 vai trò Hỗ trợ."
	"DOTA_Play_RR_PartyMissingQP_Tooltip"	"Nếu nhóm chọn cả 2 vai trò Hỗ trợ, bạn có thể chơi xếp hạng theo vai. Chọn tất cả vai trò sẽ cho phép bạn nhận thêm các trận đấu theo vai trong tương lai với tư cách bất kì vai nào."

    "DOTA_RR_NonEligibleWarningTitle"      "Bạn không có trận đấu xếp theo vai"
    "DOTA_RR_NonEligibleWarning"           "Bạn có muốn xếp theo tất cả vai?<br>Hệ thông xếp trận sẽ tự chọn bạn một vai trò trong trận đấu này và bạn sẽ nhận được {d:earn_amount} trận xếp theo vai để dùng trong tương lai."
    "DOTA_RR_QueueAllRoles"                "Xếp theo tất cả vai"
	"DOTA_RR_QueueAllRoles_Supplement1"	    "(Nhận trận đấu xếp theo vai trong tương lai)"
    "DOTA_RR_QueueNormalPriority"          "Tìm trận xếp hạng cổ điển"
	"DOTA_RR_QueueNormalPriority_Supplement1"	"(Không ép buộc vai trò)"	

    "DOTA_RRParty_NonEligibleWarningTitle"				"Nhóm của bạn không đủ điều kiện để chơi xếp hạng theo vai."
    "DOTA_RRParty_NonEligibleWarning:p{earn_amount}"	"Một người trong nhóm hết lượt dùng xếp trận theo vai trò.<br>Tìm trận cho mọi vai trò sẽ giúp mỗi người chơi nhận {d:earn_amount} trận theo vai trò để dùng trong tương lai."
    "DOTA_RRParty_EditPartyRoles"						"Sửa vai trò nhóm"
    "DOTA_RRParty_QueueNormalPriority"					"Tìm trận xếp hạng cổ điển"
	"DOTA_RRParty_QueueNormalPriority_Supplement1"		"(Không ép buộc vai nào)"

    "DOTA_RR_SoloEarningQP"			        "Nếu chọn tất cả các vai, bạn sẽ nhận được {d:earn_amount} trận đấu xếp theo vai trong tương lai."
    "DOTA_RR_PartyEarningQP:p{earn_amount}"	"Bởi vì nhóm đã chọn tất cả vai trò, mỗi thành viên sẽ nhận {d:earn_amount} trận xếp hạng theo vai trò."
    "DOTA_RR_FiveStack"				        "Nhóm đủ người luôn đạt điều kiện chơi xếp hạng theo vai trò, nhưng không nhận được thêm trận dùng sau này."
    "DOTA_RR_SoloHighDemand"                "Bạn đã chọn tất cả vai trò nhu cầu cao. Chọn các vai trò còn lại nếu bạn muốn nhận thêm trận đấu xếp theo vai dùng trong tương lai."
    "DOTA_RR_PartyHighDemand"               "Nhóm đã chọn tất cả vai trò nhu cầu cao. Chọn các vai trò còn lại nếu bạn muốn nhận thêm trận đấu xếp theo vai dùng trong tương lai."

	"DOTA_RR_HighDemandRole_Title"		    "Vai trò nhu cầu cao"
	"DOTA_RR_HighDemandRole_Description"	"Vai trò này có nhu cầu cao. Nếu nhóm của bạn tìm trận với tất cả vai trò có nhu cầu cao, bạn sẽ không cần lượt dùng xếp trận theo vai để đánh xếp hạng."

	"DOTA_RR_SoloSpendingQP"			    "Bạn sẽ dùng một trận đấu theo vai và nhận vai trò bạn mong muốn."
	"DOTA_RR_PartySpendingQP"			    "Mỗi thành viên nhóm sẽ dùng một trận đấu theo vai và nhận vai trò họ mong muốn."
	
	"DOTA_RR_GamesRemaining_None_Party"		"Có người trong nhóm hết lần dùng xếp trận theo vai"
	"DOTA_RR_GamesRemaining_None"			"Không có trận đấu xếp theo vai"
	"DOTA_RR_GamesRemaining:p{games_remaining}" "Còn {d:games_remaining} trận xếp hạng theo vai trò"

	"DOTA_RR_EarnGames:p{earn_amount}"		"Nhận được {d:earn_amount} trận"
	"DOTA_RR_SpendGames:p{spend_amount}"	"Dùng {d:spend_amount} trận"

	"DOTA_RR_Reason"						"Xếp trận với tất cả vai trò sẽ giúp hệ thống xếp các trận đấu tốt hơn và nhanh hơn cho tất cả mọi người."

	"DOTA_Achievement"	"Thành tựu"

	"DOTA_EventName_International2018"	"Battle Pass The International 2018"
	"DOTA_EventNameShort_International2018"	"The International 2018"

	"DOTA_SeasonPass_International2018_Rewards_Expire_Date"			"10 tháng 9, 2018"
	"DOTA_SeasonPass_International2018_BattlePass_EndDate"			"Kết thúc vào 10 tháng 9, 2018"
 	"DOTA_SeasonPass_SecondaryTabHeader_CavernCrawl"				"Cavern Crawl"

