"lang"
{ 
	"Language" "german" 
	"Tokens" 
	{
		// To create a new key ( like $health ) just add the entry here
		"dota_ability_variable_health"				"Lebenspunkte"					// $health
		"dota_ability_variable_mana"				"Mana"						// $mana
		"dota_ability_variable_armor"				"Rüstung"						// $armor
		"dota_ability_variable_damage"				"Schaden"					// $damage
		"dota_ability_variable_str"					"Stärke"					// $str
		"dota_ability_variable_int"					"Intelligenz"				// $int
		"dota_ability_variable_agi"					"Agilität"					// $agi
		"dota_ability_variable_all"					"Alle Attribute"			// $all
		"dota_ability_variable_primary_attribute"	"Primärattribut"			// $primary_attribute
		"dota_ability_variable_attack"				"Angriffstempo"				// $attack
		"dota_ability_variable_hp_regen"			"Lebensregeneration"		// $hp_regen
		"dota_ability_variable_lifesteal"			"Lebensraub"					// $lifesteal
		"dota_ability_variable_mana_regen"			"Manaregeneration"			// $mana_regen
		"dota_ability_variable_mana_regen_aura"		"Manaregeneration (Aura)"	// $mana_regen_aura
		"dota_ability_variable_spell_amp"			"Zauberschaden"				// $spell_amp
		"dota_ability_variable_debuff_amp"			"Schwächungsdauer"			// $debuff_amp
		"dota_ability_variable_move_speed"			"Bewegungstempo"			// $move_speed
		"dota_ability_variable_evasion"				"Ausweichen"					// $evasion
		"dota_ability_variable_spell_resist"		"Magieresistenz"			// $spell_resist
		"dota_ability_variable_spell_lifesteal"		"Zauberlebensraub"			// $spell_lifesteal
		"dota_ability_variable_spell_lifesteal_creep"	"Zauberlebensraub (Diener)"	// $spell_lifesteal_creep
		"dota_ability_variable_spell_lifesteal_hero"	"Zauberlebensraub (Helden)"	// $spell_lifesteal_hero
		"dota_ability_variable_selected_attrib"		"Ausgewähltes Attribut"		// $selected_attribute
		"dota_ability_variable_attack_range"		"Angriffsreichweite <font color='#7d7d7d'>(nur Fernkampf)</font>"	// $attack_range
		"dota_ability_variable_attack_range_melee"	"Angriffsreichweite <font color='#7d7d7d'>(Nur Nahkampf)</font>"	// $attack_range_melee
		"dota_ability_variable_cast_range"			"Zauberreichweite"				// $cast_range
		"dota_ability_variable_status_resist"		"Statusresistenz"			// $status_resist
		"dota_ability_variable_projectile_speed"	"Projektiltempo"			// $projectile_speed
		"dota_ability_variable_manacost_reduction"	"Manakostenreduzierung"		// $manacost_reduction
		"dota_ability_variable_cooldown_reduction"	"Abklingzeitreduzierung"		// $cooldown_reduction 
		"dota_ability_variable_max_mana_percentage"	"Max. Manabonus"			// $max_mana_percentage

		"dota_ability_variable_damage_int_hero"	"Schaden (Intelligenzheld)"
		"DOTA_Tooltip_ability_item_refresher_Lore"								"Ein mächtiges Artefakt, welches für Zauberer geschaffen wurde."
		"DOTA_Tooltip_ability_item_refresher_bonus_health_regen"				"+$hp_regen"
		"DOTA_Tooltip_ability_item_refresher_bonus_mana_regen"					"+$mana_regen"
		
		"DOTA_Tooltip_ability_item_relic_Lore"									"Eine altertümliche Waffe, die oft den Ausgang einer Schlacht ändert."
		"DOTA_Tooltip_ability_item_relic_bonus_damage"							"+$damage"
		
		"DOTA_Tooltip_ability_item_ring_of_basilius_Description"				"<h1>Passiv: Basilius' Aura</h1>Gewährt Verbündeten %aura_mana_regen% Manaregeneration.<br><br>Radius: %aura_radius%"
		"DOTA_Tooltip_ability_item_ring_of_basilius_Lore"						"Ein Ring, der den größten Magiern als Belohnung gegeben wurde."
		//"DOTA_Tooltip_ability_item_ring_of_basilius_bonus_all_stats"			"+$all"
		"DOTA_Tooltip_ability_item_ring_of_basilius_mana_regen"						"+$mana_regen"

		
		"DOTA_Tooltip_ability_item_holy_locket_Description"				"<h1>Aktiv: Energie aufladen</h1>Stellt bei der ausgewählten verbündeten Einheit pro Aufladung sofort %restore_per_charge% Lebenspunkte und Mana wieder her.<br><br>Max. %max_charges% Aufladungen. Sammelt automatisch eine Aufladung alle %charge_gain_timer% Sekunden und wenn ein sichtbarer Gegner im Umkreis von %charge_radius% Einheiten eine Fähigkeit einsetzt.\n\n<h1>Passiv: Göttlicher Segen</h1>Verstärkt die vom Träger gewirkten Heileffekte um %heal_increase% %%.\n\n<h1>Passiv: Regenerationsaura</h1>Gewährt Verbündeten %aura_health_regen% Lebensregeneration.<br><br>Radius: %aura_radius%"
		"DOTA_Tooltip_ability_item_holy_locket_bonus_health"					"+$health"
		"DOTA_Tooltip_ability_item_holy_locket_bonus_mana"					"+$mana"
		"DOTA_Tooltip_ability_item_holy_locket_health_regen"				"+$hp_regen"
		"DOTA_Tooltip_ability_item_holy_locket_bonus_all_stats"					"+$all"
		"DOTA_Tooltip_ability_item_holy_locket_Lore"		"Ein wertvolles Relikt, das nach einem gescheiterten Kreuzzug für immer verloren schien."

		"DOTA_Tooltip_modifier_item_holy_locket_aura"				"Holy Locket (Aura)"
		"DOTA_Tooltip_modifier_item_holy_locket_aura_Description"	"Regeneriert %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% LP pro Sekunde."

		
		"DOTA_Tooltip_modifier_item_ring_of_basilius_effect"				"Basilius' Aura"
		"DOTA_Tooltip_modifier_item_ring_of_basilius_effect_Description"	"Manaregeneration um %fMODIFIER_PROPERTY_MANA_REGEN_CONSTANT% erhöht."

		
		"DOTA_Tooltip_modifier_item_necronomicon_mana_aura"				"Necronomicon – Manaregenerationsaura"
		"DOTA_Tooltip_modifier_item_necronomicon_mana_aura_Description"	"Manaregeneration um %fMODIFIER_PROPERTY_MANA_REGEN_CONSTANT% erhöht."

		
		"DOTA_Tooltip_modifier_item_necronomicon_mana_aura_2"				"Necronomicon – Manaregenerationsaura (Level 2)"
		"DOTA_Tooltip_modifier_item_necronomicon_mana_aura_2_Description"	"Manaregeneration um %-2fMODIFIER_PROPERTY_MANA_REGEN_CONSTANT% erhöht."

		
		"DOTA_Tooltip_modifier_item_necronomicon_mana_aura_3"				"Necronomicon – Manaregenerationsaura (Level 3)"
		"DOTA_Tooltip_modifier_item_necronomicon_mana_aura_3_Description"	"Manaregeneration um %fMODIFIER_PROPERTY_MANA_REGEN_CONSTANT% erhöht."

		"DOTA_Tooltip_ability_item_ring_of_health_Lore"							"Ein glänzender Ring, der unter der Leiche eines fetten Halblings gefunden wurde."
		"DOTA_Tooltip_ability_item_ring_of_health_bonus_health_regen"			"+$hp_regen"
		
		"DOTA_Tooltip_ability_item_ring_of_protection_Lore"						"Ein schimmernder Ring, der seinen Träger beschützt."
		"DOTA_Tooltip_ability_item_ring_of_protection_bonus_armor"				"+$armor"
		
		"DOTA_Tooltip_ability_item_ring_of_regen_Lore"							"Dieser Ring gilt unter den Gnomen als Glücksbringer."
		"DOTA_Tooltip_ability_item_ring_of_regen_bonus_health_regen"			"+$hp_regen"
		
		"DOTA_Tooltip_ability_item_ring_of_tarrasque_Lore"			"Ein uralter Ring, geschmiedet mit eigentlich recht simpler Blutmagie, welche allerdings durch den mutmaßlichen Ursprung seiner Schlüsselkomponente verstärkt wurde."
		"DOTA_Tooltip_ability_item_ring_of_tarrasque_bonus_health_regen"			"+$hp_regen"
		"DOTA_Tooltip_ability_item_ring_of_tarrasque_bonus_health"				"+$health"
		
		"DOTA_Tooltip_ability_item_robe_Lore"									"Dieser Umhang verdirbt die Seele ihres Trägers, gibt ihm im Ausgleich aber Weisheit zurück."
		"DOTA_Tooltip_ability_item_robe_bonus_intellect"						"+$int"
		
		"DOTA_Tooltip_ability_item_rod_of_atos_Description"						"<h1>Aktiv: Verkrüppeln</h1> Setzt das Ziel für %duration% Sekunden fest.<br><br>Reichweite: %abilitycastrange%"
		"DOTA_Tooltip_ability_item_rod_of_atos_Lore"							"Atos, der Herr der Fäule, bewahrt seine Essenz in diesem trügerisch einfachen Stab auf."
		"DOTA_Tooltip_ability_item_rod_of_atos_bonus_intellect"					"+$int"
		"DOTA_Tooltip_ability_item_rod_of_atos_bonus_strength"					"+$str"
		"DOTA_Tooltip_ability_item_rod_of_atos_bonus_agility"					"+$agi"
		//"DOTA_Tooltip_ability_item_rod_of_atos_duration"						"CRIPPLE DURATION:"
		
		"DOTA_Tooltip_modifier_rod_of_atos_debuff"				"Rod of Atos"
		"DOTA_Tooltip_modifier_rod_of_atos_debuff_Description"	"Festgesetzt. Kann sich nicht bewegen."

		"DOTA_Tooltip_ability_item_sange_Lore"									"Sange ist eine ungewöhnlich genaue Waffe, die von alleine nach Schwachstellen sucht."
		"DOTA_Tooltip_ability_item_sange_bonus_strength"						"+$str"		
		"DOTA_Tooltip_ability_item_sange_status_resistance"					"%+Statusresistenz"
		"DOTA_Tooltip_ability_item_sange_hp_regen_amp"							"%+Lebensregeneration und Lebensraub"

		
		"DOTA_Tooltip_ability_item_kaya_and_sange_Lore"							"Zwei von drei bekannten Gegenständen von unvorstellbarer Macht, von denen viele glauben, dass sie in der gleichen Zauberschmiede hergestellt wurden."
		"DOTA_Tooltip_ability_item_kaya_and_sange_bonus_damage"							"+$damage"
		"DOTA_Tooltip_ability_item_kaya_and_sange_bonus_strength"						"+$str"
		"DOTA_Tooltip_ability_item_kaya_and_sange_bonus_intellect"					"+$int"
		"DOTA_Tooltip_ability_item_kaya_and_sange_spell_amp"					"%+Zauberverstärkung"
		"DOTA_Tooltip_ability_item_kaya_and_sange_mana_regen_multiplier"				"%+Manaregenerationsverstärkung"
		"DOTA_Tooltip_ability_item_kaya_and_sange_status_resistance"					"%+Statusresistenz"
		"DOTA_Tooltip_ability_item_kaya_and_sange_hp_regen_amp"							"%+Lebensregeneration und Lebensraub"
		"DOTA_Tooltip_ability_item_kaya_and_sange_spell_lifesteal_amp"				"%+Zauberlebensraubverstärkung"

		
		"DOTA_Tooltip_ability_item_yasha_and_kaya_Lore"					"Yasha und Kaya harmonieren sehr gut miteinander."
		"DOTA_Tooltip_ability_item_yasha_and_kaya_bonus_intellect"					"+$int"
		"DOTA_Tooltip_ability_item_yasha_and_kaya_spell_amp"					"%+Zauberverstärkung"
		"DOTA_Tooltip_ability_item_yasha_and_kaya_mana_regen_multiplier"				"%+Manaregenerationsverstärkung"
		"DOTA_Tooltip_ability_item_yasha_and_kaya_bonus_agility"							"+$agi"
		"DOTA_Tooltip_ability_item_yasha_and_kaya_bonus_attack_speed"					"+$attack"
		"DOTA_Tooltip_ability_item_yasha_and_kaya_movement_speed_percent_bonus"			"%+$move_speed"
		"DOTA_Tooltip_ability_item_yasha_and_kaya_spell_lifesteal_amp"				"%+Zauberlebensraubverstärkung"


		"DOTA_Tooltip_modifier_sange_buff"						"Lähmung"
		"DOTA_Tooltip_modifier_sange_buff_Description"			"Bewegungstempo um %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE% %% und Angriffstempo um %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% verringert."

		"DOTA_Tooltip_ability_item_heavens_halberd_Description"							"<h1>Aktiv: Entwaffnen</h1>Hindert ein Ziel am Angreifen. Hält bei Nahkämpfern für %disarm_melee% Sekunden und bei Fernkämpfern für %disarm_range% Sekunden an.<br><br>Reichweite: %abilitycastrange%"
		"DOTA_Tooltip_ability_item_heavens_halberd_Lore"								"Diese Hellebarde lässt sich mit der Geschwindigkeit einer kleineren Waffe führen, was ihrem Träger erlaubt, Kämpfe zu gewinnen, die eine schwere Klinge nicht gewinnen würde."
		"DOTA_Tooltip_ability_item_heavens_halberd_bonus_evasion"						"%+$evasion"
		"DOTA_Tooltip_ability_item_heavens_halberd_bonus_strength"						"+$str"
		"DOTA_Tooltip_ability_item_heavens_halberd_status_resistance"					"%+Statusresistenz"
		"DOTA_Tooltip_ability_item_heavens_halberd_hp_regen_amp"							"%+Lebensregeneration und Lebensraub"

		"DOTA_Tooltip_modifier_heavens_halberd_buff"						"Lähmung"
		"DOTA_Tooltip_modifier_heavens_halberd_buff_Description"			"Bewegungstempo um %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE% %% und Angriffstempo um %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% verringert."
		"DOTA_Tooltip_modifier_heavens_halberd_debuff"						"Entwaffnung"
		"DOTA_Tooltip_modifier_heavens_halberd_debuff_Description"			"Durch Heaven's Halberd entwaffnet, kann nicht angreifen."

		"DOTA_Tooltip_ability_item_sange_and_yasha_Note0"						"Yasha-basierende Bewegungstempoboni mehrerer Gegenstände werden nicht aufsummiert."
		"DOTA_Tooltip_ability_item_sange_and_yasha_Lore"						"Sange & Yasha ergeben, zusammen und auf das Licht des Mondes abgestimmt, eine mächtige Kombination."
		"DOTA_Tooltip_ability_item_sange_and_yasha_bonus_strength"				"+$str"
		"DOTA_Tooltip_ability_item_sange_and_yasha_bonus_agility"				"+$agi"
		"DOTA_Tooltip_ability_item_sange_and_yasha_bonus_attack_speed"			"+$attack"
		"DOTA_Tooltip_ability_item_sange_and_yasha_movement_speed_percent_bonus"	"%+$move_speed"		
		"DOTA_Tooltip_ability_item_sange_and_yasha_status_resistance"					"%+Statusresistenz"
		"DOTA_Tooltip_ability_item_sange_and_yasha_hp_regen_amp"							"%+Lebensregeneration und Lebensraub"
		
		"DOTA_Tooltip_modifier_sange_and_yasha_buff"			"Lähmung"
		"DOTA_Tooltip_modifier_sange_and_yasha_buff_Description" "Bewegungstempo um %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE% %% und Angriffstempo um %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% verringert."

		"DOTA_Tooltip_ability_item_satanic_Description"							"<h1>Aktiv: Gottlose Wut</h1>Erhöht %unholy_duration% Sekunden lang den Lebensraub um %unholy_lifesteal_total_tooltip% %%.<br><br>Entzauberung: <span class=\"GameplayValues GameplayVariable\">Standard</span> \n<h1>Passiv: Lebensraub</h1>Heilt den Angreifer um einen Anteil des verursachten Angriffsschadens. Der Lebensraubeffekt wird um %creep_lifesteal_reduction_pct% %% reduziert, wenn eine niedere Einheit angegriffen wird."
		"DOTA_Tooltip_ability_item_satanic_Lore"								"Ungeheure Macht auf Kosten Ihrer Seele."
		"DOTA_Tooltip_ability_item_satanic_bonus_strength"						"+$str"
		"DOTA_Tooltip_ability_item_satanic_bonus_damage"						"+$damage"
		"DOTA_Tooltip_ability_item_satanic_lifesteal_percent"					"%+$lifesteal"
		//"DOTA_Tooltip_ability_item_satanic_unholy_lifesteal_total_tooltip"		"%UNHOLY RAGE LIFESTEAL:"
		//"DOTA_Tooltip_ability_item_satanic_unholy_duration"					    "UNHOLY RAGE DURATION:"

		"DOTA_Tooltip_modifier_item_satanic_unholy"				"Gottlose Wut"
		"DOTA_Tooltip_modifier_item_satanic_unholy_Description"			"Lebensraub um %dMODIFIER_PROPERTY_TOOLTIP% %% erhöht."
		
		"DOTA_Tooltip_ability_item_sheepstick_Description"						"<h1>Aktiv: Verhexen</h1>Verwandelt das Ziel für %sheep_duration% Sekunden in eine harmlose Kreatur. Das Ziel bewegt sich mit einem Grundbewegungstempo von %sheep_movement_speed%, wird verstummt, kann nicht angreifen und keine Gegenstände einsetzen.<br>Zerstört Illusionen sofort.<br><br>Reichweite: %abilitycastrange%"
		"DOTA_Tooltip_ability_item_sheepstick_Note0"							"Das Bewegungstempo des Ziels wird auf %sheep_movement_speed% reduziert. Effekte die maximales Bewegungstempo gewähren werden allerdings nicht deaktiviert."
		"DOTA_Tooltip_ability_item_sheepstick_Lore"								"Das vom Kult von Vyse am besten geschützte Relikt ist ebenfalls die meistbegehrteste Waffe unter den Magiern."
		"DOTA_Tooltip_ability_item_sheepstick_bonus_strength"					"+$str"
		"DOTA_Tooltip_ability_item_sheepstick_bonus_agility"					"+$agi"
		"DOTA_Tooltip_ability_item_sheepstick_bonus_intellect"					"+$int"
		"DOTA_Tooltip_ability_item_sheepstick_bonus_mana_regen"					"+$mana_regen"
		//"DOTA_Tooltip_ability_item_sheepstick_sheep_duration"					"HEX DURATION:"

		"DOTA_Tooltip_modifier_sheepstick_debuff"				"Pigged"
		"DOTA_Tooltip_modifier_sheepstick_debuff_Description"	"Sie sind ein Schwein. Sie können weder angreifen noch Zauber wirken."

		"DOTA_Tooltip_ability_item_shivas_guard_Description"					"<h1>Aktiv: Arktische Explosion</h1>Stößt eine Frostwelle aus, die Gegnern %blast_damage% Magieschaden zufügt und deren Bewegungstempo für %blast_debuff_duration% Sekunden um %blast_movement_speed% %% verringert.<br><br>Radius: %blast_radius%\n<h1>Passiv: Frostaura</h1>Verringert Angriffstempo von Gegnern um %aura_attack_speed% und jede Heilung, Regeneration und Lebensraub um %hp_regen_degen_aura% %%.<br><br>Radius: %aura_radius%"
		"DOTA_Tooltip_ability_item_shivas_guard_Lore"							"Man sagt, dass es angeblich einer Göttin gehörte und bis heute einen Großteil seiner ehemaligen Macht behalten hat."
		"DOTA_Tooltip_ability_item_shivas_guard_Note0"							"Die Welle dehnt sich mit einer Geschwindigkeit von %blast_speed% bis zu einer maximalen Größe von %blast_radius% aus."
		"DOTA_Tooltip_ability_item_shivas_guard_Note1"							"Arctic Blast folgt dem Anwender."
		"DOTA_Tooltip_ability_item_shivas_guard_Note2" 							"Mehrere Instanzen von Freezing Aura werden nicht aufsummiert."
		"DOTA_Tooltip_ability_item_shivas_guard_bonus_intellect"				"+$int"
		"DOTA_Tooltip_ability_item_shivas_guard_bonus_armor"					"+$armor"
		//"DOTA_Tooltip_ability_item_shivas_guard_aura_attack_speed"				"AURA ATTACK SLOW:"
		//"DOTA_Tooltip_ability_item_shivas_guard_blast_damage"					"BLAST DAMAGE:"
		//"DOTA_Tooltip_ability_item_shivas_guard_blast_movement_speed"			"%BLAST MOVEMENT SLOW:"
		//"DOTA_Tooltip_ability_item_shivas_guard_blast_debuff_duration"			"BLAST SLOW DURATION:"
		//"DOTA_Tooltip_ability_item_shivas_guard_blast_radius"						"BLAST RADIUS:"
		
		"DOTA_Tooltip_modifier_item_shivas_guard_aura"				"Frostaura"
		"DOTA_Tooltip_modifier_item_shivas_guard_aura_Description"	"Angriffstempo um %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% und Regeneration um %dMODIFIER_PROPERTY_LIFESTEAL_AMPLIFY_PERCENTAGE% %% verringert."
		"DOTA_Tooltip_modifier_item_shivas_guard_blast"				"Arktische Explosion"
		"DOTA_Tooltip_modifier_item_shivas_guard_blast_Description"	"Bewegung um %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE% %% verlangsamt."

		"DOTA_Tooltip_ability_item_skadi_Description"							"<h1>Passiv: Eisangriff</h1>Angriffe reduzieren für %cold_duration% Sekunden das Bewegungs- und Angriffstempo des Ziels sowie Heilung, Lebensregeneration, Lebensraub und Zauberlebensraub um %heal_reduction% %%. Getroffene gegnerische Fernkämpfer verlieren %cold_slow_ranged% %% Bewegungs- und %cold_attack_slow_ranged% Angriffstempo. Getroffene gegnerische Nahkämpfer verlieren %cold_slow_melee% %% Bewegungs- und %cold_attack_slow_melee% Angriffstempo."
		"DOTA_Tooltip_ability_item_skadi_Lore"									"Extrem seltenes Artefakt, wurde von den Azurdrachen bewacht."
		"DOTA_Tooltip_ability_item_skadi_bonus_all_stats"						"+$all"
		"DOTA_Tooltip_ability_item_skadi_bonus_health"							"+$health"
		"DOTA_Tooltip_ability_item_skadi_bonus_mana"							"+$mana"
		//"DOTA_Tooltip_ability_item_skadi_cold_movement_speed"					"%COLD MOVE SLOW:"
		//"DOTA_Tooltip_ability_item_skadi_cold_attack_speed"						"COLD ATTACK SLOW:"
		//"DOTA_Tooltip_ability_item_skadi_cold_duration_melee"						"COLD MELEE DURATION:"
		//"DOTA_Tooltip_ability_item_skadi_cold_duration_ranged"					"COLD RANGED DURATION:"
		
		"DOTA_Tooltip_modifier_item_skadi_slow"					"Eisangriff (Eye of Skadi)"
		"DOTA_Tooltip_modifier_item_skadi_slow_Description"		"Heilungseffekte, Lebensregeneration, Lebens- und Zauberlebensraub um %dMODIFIER_PROPERTY_LIFESTEAL_AMPLIFY_PERCENTAGE% %% reduziert. Bewegungstempo um %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE% %% und Angriffstempo um %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% reduziert."

		"DOTA_Tooltip_ability_item_slippers_Lore"								"Leichte Schuhe aus Schlangenhaut, die Ihre Sinne schärfen."
		"DOTA_Tooltip_ability_item_slippers_bonus_agility"						"+$agi"
		
		"DOTA_Tooltip_ability_item_sobi_mask_Lore"								"Eine Maske, die häufig von Magiern und Hexenmeistern für verschiedene Rituale benutzt wird."
		"DOTA_Tooltip_ability_item_sobi_mask_bonus_mana_regen"					"+$mana_regen"
				
		"DOTA_Tooltip_ability_item_soul_booster_Lore"					"Fassen Sie neuen Mut."
		"DOTA_Tooltip_ability_item_soul_booster_bonus_health"					"+$health"
		"DOTA_Tooltip_ability_item_soul_booster_bonus_mana"						"+$mana"
		//"DOTA_Tooltip_ability_item_soul_booster_bonus_magical_armor"			"%+$spell_resist"		

		"DOTA_Tooltip_ability_item_soul_ring_Description"						"<h1>Aktiv: Opfer</h1> Wandelt %health_sacrifice% Lebenspunkte in %mana_gain% temporäres Mana um. Hält 10 Sekunden an.<br><br>Sollte das zusätzliche Mana nicht in Ihren Manavorrat passen, wird ein Manapuffer erstellt, der zuerst verbraucht wird."
		"DOTA_Tooltip_ability_item_soul_ring_Lore"								"Ein Ring, der von den Seelen derer, die ihn tragen, genährt wird."
		"DOTA_Tooltip_ability_item_soul_ring_Note0"								"Wenn das zusätzliche Mana nicht innerhalb der Dauer genutzt wird, verschwindet es."
		"DOTA_Tooltip_ability_item_soul_ring_bonus_strength"						"+$str"
		"DOTA_Tooltip_ability_item_soul_ring_bonus_armor"					"+$armor"
		//"DOTA_Tooltip_ability_item_soul_ring_duration"								"SACRIFICE DURATION:"
		
		"DOTA_Tooltip_modifier_item_soul_ring_buff"				"Opfer"
		"DOTA_Tooltip_modifier_item_soul_ring_buff_Description"	"Mana auf Kosten von Lebenspunkten erhöht. Zusätzliches Mana geht nach Ende der Effektdauer verloren."

		"DOTA_Tooltip_ability_item_staff_of_wizardry_Lore"						"Ein Stab mit magischen Kräften, der von den ältesten Magiern weitergegeben wird."
		"DOTA_Tooltip_ability_item_staff_of_wizardry_bonus_intellect"			"+$int"
				
		"DOTA_Tooltip_ability_item_stout_shield_Description"					"<h1>Passiv: Schadenblock</h1>Gewährt eine %block_chance%%%ige Chance, dass Nahkampfhelden %damage_block_melee% Schaden und Fernkampfhelden %damage_block_ranged% Angriffsschaden blocken."
		"DOTA_Tooltip_ability_item_stout_shield_Lore"							"Der Weinfassboden des einen ist der Schild des anderen."
		"DOTA_Tooltip_ability_item_stout_shield_Note0"							"Lässt sich nicht in Verbindung mit anderen Arten von Schadenblock verwenden."
"DOTA_Tooltip_ability_item_venomous_shield_Lore"						" "
		
		"DOTA_Tooltip_ability_item_talisman_of_evasion_Note0"			"Mehrere Ausweicheffekte wirken multiplikativ."
		"DOTA_Tooltip_ability_item_talisman_of_evasion_Lore"					"Eine Halskette, die Ihnen ermöglicht gegnerische Angriffe vorauszuahnen."
		"DOTA_Tooltip_ability_item_talisman_of_evasion_bonus_evasion"			"%+$evasion"		
		
		"DOTA_Tooltip_ability_item_tango_Description"							"<h1>Benutzen: Proviant</h1> Konsumiert den anvisierten Baum und gewährt %buff_duration% Sekunden lang %health_regen% Lebensregeneration. Wird ein Ironwood-Baum benutzt, verdoppelt sich die Heilwirkung.<br><br>Enthält beim Kauf %tooltip_charges% Aufladungen.<br><br>Reichweite: %abilitycastrange%"
		"DOTA_Tooltip_ability_item_tango_Lore"								"Versorgen Sie sich mit Nahrung, um auf dem Schlachtfeld zu überleben."
		//"DOTA_Tooltip_ability_item_tango_Note0"								"Heals for double duration when used on a Ironwood Tree or Wards."
		//"DOTA_Tooltip_ability_item_tango_total_heal"							"EAT TREE HEALTH RESTORED:"
		//"DOTA_Tooltip_ability_item_tango_total_heal_ward_tooltip"		"EAT WARD HEALTH RESTORED:"
		//"DOTA_Tooltip_ability_item_tango_cast_range_ward"					"EAT WARD CAST RANGE:"
		//"DOTA_Tooltip_ability_item_tango_buff_duration"					"HEAL DURATION:"
		
		"DOTA_Tooltip_modifier_tango_heal"				"Tango"
		"DOTA_Tooltip_modifier_tango_heal_Description"			"Regeneriert %fMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% LP pro Sekunde."

		"DOTA_Tooltip_ability_item_tango_single_Description"							"<h1>Benutzen: Proviant</h1> Konsumiert den anvisierten Baum und gewährt %buff_duration% Sekunden lang %health_regen% Lebensregeneration. Wird ein Ironwood-Baum benutzt, verdoppelt sich die Heilwirkung.<br><br>Reichweite: %abilitycastrange%"
		"DOTA_Tooltip_ability_item_tango_single_Lore"								"Om nom nom."
		//"DOTA_Tooltip_ability_item_tango_single_Note0"								"Heals for double duration when used on a Ironwood Tree or Wards."
		//"DOTA_Tooltip_ability_item_tango_single_total_heal"							"EAT TREE HEALTH RESTORED:"
		//"DOTA_Tooltip_ability_item_tango_single_total_heal_ward_tooltip"		"EAT WARD HEALTH RESTORED:"
		//"DOTA_Tooltip_ability_item_tango_single_cast_range_ward"					"EAT WARD CAST RANGE:"
		//"DOTA_Tooltip_ability_item_tango_single_buff_duration"					"HEAL DURATION:"
		
		"DOTA_Tooltip_ability_item_tpscroll_Description"						"<h1>Benutzen: Teleportation</h1>Teleportiert Sie nach %tooltip_channel_time%-sekündiger Verzögerung zu einem ausgewählten verbündeten Gebäude.<br><br>Doppelklicken teleportiert Sie zum Brunnen Ihres Teams."
		"DOTA_Tooltip_ability_item_tpscroll_Note0"						"Falls sich mehrere Helden gleichzeitig an denselben Ort teleportieren wollen, erhöht sich die Dauer der Kanalisierung für jeden nachfolgenden Helden."
		"DOTA_Tooltip_ability_item_tpscroll_Note1"						"Teleportation kann durch Festsetzungsfähigkeiten verhindert oder unterbrochen werden."
		"DOTA_Tooltip_ability_item_tpscroll_Lore"						"Was ein Held wirklich braucht."

		"DOTA_Tooltip_ability_item_tpscroll_2_Description"						"<h1>Benutzen: Teleportation</h1>Teleportiert Sie nach %tooltip_channel_time%-sekündiger Verzögerung zu einem ausgewählten verbündeten Gebäude, Helden oder einer verbündeten Einheit.<br><br>Doppelklicken teleportiert Sie zum Brunnen Ihres Teams."
		"DOTA_Tooltip_ability_item_tpscroll_2_Note0"						"Falls sich mehrere Helden gleichzeitig an denselben Ort teleportieren wollen, erhöht sich die Dauer der Kanalisierung für jeden nachfolgenden Helden."
		"DOTA_Tooltip_ability_item_tpscroll_2_Lore"						"Was ein Held tatsächlich braucht."

		
		"DOTA_Tooltip_ability_item_tranquil_boots_Description"					"<h1>Passiv: Fragil</h1>Wenn der Träger einen Helden angreift oder von einer beliebigen Einheit angegriffen wird, geht für %break_time% Sekunden die Regeneration von %bonus_health_regen% LP pro Sekunde verloren und der Bewegungstempobonus wird auf %broken_movement_speed% reduziert.\nBewegungstempoboni mehrerer Schuhpaare werden nicht aufsummiert."
		"DOTA_Tooltip_ability_item_tranquil_boots_Lore"							"Obwohl sie die Langlebigkeit des Trägers erhöhen, sind diese Schuhe nicht besonders zuverlässig."
		"DOTA_Tooltip_ability_item_tranquil_boots_bonus_movement_speed"			"+$move_speed"
		"DOTA_Tooltip_ability_item_tranquil_boots_bonus_health_regen"			"+$hp_regen"
		
		//"DOTA_Tooltip_modifier_item_tranquil_boots_heal"		"Tranquil Boots"
		//"DOTA_Tooltip_modifier_item_tranquil_boots_heal_Description"		"Regenerating %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% HP per second."

