"lang"
{ 
	"Language" "thai" 
	"Tokens" 
	{
		// To create a new key ( like $health ) just add the entry here
		"dota_ability_variable_health"				"พลังชีวิต"					// $health
		"dota_ability_variable_mana"				"มานา"						// $mana
		"dota_ability_variable_armor"				"เกราะป้องกัน"						// $armor
		"dota_ability_variable_damage"				"พลังโจมตี"					// $damage
		"dota_ability_variable_str"					"Strength"					// $str
		"dota_ability_variable_int"					"Intelligence"				// $int
		"dota_ability_variable_agi"					"Agility"					// $agi
		"dota_ability_variable_all"					"ค่าคุณสมบัติทั้งหมด"			// $all
		"dota_ability_variable_primary_attribute"	"ค่าสถานะหลัก"			// $primary_attribute
		"dota_ability_variable_attack"				"ความเร็วในการโจมตี"				// $attack
		"dota_ability_variable_hp_regen"			"อัตราการฟื้นฟูพลังชีวิต"		// $hp_regen
		"dota_ability_variable_lifesteal"			"ดูดพลังชีวิต"					// $lifesteal
		"dota_ability_variable_mana_regen"			"อัตราฟื้นฟูมานา"			// $mana_regen
		"dota_ability_variable_mana_regen_aura"		"ออราอัตราฟื้นฟูมานา"	// $mana_regen_aura
		"dota_ability_variable_spell_amp"			"ความเสียหายสกิล"				// $spell_amp
		"dota_ability_variable_debuff_amp"			"ระยะเวลาดีบัฟ"			// $debuff_amp
		"dota_ability_variable_move_speed"			"ความเร็วในการเคลื่อนที่"			// $move_speed
		"dota_ability_variable_evasion"				"อัตราหลบหลีก"					// $evasion
		"dota_ability_variable_spell_resist"		"ความต้านทานเวทมนตร์"			// $spell_resist
		"dota_ability_variable_spell_lifesteal"		"สกิลดูดพลังชีวิต"			// $spell_lifesteal
		"dota_ability_variable_spell_lifesteal_creep"	"สกิลดูดพลังชีวิต (ครีป)"	// $spell_lifesteal_creep
		"dota_ability_variable_spell_lifesteal_hero"	"สกิลดูดพลังชีวิต (ฮีโร่)"	// $spell_lifesteal_hero
		"dota_ability_variable_selected_attrib"		"ค่าคุณสมบัติที่เลือก"		// $selected_attribute
		"dota_ability_variable_attack_range"		"ระยะการโจมตี <font color='#7d7d7d'>(เฉพาะระยะไกล)</font>"	// $attack_range
		"dota_ability_variable_attack_range_melee"	"ระยะการโจมตี <font color='#7d7d7d'>(เฉพาะระยะประชิด)</font>"	// $attack_range_melee
		"dota_ability_variable_cast_range"			"ระยะร่าย"				// $cast_range
		"dota_ability_variable_status_resist"		"ความต้านทานสถานะ"			// $status_resist
		"dota_ability_variable_projectile_speed"	"ความเร็วกระสุน"			// $projectile_speed
		"dota_ability_variable_manacost_reduction"	"ลดมานาที่ใช้"		// $manacost_reduction
		"dota_ability_variable_cooldown_reduction"	"ลดคูลดาวน์"		// $cooldown_reduction 
		"dota_ability_variable_max_mana_percentage"	"เพิ่มมานาสูงสุด"			// $max_mana_percentage

		"dota_ability_variable_damage_int_hero"	"พลังโจมตี (ฮีโร่ Intelligence)"
		"DOTA_Tooltip_ability_item_necronomicon_3_Lore"						"พลังชั่วร้ายมหาศาลถูกกักขังอยู่ในหน้าหนังสือเล่มนี้ มันถูกนับเป็นเหมือนสุดยอดแห่งศาสตร์ด้านความตายและปีศาจ"
		"DOTA_Tooltip_ability_item_necronomicon_3_bonus_strength"				"+$str"
		"DOTA_Tooltip_ability_item_necronomicon_3_bonus_mana_regen"			"+$mana_regen"
		//"DOTA_Tooltip_ability_item_necronomicon_3_warrior_health_tooltip"		"WARRIOR HEALTH:"
		//"DOTA_Tooltip_ability_item_necronomicon_3_warrior_damage_tooltip"	"WARRIOR DAMAGE:"
		//"DOTA_Tooltip_ability_item_necronomicon_3_warrior_mana_break_tooltip"	"WARRIOR MANA BREAK:"
		//"DOTA_Tooltip_ability_item_necronomicon_3_explosion"							"WARRIOR LAST WILL DMG:"
		//"DOTA_Tooltip_ability_item_necronomicon_3_archer_health_tooltip"		"ARCHER HEALTH:"
		//"DOTA_Tooltip_ability_item_necronomicon_3_archer_damage_tooltip"		"ARCHER DAMAGE:"
		//"DOTA_Tooltip_ability_item_necronomicon_3_archer_mana_burn"			"ARCHER MANA BURN:"
		//"DOTA_Tooltip_ability_item_necronomicon_3_archer_attack_speed"		"%ARCHER AURA SPEED:"
		
		"DOTA_Tooltip_ability_item_null_talisman_Description"					"เพิ่มค่าสถานะ 2 เท่าหลังจากนาทีที่ %clock_time%"
		"DOTA_Tooltip_ability_item_null_talisman_Lore"							"อัญมณีเล็กๆ ที่ติดอยู่กับโซ่"
		"DOTA_Tooltip_ability_item_null_talisman_bonus_strength"				"+$str"
		"DOTA_Tooltip_ability_item_null_talisman_bonus_agility"					"+$agi"
		"DOTA_Tooltip_ability_item_null_talisman_bonus_intellect"				"+$int"
		"DOTA_Tooltip_ability_item_null_talisman_bonus_mana_regen"				"+$mana_regen"
		"DOTA_Tooltip_ability_item_null_talisman_bonus_max_mana_percentage"			"%+$max_mana_percentage"
		


		"DOTA_Tooltip_ability_item_whip_Description"						"ฟาดแส้ใส่เป้าหมาย ทำให้เป้าหมายเคลื่อนที่เร็วขึ้น 35% เป็นเวลา 2 วินาที จากนั้นเคลื่อนที่ช้าลง 35% เป็นเวลา 3.5 วินาที สร้างความเสียหายทางกายภาพ 50 หน่วย สามารถร่ายใส่ได้ทั้งเพื่อนร่วมทีมและศัตรู"
		"DOTA_Tooltip_ability_item_whip_Lore"								"เป็นที่รู้จักในฐานะเครื่องมือกระตุ้นการทำกิจกรรม"
		"DOTA_Tooltip_ability_item_whip_bonus_damage"					"+$damage"
		
		"DOTA_Tooltip_ability_item_oblivion_staff_Lore"					"ไอเท็มหลอกตาที่ดูเหมือนเป็นแค่ไม้เท้าธรรมดา แต่จริง ๆ แล้วกลับทรงพลังมาก เหมือนกับ Eldritch เจ้าของคนเดิมของมัน"
		"DOTA_Tooltip_ability_item_oblivion_staff_bonus_damage"			"+$damage"
		"DOTA_Tooltip_ability_item_oblivion_staff_bonus_intellect"				"+$int"
		"DOTA_Tooltip_ability_item_oblivion_staff_bonus_attack_speed"			"+$attack"
		"DOTA_Tooltip_ability_item_oblivion_staff_bonus_mana_regen"				"+$mana_regen"
		
		"DOTA_Tooltip_ability_item_witch_blade_Description"							"<h1>ติดตัว: Witch Blade</h1>ทำให้การโจมตีครั้งถัดไปของคุณส่งผลพิษเป็นเวลา %slow_duration% วินาที ลดความเร็ว %slow%%% และสร้างความเสียหายจำนวน %int_damage_multiplier% เท่าของค่า Intelligence ของคุณในทุกวินาที การโจมตีนี้เป็น True Strike"
		"DOTA_Tooltip_ability_item_witch_blade_Lore"				"ใบมีดอาฆาตแค้นที่ถูกสิงอย่างไม่ได้ตั้งใจโดยวิญญาณของผู้สร้างที่ไม่ระมัดระวัง"
		"DOTA_Tooltip_ability_item_witch_blade_bonus_intellect"				"+$int"
		"DOTA_Tooltip_ability_item_witch_blade_bonus_attack_speed"			"+$attack"
		"DOTA_Tooltip_ability_item_witch_blade_bonus_armor"				"+$armor"
		"DOTA_Tooltip_ability_item_witch_blade_projectile_speed"				"+$projectile_speed"

		"DOTA_Tooltip_modifier_item_witch_blade_slow"				"Witch Blade"
		"DOTA_Tooltip_modifier_item_witch_blade_slow_Description"	"ได้รับความเสียหายต่อวินาที และลดความเร็วในการเคลื่อนที่ %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%"
						
		"DOTA_Tooltip_ability_item_ogre_axe_Lore"								"คุณจะแข็งแกร่งขึ้นเพียงครอบครองมัน"
		"DOTA_Tooltip_ability_item_ogre_axe_bonus_strength"						"+$str"
		
		"DOTA_Tooltip_ability_item_orchid_Description"							"<h1>เรียกใช้: Soul Burn</h1>ใบ้เป้าหมายเป็นระยะเวลา %silence_duration% วินาที เมื่อสิ้นสุดการใบ้ %silence_damage_percent%%% ของความเสียหายที่ได้รับขณะถูกใบ้จะสร้างเป็นความเสียหาย เวทมนตร์เพิ่มเติม<br><br>ระยะร่าย: %abilitycastrange%"
		"DOTA_Tooltip_ability_item_orchid_Lore"								"คทาประดับพลอยสีแดงที่ถูกสร้างมาจากพลังธาตุของปีศาจเพลิง"
		"DOTA_Tooltip_ability_item_orchid_bonus_intellect"						"+$int"
		"DOTA_Tooltip_ability_item_orchid_bonus_attack_speed"					"+$attack"
		"DOTA_Tooltip_ability_item_orchid_bonus_damage"					"+$damage"
		"DOTA_Tooltip_ability_item_orchid_bonus_armor"							"+$armor"
		"DOTA_Tooltip_ability_item_orchid_bonus_mana_regen"						"+$mana_regen"
		"DOTA_Tooltip_ability_item_orchid_spell_amp"							"%+เพิ่มความเสียหายสกิล"
		"DOTA_Tooltip_ability_item_orchid_mana_regen_multiplier"				"%+เพิ่มอัตราฟื้นฟูมานา"
		//"DOTA_Tooltip_ability_item_orchid_silence_damage_percent"				"%SOUL BURN INCREASED DAMAGE:"
		//"DOTA_Tooltip_ability_item_orchid_silence_duration"							"SOUL BURN DURATION:"		

		"DOTA_Tooltip_modifier_orchid_malevolence_debuff"				"Soul Burn"
		"DOTA_Tooltip_modifier_orchid_malevolence_debuff_Description"	"ถูกใบ้ และ 30%% ของความเสียหายที่ได้รับระหว่างถูกใบ้จะส่งผลเป็นความเสียหายเวทมนตร์เพิ่มเติมเมื่อสิ้นสุดการใบ้"
		
		"DOTA_Tooltip_ability_item_pers_Lore"								"อัญมณีที่มอบจิตใจให้ผู้ครอบครอง"
		"DOTA_Tooltip_ability_item_pers_bonus_health_regen"						"+$hp_regen"
		"DOTA_Tooltip_ability_item_pers_bonus_mana_regen"						"+$mana_regen"
		
		"DOTA_Tooltip_ability_item_phase_boots_Description"						"<h1>เรียกใช้: Phase</h1> เพิ่มความเร็วในการเคลื่อนที่ %phase_movement_speed%%% แก่ฮีโร่โจมตีระยะประชิด หรือ %phase_movement_speed_range%%% หากเป็นฮีโร่โจมตีระยะไกล และทำให้สามารถเคลื่อนที่ผ่านยูนิตและหมุนตัวได้เร็วขึ้น เป็นเวลา %phase_duration% วินาที\nความเร็วในการเคลื่อนที่ที่เพิ่มขึ้นจากรองเท้าหลายคู่ ไม่สามารถซ้อนทับกันได้"

		"DOTA_Tooltip_ability_item_phase_boots_Lore"							"รองเท้าที่ทำให้ผู้สวมใส่สามารถเดินทางไปมาระหว่างมิติได้"
		"DOTA_Tooltip_ability_item_phase_boots_bonus_damage_melee"					"+พลังโจมตี (ระยะประชิด)"
		"DOTA_Tooltip_ability_item_phase_boots_bonus_damage_range"					"+พลังโจมตี (ระยะไกล)"
		"DOTA_Tooltip_ability_item_phase_boots_bonus_movement_speed"			"+$move_speed"
		//"DOTA_Tooltip_ability_item_phase_boots_phase_movement_speed"			"%PHASE MOVE BOOST MELEE:"
		//"DOTA_Tooltip_ability_item_phase_boots_phase_movement_speed_range"			"%PHASE MOVE BOOST RANGED:"
		//"DOTA_Tooltip_ability_item_phase_boots_phase_duration"					"PHASE DURATION:"
		//"DOTA_Tooltip_ability_item_phase_boots_bonus_attack_speed"					"+$attack"
		"DOTA_Tooltip_ability_item_phase_boots_bonus_armor"					"+$armor"
		
		"DOTA_Tooltip_modifier_item_phase_boots_active"				"Phase Boots"
		"DOTA_Tooltip_modifier_item_phase_boots_active_Description"	"ความเร็วในการเคลื่อนที่เพิ่มขึ้น %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% และสามารถเดินทะลุยูนิตอื่นๆ"

		"DOTA_Tooltip_ability_item_pipe_Description"							"<h1>เรียกใช้: Barrier</h1>สร้างเกราะป้องกันที่สามารถป้องกันความเสียหายทางเวทมนตร์ได้ %barrier_block% หน่วย ให้แก่เพื่อนร่วมทีมทุกคนในบริเวณใกล้เคียง มีผล %barrier_duration% วินาที<br><br>รัศมี: %barrier_radius%\n\n<h1>ติดตัว: Insight Aura</h1> เพิ่มอัตราฟื้นฟูพลังชีวิต %aura_health_regen% หน่วย และความต้านทานเวทมนตร์ %magic_resistance_aura%%% ให้แก่ยูนิตเพื่อนร่วมทีม<br><br>รัศมี: %aura_radius%"
		"DOTA_Tooltip_ability_item_pipe_Lore"									"วัตถุทรงพลังที่ไม่มีประวัติความเป็นมาแน่นอน มันสร้างเกราะป้องกันต่อเวทมนตร์ทั้งหลาย"
		"DOTA_Tooltip_ability_item_pipe_Note0"									"Barrier จากหลายแหล่งไม่สามารถซ้อนทับกันได้"
		"DOTA_Tooltip_ability_item_pipe_Note1"									"ซ้อนทับแบบทวีคูณกับแหล่งความต้านทานเวทมนตร์อื่น"
		"DOTA_Tooltip_ability_item_pipe_health_regen"							"+$hp_regen"
		"DOTA_Tooltip_ability_item_pipe_magic_resistance"							"%+$spell_resist"
		//"DOTA_Tooltip_ability_item_pipe_bonus_all_stats"					"+$all"
        //"DOTA_Tooltip_ability_item_pipe_aura_health_regen"					"AURA HEALTH REGEN:"
		//"DOTA_Tooltip_ability_item_pipe_magic_resistance_aura"			"%AURA MAGIC RESISTANCE:"
		//"DOTA_Tooltip_ability_item_pipe_aura_radius"							"AURA RADIUS:"
		//"DOTA_Tooltip_ability_item_pipe_barrier_block"							"BARRIER SPELL BLOCK:"
		//"DOTA_Tooltip_ability_item_pipe_barrier_duration"						"BARRIER DURATION:"
		//"DOTA_Tooltip_ability_item_pipe_barrier_radius"							"BARRIER CAST RADIUS:"
		
		"DOTA_Tooltip_modifier_item_pipe_aura"				"Insight Aura	"
		"DOTA_Tooltip_modifier_item_pipe_aura_Description"	"ฟื้นฟูพลังชีวิต %fMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% หน่วยต่อวินาที และเพิ่มความต้านทานเวทมนตร์ +%dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_BONUS%%%"
		"DOTA_Tooltip_modifier_item_pipe_barrier"				"Barrier"
		"DOTA_Tooltip_modifier_item_pipe_barrier_Description"	"เกราะเวทมนตร์ที่จะบล็อกความเสียหายเวทมนตร์ที่ได้รับ %dMODIFIER_PROPERTY_INCOMING_SPELL_DAMAGE_CONSTANT% หน่วย"

		"DOTA_Tooltip_ability_item_platemail_Lore"								"แผ่นเหล็กหนาที่ปกป้องช่วงบนทั้งตัว โปรดระวังอย่าทำตกใส่เท้า"
		"DOTA_Tooltip_ability_item_platemail_bonus_armor"						"+$armor"
		
		"DOTA_Tooltip_ability_item_point_booster_Lore"							"อเมทิสต์ที่ขึ้นรูปอย่างสมบรูณ์แบบ เป็นที่ให้ความสมบรูณ์แก่ร่างกายและจิตใจยามถือ"
		"DOTA_Tooltip_ability_item_point_booster_bonus_mana"					"+$mana"
		"DOTA_Tooltip_ability_item_point_booster_bonus_health"					"+$health"
		
		"DOTA_Tooltip_ability_item_poor_mans_shield_Description"				"<h1>ติดตัว: Damage Block</h1>ทำให้มีโอกาสบล็อกความเสียหายที่ได้รับจากการโจมตี 100% ฮีโร่โจมตีระยะประชิดจะบล็อกความเสียหาย %damage_block_melee% หน่วย ส่วนฮีโร่โจมตีระยะไกลจะบล็อกความเสียหาย %damage_block_ranged% หน่วย <br><br>มีโอกาสบล็อกความเสียหายจากครีป %block_chance%%%"
		"DOTA_Tooltip_ability_item_poor_mans_shield_Lore"						"โล่เก่าๆ ผุพังที่ดูจะป้องกันอะไรได้มากกว่าที่เห็น"
		"DOTA_Tooltip_ability_item_poor_mans_shield_Note0"							"การบล็อกป้องกันความเสียหายจากหลาย ๆ แหล่งไม่มีผลทับซ้อนกัน"
		//"DOTA_Tooltip_ability_item_poor_mans_shield_block_chance"				"%CREEP BLOCK CHANCE:"
		//"DOTA_Tooltip_ability_item_poor_mans_shield_damage_block_melee"			"MELEE DAMAGE BLOCK:"
		//"DOTA_Tooltip_ability_item_poor_mans_shield_damage_block_ranged"		"RANGED DAMAGE BLOCK:"
		"DOTA_Tooltip_ability_item_poor_mans_shield_bonus_agility"				"+$agi"
		
		"DOTA_Tooltip_ability_item_power_treads_Description"					"<h1>เรียกใช้: Switch Attribute</h1>สลับระหว่าง +%bonus_stat% Strength, +%bonus_stat% Agility หรือ +%bonus_stat% Intelligence\nความเร็วในการเคลื่อนที่ที่เพิ่มขึ้นจากรองเท้าหลายคู่ ไม่สามารถซ้อนทับกันได้"
		"DOTA_Tooltip_ability_item_power_treads_Note0"  						"Power Treads สามารถสร้างได้จาก Belt of Strength, Band of Elvenskin หรือ Robe of the Magi"
		"DOTA_Tooltip_ability_item_power_treads_Lore"							"รองเท้าหนังหนาคู่นี้สามารถแปรเปลี่ยนตัวมันเองตามความต้องการของผู้สวมใส่"
		"DOTA_Tooltip_ability_item_power_treads_bonus_movement_speed"			"+$move_speed"
		"DOTA_Tooltip_ability_item_power_treads_bonus_stat"						"+$selected_attrib"
		//"DOTA_Tooltip_ability_item_power_treads_bonus_damage"				"+$damage"
		"DOTA_Tooltip_ability_item_power_treads_bonus_attack_speed"				"+$attack"
		
		"DOTA_Tooltip_ability_item_quarterstaff_Lore"							"ไม้เท้าธรรมดาที่ทำให้คุณโจมตีเร็วขึ้น"
		"DOTA_Tooltip_ability_item_quarterstaff_bonus_speed"					"+$attack"
		"DOTA_Tooltip_ability_item_quarterstaff_bonus_damage"					"+$damage"
		
		"DOTA_Tooltip_ability_item_blitz_knuckles_bonus_attack_speed"					"+$attack"
		"DOTA_Tooltip_ability_item_blitz_knuckles_Lore"					"อัปเดตโฉมใหม่ตามฉบับนักอาคมใต้ดินสำหรับอาวุธประจำตรอกซอกซอยสุดคลาสสิก"
		
		"DOTA_Tooltip_ability_item_quelling_blade_Description"					"<h1>เรียกใช้: Chop Tree</h1> ทำลายต้นไม้เป้าหมาย <br><br>ระยะร่าย: %abilitycastrange%\n\n<h1>ติดตัว: Quell</h1> เพิ่มค่าความเสียหายในการโจมตียูนิตที่ไม่ใช่ฮีโร่เป็นจำนวน %damage_bonus% หน่วยสำหรับฮีโร่โจมตีระยะประชิด และ %damage_bonus_ranged% หน่วยสำหรับฮีโร่โจมตีระยะไกล"
		"DOTA_Tooltip_ability_item_quelling_blade_Lore"							"ขวานของ Gnome ที่เสียชีวิต มันทำให้คุณเคลื่อนไหวในป่าได้ดีขึ้น"
		"DOTA_Tooltip_ability_item_quelling_blade_Note0"						"ผลของ Quelling Blade หลายชิ้นไม่สามารถซ้อนทับกันได้"
		//"DOTA_Tooltip_ability_item_quelling_blade_damage_bonus"					"QUELL MELEE DAMAGE:"
		//"DOTA_Tooltip_ability_item_quelling_blade_damage_bonus_ranged"			"QUELL RANGED DAMAGE:"
		//"DOTA_Tooltip_ability_item_quelling_blade_abilitycastrange"			"CHOP TREE RANGE:"
		//"DOTA_Tooltip_ability_item_quelling_blade_cast_range_ward"			"CHOP WARD RANGE:"
		
		"DOTA_Tooltip_ability_item_radiance_Description"						"<h1>เปิด/ปิด: Burn</h1> เมื่อเปิดใช้งาน เผาไหม้ศัตรูที่อยู่ใกล้เคียงด้วยความเสียหายเวทมนตร์ %aura_damage% หน่วยต่อวินาที และทำให้พวกเขามีโอกาสโจมตีพลาด %blind_pct%%% ร่างเงาสร้างความเสียหายเวทมนตร์ %aura_damage_illusions% หน่วยต่อวินาที<br><br>รัศมี: %aura_radius%"	
		"DOTA_Tooltip_ability_item_radiance_Lore"								"อาวุธศักดิ์สิทธิ์ที่สร้างความเสียหายจากการเผาไหม้อันเจิดจ้า กวาดล้างศัตรูทุกคนที่อยู่รอบๆ"
		"DOTA_Tooltip_ability_item_radiance_bonus_damage"						"+$damage"		
		//"DOTA_Tooltip_ability_item_radiance_aura_damage"						"BURN DAMAGE PER SECOND:"	
		"DOTA_Tooltip_ability_item_radiance_evasion"							"%+$evasion"
		//"DOTA_Tooltip_ability_item_radiance_aura_radius"						"BURN RADIUS:"

		"DOTA_Tooltip_modifier_item_radiance_debuff"				"Burn Damage"
		"DOTA_Tooltip_modifier_item_radiance_debuff_Description"	"ได้รับความเสียหาย 60 หน่วยต่อวินาทีและมีโอกาสพลาดการโจมตี %dMODIFIER_PROPERTY_MISS_PERCENTAGE%%%"

		"DOTA_Tooltip_ability_item_rapier_Description"							"<h1>ติดตัว: Everlasting</h1> <font color='#e03e2e'>ไอเท็มจะตกเมื่อตาย และไม่สามารถทำลายทิ้งได้</font> <br><br>หากไอเท็มถูกเก็บโดยเพื่อนร่วมทีมของเจ้าของ มันจะไม่สามารถใช้งานได้จนกว่าจะคืนไปยังเจ้าของเดิม แต่หากศัตรูของเจ้าของเก็บมันขึ้นมาและคนเก็บถูกสังหาร ไอเท็มนี้จะใช้งานโดยใครก็ได้ทันที และ Courier ไม่สามารถเก็บ Divine Rapier ที่ตกอยู่บนพื้นได้"
		"DOTA_Tooltip_ability_item_rapier_Note0"								"หาก Divine Rapier ตกแล้วถูกเก็บโดยศัตรูของเจ้าของเดิม มันจะไม่สามารถวางได้อีก ยกเว้นตกจากการตาย"
		"DOTA_Tooltip_ability_item_rapier_Lore"									"ทรงพลังจนไม่สามารถมีเจ้าของได้เพียงแค่คนเดียว"
		"DOTA_Tooltip_ability_item_rapier_bonus_damage"							"+$damage"
		
		"DOTA_Tooltip_ability_item_aeon_disk_Description"					"<h1>ติดตัว: Combo Breaker</h1> เมื่อคุณได้รับความเสียหายและพลังชีวิตของคุณลดลงเหลือต่ำกว่า %health_threshold_pct%%% ทำการลบล้างขั้นสูงแก่คุณโดยอัตโนมัติ และสร้างบัฟที่เพิ่มความต้านทานสถานะ +%status_resistance%%% และทำให้ ความเสียหายที่คุณสร้างและได้รับทั้งหมดกลายเป็นศูนย์ เป็นเวลา %buff_duration% วินาที ทำงานเมื่อได้รับความเสียหายจากผู้เล่นเท่านั้น คูลดาวน์จะเพิ่มขึ้นในแต่ละครั้งที่ไอเท็มทำงาน<br/><br/>ชนิดการลบล้าง: <span class=\"GameplayValues GameplayVariable\">การลบล้างขั้นสูง</span>"
		"DOTA_Tooltip_ability_item_aeon_disk_lore"					"ตามที่หลายคนเชื่อกัน สิ่งประดิษฐ์อันทรงพลังนี้ถูกลักลอบนำออกจาก Ivory Incubarium เมื่อนานมาแล้ว"
		"DOTA_Tooltip_ability_item_aeon_disk_bonus_health"					"+$health"
		"DOTA_Tooltip_ability_item_aeon_disk_bonus_mana"					"+$mana"		
		"DOTA_Tooltip_ability_item_aeon_disk_cooldown_duration"					"คูลดาวน์:"		

		"DOTA_Tooltip_modifier_item_aeon_disk_buff"				"Combo Breaker"
		"DOTA_Tooltip_modifier_item_aeon_disk_buff_Description"				"ความเสียหายที่สร้างและได้รับถูกลบล้างทั้งหมด"

		"DOTA_Tooltip_ability_item_kaya_lore"					"คทาของแม่มดที่มีชื่อเสียงที่หายไปนานนับพันปี"
		"DOTA_Tooltip_ability_item_kaya_note0"					"ผลของไอเท็มนี้จากหลายชิ้นไม่สามารถซ้อนทับกันได้"
		"DOTA_Tooltip_ability_item_kaya_bonus_intellect"					"+$int"
		"DOTA_Tooltip_ability_item_kaya_spell_amp"						"%+เพิ่มความเสียหายสกิล"
		"DOTA_Tooltip_ability_item_kaya_mana_regen_multiplier"				"%+เพิ่มอัตราฟื้นฟูมานา"
		"DOTA_Tooltip_ability_item_kaya_spell_lifesteal_amp"				"%+เพิ่มอัตราสกิลดูดพลังชีวิต"

		
		"DOTA_Tooltip_ability_item_reaver_Lore"									"ขวานมหึมาที่สามารถฉีกได้กระทั่งภูผา"
		"DOTA_Tooltip_ability_item_reaver_bonus_strength"						"+$str"
		
		"DOTA_Tooltip_ability_item_refresher_Description"						"<h1>เรียกใช้: Reset Cooldowns</h1>ล้างคูลดาวน์ของสกิลและไอเท็มของคุณทั้งหมด โดยจะมีคูลดาวน์ร่วมกับ Refresher Shard คูลดาวน์ของไอเท็มนี้จะนับถอยหลังเมื่อถือในช่องเก็บของหลักของฮีโร่เท่านั้น"
		"DOTA_Tooltip_ability_item_refresher_Lore"								"วัตถุทรงพลังที่ถูกสร้างมาเพื่อนักเวท"
		"DOTA_Tooltip_ability_item_refresher_bonus_health_regen"				"+$hp_regen"
		"DOTA_Tooltip_ability_item_refresher_bonus_mana_regen"					"+$mana_regen"
		
		"DOTA_Tooltip_ability_item_relic_Lore"									"อาวุธโบราณที่สามารถพลิกสถานการณ์ของสงครามได้"
		"DOTA_Tooltip_ability_item_relic_bonus_damage"							"+$damage"
		
		"DOTA_Tooltip_ability_item_ring_of_basilius_Description"				"<h1>ติดตัว: Basilius Aura</h1>เพิ่มอัตราฟื้นฟูมานา %aura_mana_regen% หน่วยให้แก่เพื่อนร่วมทีม <br><br>รัศมี: %aura_radius%"
		"DOTA_Tooltip_ability_item_ring_of_basilius_Lore"						"แหวนรางวัลสำหรับจอมเวทที่ยิ่งใหญ่ที่สุด"
		//"DOTA_Tooltip_ability_item_ring_of_basilius_bonus_all_stats"			"+$all"
		"DOTA_Tooltip_ability_item_ring_of_basilius_mana_regen"						"+$mana_regen"

		
		"DOTA_Tooltip_ability_item_holy_locket_Description"				"<h1>เรียกใช้: Energy Charge</h1>เลือกเป้าหมายยูนิตเพื่อนร่วมทีมเพื่อฟื้นฟูพลังชีวิตและมานาทันที เป็นจำนวน %restore_per_charge% หน่วยต่อหนึ่งชาร์จที่เก็บไว้ <br><br>ได้รับชาร์จโดยอัตโนมัติในทุก %charge_gain_timer% วินาทีและเมื่อศัตรูที่มองเห็นในระยะ %charge_radius% หน่วยใช้สกิล เก็บได้สูงสุด %max_charges% ชาร์จ\n\n<h1>ติดตัว: Holy Blessing</h1>เพิ่มการรักษาพลังชีวิตที่คุณสร้าง %heal_increase%%%\n\n<h1>ติดตัว: Regeneration Aura</h1>เพิ่มอัตราฟื้นฟูพลังชีวิต %aura_health_regen% หน่วยให้แก่เพื่อนร่วมทีม<br><br>รัศมี: %aura_radius%"
		"DOTA_Tooltip_ability_item_holy_locket_bonus_health"					"+$health"
		"DOTA_Tooltip_ability_item_holy_locket_bonus_mana"					"+$mana"
		"DOTA_Tooltip_ability_item_holy_locket_health_regen"				"+$hp_regen"
		"DOTA_Tooltip_ability_item_holy_locket_bonus_all_stats"					"+$all"
		"DOTA_Tooltip_ability_item_holy_locket_Lore"		"วัตถุโบราณล้ำค่าที่ผู้คนคิดกันมานานว่าสูญหายไปแล้วตลอดกาลในสงครามครูเสดที่ล้มเหลว"

		"DOTA_Tooltip_modifier_item_holy_locket_aura"				"Holy Locket Aura"
		"DOTA_Tooltip_modifier_item_holy_locket_aura_Description"	"ฟื้นฟูพลังชีวิต %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% หน่วยต่อวินาที"

		
		"DOTA_Tooltip_modifier_item_ring_of_basilius_effect"				"ออรา Ring of Basilius"
		"DOTA_Tooltip_modifier_item_ring_of_basilius_effect_Description"	"อัตราฟื้นฟูมานาเพิ่มขึ้น %fMODIFIER_PROPERTY_MANA_REGEN_CONSTANT% หน่วย"

		
		"DOTA_Tooltip_modifier_item_necronomicon_mana_aura"				"Necronomicon Mana Regen Aura"
		"DOTA_Tooltip_modifier_item_necronomicon_mana_aura_Description"	"อัตราฟื้นฟูมานาเพิ่มขึ้น %fMODIFIER_PROPERTY_MANA_REGEN_CONSTANT% หน่วย"

		
		"DOTA_Tooltip_modifier_item_necronomicon_mana_aura_2"				"Necronomicon Mana Regen Aura (เลเวล 2)"
		"DOTA_Tooltip_modifier_item_necronomicon_mana_aura_2_Description"	"อัตราฟื้นฟูมานาเพิ่มขึ้น %-2fMODIFIER_PROPERTY_MANA_REGEN_CONSTANT% หน่วย"

		
		"DOTA_Tooltip_modifier_item_necronomicon_mana_aura_3"				"Necronomicon Mana Regen Aura (เลเวล 3)"
		"DOTA_Tooltip_modifier_item_necronomicon_mana_aura_3_Description"	"อัตราฟื้นฟูมานาเพิ่มขึ้น %fMODIFIER_PROPERTY_MANA_REGEN_CONSTANT% หน่วย"

		"DOTA_Tooltip_ability_item_ring_of_health_Lore"							"แหวนระยิบระยับที่ถูกพบอยู่ใต้ศพของ Halfling อ้วนฉุ"
