"hero_chat_wheel"
{
"dota_chatwheel_message_antimage_laugh"	"ฮ้า ฮ่า ฮาฮ่าฮ่าฮาฮะฮะฮ่ะฮ่ะฮ่ะฮ่ะ!"
"[english]dota_chatwheel_label_medusa_3"	"You knew I was cold-blooded."
"dota_chatwheel_message_medusa_4"	"จ้องมองความสวยของ Medusa และจงสิ้นหวัง!"
"[english]dota_chatwheel_message_medusa_4"	"Gaze upon Medusa's beauty, and despair!"
"dota_chatwheel_label_medusa_4"	"จ้องมองความสวยของ Medusa..."
"[english]dota_chatwheel_label_medusa_4"	"Gaze upon Medusa's beauty..."
"dota_chatwheel_message_troll_warlord_laugh"	"ย้าาาฮ่าฮ่าฮ่าฮ้าฮ่าา"
"[english]dota_chatwheel_message_troll_warlord_laugh"	"Yaaahahahaahhah."
"dota_chatwheel_label_troll_warlord_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_troll_warlord_laugh"	"Laugh"
"dota_chatwheel_message_troll_warlord_thank"	"บ้าไปแล้ว!"
"[english]dota_chatwheel_message_troll_warlord_thank"	"Go crazy!"
"dota_chatwheel_label_troll_warlord_thank"	"บ้าไปแล้ว!"
"[english]dota_chatwheel_label_troll_warlord_thank"	"Go crazy!"
"dota_chatwheel_message_troll_warlord_deny"	"โชคไม่ค่อยดีนะ"
"[english]dota_chatwheel_message_troll_warlord_deny"	"Unfortunate."
"dota_chatwheel_label_troll_warlord_deny"	"โชคไม่ค่อยดีนะ"
"[english]dota_chatwheel_label_troll_warlord_deny"	"Unfortunate."
"dota_chatwheel_message_troll_warlord_1"	"กลับมาตายอีกนะ"
"[english]dota_chatwheel_message_troll_warlord_1"	"Come back and die again."
"dota_chatwheel_label_troll_warlord_1"	"กลับมา..."
"[english]dota_chatwheel_label_troll_warlord_1"	"Come back..."
"dota_chatwheel_message_troll_warlord_3"	"พยายามอย่าฟีดสิ"
"[english]dota_chatwheel_message_troll_warlord_3"	"Try not to feed."
"dota_chatwheel_label_troll_warlord_3"	"พยายามอย่าฟีดสิ"
"[english]dota_chatwheel_label_troll_warlord_3"	"Try not to feed."
"dota_chatwheel_message_troll_warlord_5"	"ทำไมไม่มีใครชอบข้าเลย?"
"[english]dota_chatwheel_message_troll_warlord_5"	"Why doesn't anybody like me?"
"dota_chatwheel_label_troll_warlord_5"	"ทำไมไม่มีใครชอบข้าเลย?"
"[english]dota_chatwheel_label_troll_warlord_5"	"Why doesn't anybody like me?"
"dota_chatwheel_message_centaur_laugh"	"ฮี่ฮื่ออฮื้อ ฮ่าฮ่าา ฮ้าฮ่า"
"[english]dota_chatwheel_message_centaur_laugh"	"Heheeeh hahah ehha."
"dota_chatwheel_label_centaur_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_centaur_laugh"	"Laugh"
"dota_chatwheel_message_centaur_thank"	"ข้าขอยกย่องชื่อของเจ้า"
"[english]dota_chatwheel_message_centaur_thank"	"I shall honor your name."
"dota_chatwheel_label_centaur_thank"	"ข้าขอยกย่องชื่อของเจ้า"
"[english]dota_chatwheel_label_centaur_thank"	"I shall honor your name."
"dota_chatwheel_message_centaur_deny"	"กระทืบ"
"[english]dota_chatwheel_message_centaur_deny"	"Stomped."
"dota_chatwheel_label_centaur_deny"	"กระทืบ"
"[english]dota_chatwheel_label_centaur_deny"	"Stomped."
"dota_chatwheel_message_centaur_1"	"อืมมมม"
"[english]dota_chatwheel_message_centaur_1"	"Mmmmm."
"dota_chatwheel_label_centaur_1"	"อืมมมมม"
"[english]dota_chatwheel_label_centaur_1"	"Mmmmmm."
"dota_chatwheel_message_centaur_2"	"เสียของหมด"
"[english]dota_chatwheel_message_centaur_2"	"What a waste."
"dota_chatwheel_label_centaur_2"	"เสียของหมด"
"[english]dota_chatwheel_label_centaur_2"	"What a waste."
"dota_chatwheel_message_centaur_3"	"กลับนรกไปซะ"
"[english]dota_chatwheel_message_centaur_3"	"Back to hell with you."
"dota_chatwheel_label_centaur_3"	"กลับนรกไปซะ"
"[english]dota_chatwheel_label_centaur_3"	"Back to hell with you."
"dota_chatwheel_message_centaur_5"	"เธอจะเจ็บกว่าถ้าทำให้ฉันเจ็บ"
"[english]dota_chatwheel_message_centaur_5"	"Hurts you more than it hurts me."
"dota_chatwheel_label_centaur_5"	"เธอจะเจ็บกว่าถ้าทำให้ฉันเจ็บ"
"[english]dota_chatwheel_label_centaur_5"	"Hurts you more than it hurts me."
"dota_chatwheel_message_magnataur_laugh"	"ฮ้า ฮ่า ฮ่า"
"[english]dota_chatwheel_message_magnataur_laugh"	"Ah ha ha."
"dota_chatwheel_label_magnataur_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_magnataur_laugh"	"Laugh"
"dota_chatwheel_message_magnataur_deny"	"ขี้โม้ที่สุด!"
"[english]dota_chatwheel_message_magnataur_deny"	"This is bullshit!"
"dota_chatwheel_label_magnataur_deny"	"ขี้โม้ที่สุด!"
"[english]dota_chatwheel_label_magnataur_deny"	"This is bullshit!"
"dota_chatwheel_message_magnataur_1"	"ฮ่า ฮ่า ฮะ ฮะ! เจ้าคาดหวังอะไรหรือ?"
"[english]dota_chatwheel_message_magnataur_1"	"Ha ha ha ha! What did you expect?"
"dota_chatwheel_label_magnataur_1"	"เจ้าคาดหวังอะไรหรือ?"
"[english]dota_chatwheel_label_magnataur_1"	"What did you expect?"
"dota_chatwheel_message_magnataur_2"	"ล้อกันเล่นรึเปล่าเนี่ย?"
"[english]dota_chatwheel_message_magnataur_2"	"Are you kidding me?"
"dota_chatwheel_label_magnataur_2"	"ล้อกันเล่นรึเปล่าเนี่ย?"
"[english]dota_chatwheel_label_magnataur_2"	"Are you kidding me?"
"dota_chatwheel_message_magnataur_3"	"นี่แหละงานที่ต้องทำ"
"[english]dota_chatwheel_message_magnataur_3"	"All in a day's work."
"dota_chatwheel_label_magnataur_3"	"นี่แหละงานที่ต้องทำ"
"[english]dota_chatwheel_label_magnataur_3"	"All in a day's work."
"dota_chatwheel_message_magnataur_4"	"น่าอับอายเสียจริง"
"[english]dota_chatwheel_message_magnataur_4"	"How shameful."
"dota_chatwheel_label_magnataur_4"	"น่าอับอายเสียจริง"
"[english]dota_chatwheel_label_magnataur_4"	"How shameful."
"dota_chatwheel_message_magnataur_5"	"จะบอกอะไรให้นะ ถ้าเจ้าจับเขาของข้า ข้าจะแหกหน้าเจ้า"
"[english]dota_chatwheel_message_magnataur_5"	"I tell you what. You touch my horn, I break your face."
"dota_chatwheel_label_magnataur_5"	"จับเขาของข้า ข้าจะแหกหน้าเจ้า"
"[english]dota_chatwheel_label_magnataur_5"	"Touch my horn, break your face."
"dota_chatwheel_message_shredder_laugh"	"ฮี่ ฮี่ ฮี่ ฮี่ ฮี่!"
"[english]dota_chatwheel_message_shredder_laugh"	"He he he he he!"
"dota_chatwheel_label_shredder_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_shredder_laugh"	"Laugh"
"dota_chatwheel_message_shredder_thank"	"ข้าเกือบเชื่อใจเจ้าแล้ว"
"[english]dota_chatwheel_message_shredder_thank"	"I almost trust you."
"dota_chatwheel_label_shredder_thank"	"ข้าเกือบเชื่อใจเจ้าแล้ว"
"[english]dota_chatwheel_label_shredder_thank"	"I almost trust you."
"dota_chatwheel_message_shredder_deny"	"เจ้าโมโหหรือเปล่า? ตอนนี้ข้ากำลังโมโห!"
"[english]dota_chatwheel_message_shredder_deny"	"You mad? Cuz I am!"
"dota_chatwheel_label_shredder_deny"	"เจ้าโมโหหรือเปล่า?"
"[english]dota_chatwheel_label_shredder_deny"	"You mad?"
"dota_chatwheel_message_shredder_5"	"วิ่ง วิ่ง วิ่ง วิ่ง วิ่งวิ่งวิ่งวิ่งวิ่งวิ่งวิ่งวิ่งวิ่งวิ่งวิ่งวิ่งวิ่งวิ่งวิ่งวิ่งวิ่งวิ่งไป!"
"[english]dota_chatwheel_message_shredder_5"	"Run run run run runrunrunrunrunrunrunrunrunrunrunrunrunrunrunrunrunrun!"
"dota_chatwheel_label_shredder_5"	"วิ่ง วิ่ง วิ่งวิ่ง วิ่งวิ่งวิ่ง!"
"[english]dota_chatwheel_label_shredder_5"	"Run run runrun runrunrun!"
"dota_chatwheel_message_bristleback_laugh"	"ฮี่เฮ้ ฮ่าฮ่าฮ่า"
"[english]dota_chatwheel_message_bristleback_laugh"	"Hehey hahaha."
"dota_chatwheel_label_bristleback_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_bristleback_laugh"	"Laugh"
"dota_chatwheel_message_bristleback_2"	"ไม่มีทาง"
"[english]dota_chatwheel_message_bristleback_2"	"No way."
"dota_chatwheel_label_bristleback_2"	"ไม่มีทาง"
"[english]dota_chatwheel_label_bristleback_2"	"No way."
"dota_chatwheel_message_tusk_laugh"	"โอ้เจ้าหนู! ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า!"
"[english]dota_chatwheel_message_tusk_laugh"	"Oh boy! Ha ha ha ha ha!"
"dota_chatwheel_label_tusk_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_tusk_laugh"	"Laugh"
"dota_chatwheel_message_tusk_thank"	"ชนกำปั้นหน่อย"
"[english]dota_chatwheel_message_tusk_thank"	"Fist Bump."
"dota_chatwheel_label_tusk_thank"	"ชนกำปั้นหน่อย"
"[english]dota_chatwheel_label_tusk_thank"	"Fist Bump."
"dota_chatwheel_message_tusk_deny"	"ข้าก็ทำเต็มที่แล้วนะ"
"[english]dota_chatwheel_message_tusk_deny"	"Well I tried."
"dota_chatwheel_label_tusk_deny"	"ข้าก็ทำเต็มที่แล้วนะ"
"[english]dota_chatwheel_label_tusk_deny"	"Well I tried."
"dota_chatwheel_message_tusk_1"	"สบายดีหรือเปล่า?"
"[english]dota_chatwheel_message_tusk_1"	"Are you okay?"
"dota_chatwheel_label_tusk_1"	"เจ้าโอเคนะ?"
"[english]dota_chatwheel_label_tusk_1"	"Are you ok?"
"dota_chatwheel_message_tusk_2"	"โด๋ววฮืมซึ่ม!"
"[english]dota_chatwheel_message_tusk_2"	"Dohmvzm!"
"dota_chatwheel_label_tusk_2"	"โด๋ววฮืมซึ่ม!"
"[english]dota_chatwheel_label_tusk_2"	"Dohmvzm!"
"dota_chatwheel_message_tusk_4"	"อู้ว คงเจ็บน่าดูเลย!"
"[english]dota_chatwheel_message_tusk_4"	"Oh, that had to hurt!"
"dota_chatwheel_label_tusk_4"	"อู้ว คงเจ็บน่าดูเลย!"
"[english]dota_chatwheel_label_tusk_4"	"Oh, that had to hurt!"
"dota_chatwheel_message_skywrath_mage_laugh"	"ฮ่า ฮ่า!"
"[english]dota_chatwheel_message_skywrath_mage_laugh"	"Ha ha!"
"dota_chatwheel_label_skywrath_mage_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_skywrath_mage_laugh"	"Laugh"
"dota_chatwheel_message_skywrath_mage_thank"	"ข้าจะไม่รายงานเจ้า"
"[english]dota_chatwheel_message_skywrath_mage_thank"	"I shall not report you."
"dota_chatwheel_label_skywrath_mage_thank"	"ข้าจะไม่รายงานเจ้า"
"[english]dota_chatwheel_label_skywrath_mage_thank"	"I shall not report you."
"dota_chatwheel_message_skywrath_mage_deny"	"ร่วงไปซะ!"
"[english]dota_chatwheel_message_skywrath_mage_deny"	"Down you go!"
"dota_chatwheel_label_skywrath_mage_deny"	"ร่วงไปซะ!"
"[english]dota_chatwheel_label_skywrath_mage_deny"	"Down you go!"
"dota_chatwheel_message_skywrath_mage_5"	"เสมือนท้องฟ้าวิปริตแปรปรวนทันใดด้วยพลัง Skywrath!"
"[english]dota_chatwheel_message_skywrath_mage_5"	"The skies are dark with Skywrath power!"
"dota_chatwheel_label_skywrath_mage_5"	"เสมือนท้องฟ้าวิปริตแปรปรวนทันใดด้วยพลัง Skywrath!"
"[english]dota_chatwheel_label_skywrath_mage_5"	"The skies are dark with Skywrath power!"
"dota_chatwheel_message_abaddon_laugh"	"ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า"
"[english]dota_chatwheel_message_abaddon_laugh"	"Ha ha ha ha ha ha ha ha ha."
"dota_chatwheel_label_abaddon_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_abaddon_laugh"	"Laugh"
"dota_chatwheel_message_abaddon_deny"	"ไม่มีทาง"
"[english]dota_chatwheel_message_abaddon_deny"	"Never."
"dota_chatwheel_label_abaddon_deny"	"ไม่มีทาง"
"[english]dota_chatwheel_label_abaddon_deny"	"Never."
"dota_chatwheel_message_elder_titan_laugh"	"ฮี้ ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า"
"[english]dota_chatwheel_message_elder_titan_laugh"	"Eh ha ha ha ha ha."
"dota_chatwheel_label_elder_titan_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_elder_titan_laugh"	"Laugh"
"dota_chatwheel_message_legion_commander_laugh"	"ฮ้า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า!"
"[english]dota_chatwheel_message_legion_commander_laugh"	"Ah ha ha ha ha ha ha!"
"dota_chatwheel_label_legion_commander_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_legion_commander_laugh"	"Laugh"
"dota_chatwheel_message_legion_commander_thank"	"ไม่เลวเลยนะ!"
"[english]dota_chatwheel_message_legion_commander_thank"	"Not bad at all!"
"dota_chatwheel_label_legion_commander_thank"	"ไม่เลวเลยนะ!"
"[english]dota_chatwheel_label_legion_commander_thank"	"Not bad at all!"
"dota_chatwheel_message_legion_commander_deny"	"พยายามขึ้นอีกหน่อยนะ"
"[english]dota_chatwheel_message_legion_commander_deny"	"Try harder."
"dota_chatwheel_label_legion_commander_deny"	"พยายามขึ้นอีกหน่อยนะ"
"[english]dota_chatwheel_label_legion_commander_deny"	"Try Harder."
"dota_chatwheel_message_legion_commander_1"	"ยุทธศาสตร์ยอดเยี่ยม"
"[english]dota_chatwheel_message_legion_commander_1"	"Sound strategy."
"dota_chatwheel_label_legion_commander_1"	"ยุทธศาสตร์ยอดเยี่ยม"
"[english]dota_chatwheel_label_legion_commander_1"	"Sound strategy."
"dota_chatwheel_message_legion_commander_2"	"หนวดสวย"
"[english]dota_chatwheel_message_legion_commander_2"	"Nice mustache."
"dota_chatwheel_label_legion_commander_2"	"หนวดสวย"
"[english]dota_chatwheel_label_legion_commander_2"	"Nice mustache."
"dota_chatwheel_message_legion_commander_3"	"ข้าจะฉีกเจ้าเป็นชิ้น ๆ !"
"[english]dota_chatwheel_message_legion_commander_3"	"I will tear you apart!"
"dota_chatwheel_label_legion_commander_3"	"ข้าจะฉีกเจ้าเป็นชิ้น ๆ"
"[english]dota_chatwheel_label_legion_commander_3"	"I will tear you apart."
"dota_chatwheel_message_legion_commander_4"	"ไอ้ลูกกะ...!"
"[english]dota_chatwheel_message_legion_commander_4"	"Son of a...!"
"dota_chatwheel_label_legion_commander_4"	"ไอ้ลูกกะ..."
"[english]dota_chatwheel_label_legion_commander_4"	"Son of a..."
"dota_chatwheel_message_legion_commander_5"	"จากหน้ามือเป็นหลังเท้า!"
"[english]dota_chatwheel_message_legion_commander_5"	"That escalated quickly!"
"dota_chatwheel_label_legion_commander_5"	"จากหน้ามือเป็นหลังเท้า"
"[english]dota_chatwheel_label_legion_commander_5"	"That escalated quickly."
"dota_chatwheel_message_techies_laugh"	"ฮี่ ฮี่ ฮี่, ฮี่ฮี่ ฮ้า ฮ่า! โฮ่ โฮ้ โฮ้ โฮ่ โฮ่ ฮ่า ฮ่า ฮ่า!"
"[english]dota_chatwheel_message_techies_laugh"	"He he he, hehe ah ha! Oh ho ho oh oh ha ha ha!"
"dota_chatwheel_label_techies_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_techies_laugh"	"Laugh"
"dota_chatwheel_message_techies_thank"	"สนุกจัง! ฮู้ฮู้ฮู้!"
"[english]dota_chatwheel_message_techies_thank"	"Fun! Huhuhu!"
"dota_chatwheel_label_techies_thank"	"สนุกจัง!"
"[english]dota_chatwheel_label_techies_thank"	"Fun!"
"dota_chatwheel_message_techies_deny"	"ไหงมีคนบอกฉันว่ามันจะระเบิดเป็นเมฆรูปเห็ดอะ!"
"[english]dota_chatwheel_message_techies_deny"	"I was told there'd be a mushroom cloud!"
"dota_chatwheel_label_techies_deny"	"ระเบิดเป็นเมฆรูปเห็ด"
"[english]dota_chatwheel_label_techies_deny"	"Mushroom cloud."
"dota_chatwheel_message_techies_1"	"โอ้ ซวยละ!"
"[english]dota_chatwheel_message_techies_1"	"Oh crap!"
"dota_chatwheel_label_techies_1"	"โอ้ ซวยละ!"
"[english]dota_chatwheel_label_techies_1"	"Oh crap!"
"dota_chatwheel_message_techies_2"	"หายไปไหนแล้ว? ระเบิดกระจายไปทุกที่แล้วไง!"
"[english]dota_chatwheel_message_techies_2"	"Where'd he go? Everywhere!"
"dota_chatwheel_label_techies_2"	"หายไปไหนแล้ว? ระเบิดกระจายไปทุกที่แล้วไง!"
"[english]dota_chatwheel_label_techies_2"	"Where'd he go? Everywhere!"
"dota_chatwheel_message_techies_3"	"เสร็จฉันล่ะ!"
"[english]dota_chatwheel_message_techies_3"	"Gotcha!"
"dota_chatwheel_label_techies_3"	"เสร็จฉันล่ะ!"
"[english]dota_chatwheel_label_techies_3"	"Gotcha!"
"dota_chatwheel_message_techies_4"	"เชิญแกนั่งรอตรงนั้นก่อน ปล่อยให้คนฉลาดเขาทำงานกัน"
"[english]dota_chatwheel_message_techies_4"	"Just have a seat right over there. And let the smart people work."
"dota_chatwheel_label_techies_4"	"เชิญแกนั่ง"
"[english]dota_chatwheel_label_techies_4"	"Have a seat."
"dota_chatwheel_message_techies_5"	"ไม่อยากเชื่อว่ามันได้ผล"
"[english]dota_chatwheel_message_techies_5"	"I can't believe that worked."
"dota_chatwheel_label_techies_5"	"ไม่อยากเชื่อว่ามันได้ผล"
"[english]dota_chatwheel_label_techies_5"	"I can't believe that worked."
"dota_chatwheel_message_ember_spirit_laugh"	"ฮี้ ฮี่ ฮี่ ฮี่ ฮี่ ฮี่!"
"[english]dota_chatwheel_message_ember_spirit_laugh"	"Eh he he he he he!"
"dota_chatwheel_label_ember_spirit_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_ember_spirit_laugh"	"Laugh"
"dota_chatwheel_message_ember_spirit_thank"	"แรงบันดาลใจวูบวาบ!"
"[english]dota_chatwheel_message_ember_spirit_thank"	"A flash of inspiration!"
"dota_chatwheel_message_ember_spirit_1"	"เตรียมตัวรับบทเรียน"
"[english]dota_chatwheel_message_ember_spirit_1"	"Prepare for a lesson."
"dota_chatwheel_label_ember_spirit_1"	"เตรียมตัวรับบทเรียน"
"[english]dota_chatwheel_label_ember_spirit_1"	"Prepare for a lesson."
"dota_chatwheel_message_ember_spirit_2"	"เจ้าได้เรียนรู้อะไรบ้าง?"
"[english]dota_chatwheel_message_ember_spirit_2"	"What did you learn?"
"dota_chatwheel_label_ember_spirit_2"	"เจ้าได้เรียนรู้อะไรบ้าง?"
"[english]dota_chatwheel_label_ember_spirit_2"	"What did you learn?"
"dota_chatwheel_message_ember_spirit_3"	"ความสมดุลอยู่ในทุกสรรพสิ่ง"
"[english]dota_chatwheel_message_ember_spirit_3"	"Balance in all things."
"dota_chatwheel_label_ember_spirit_3"	"ความสมดุลอยู่ในทุกสรรพสิ่ง"
"[english]dota_chatwheel_label_ember_spirit_3"	"Balance in all things."
"dota_chatwheel_message_ember_spirit_4"	"ความโกรธนำมาซึ่งความล้มเหลว"
"[english]dota_chatwheel_message_ember_spirit_4"	"Through anger lies failure."
"dota_chatwheel_label_ember_spirit_4"	"ความโกรธนำมาซึ่งความล้มเหลว"
"[english]dota_chatwheel_label_ember_spirit_4"	"Through anger lies failure."
"dota_chatwheel_message_ember_spirit_5"	"แม้แต่ปรมาจารย์ก็สะดุดได้"
"[english]dota_chatwheel_message_ember_spirit_5"	"Even a master falters."
"dota_chatwheel_label_ember_spirit_5"	"แม้แต่ปรมาจารย์ก็สะดุดได้"
"[english]dota_chatwheel_label_ember_spirit_5"	"Even a master falters."
"dota_chatwheel_message_earth_spirit_laugh"	"โอ้ โฮ้ โฮ้ ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า!"
"[english]dota_chatwheel_message_earth_spirit_laugh"	"Oh ho ho ha ha ha ha ha ha!"
"dota_chatwheel_label_earth_spirit_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_earth_spirit_laugh"	"Laugh"
"dota_chatwheel_message_earth_spirit_1"	"อะไร?"
"[english]dota_chatwheel_message_earth_spirit_1"	"What?"
"dota_chatwheel_label_earth_spirit_1"	"อะไร?"
"[english]dota_chatwheel_label_earth_spirit_1"	"What?"
"dota_chatwheel_message_earth_spirit_4"	"จริงดิ? จริงดิ?"
"[english]dota_chatwheel_message_earth_spirit_4"	"Really? Really?"
"dota_chatwheel_label_earth_spirit_4"	"จริงดิ? จริงดิ?"
"[english]dota_chatwheel_label_earth_spirit_4"	"Really? Really?"
"dota_chatwheel_message_abyssal_underlord_laugh"	"ฮ้า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า!"
"[english]dota_chatwheel_message_abyssal_underlord_laugh"	"Ah ha ha ha ha ha ha ha ha!"
"dota_chatwheel_label_abyssal_underlord_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_abyssal_underlord_laugh"	"Laugh"
"dota_chatwheel_message_abyssal_underlord_thank"	"ข้าไม่ขอบคุณ"
"[english]dota_chatwheel_message_abyssal_underlord_thank"	"I do not thank."
"dota_chatwheel_label_abyssal_underlord_thank"	"ข้าไม่ขอบคุณ"
"[english]dota_chatwheel_label_abyssal_underlord_thank"	"I do not thank."
"dota_chatwheel_message_abyssal_underlord_deny"	"อัปรีย์!"
"[english]dota_chatwheel_message_abyssal_underlord_deny"	"Curses!"
"dota_chatwheel_label_abyssal_underlord_deny"	"อัปรีย์!"
"[english]dota_chatwheel_label_abyssal_underlord_deny"	"Curses!"
"dota_chatwheel_message_abyssal_underlord_1"	"โอ้ ใช่"
"[english]dota_chatwheel_message_abyssal_underlord_1"	"Oh yes."
"dota_chatwheel_label_abyssal_underlord_1"	"โอ้ ใช่"
"[english]dota_chatwheel_label_abyssal_underlord_1"	"Oh yes."
"dota_chatwheel_message_abyssal_underlord_2"	"พวกไร้ค่า!"
"[english]dota_chatwheel_message_abyssal_underlord_2"	"Insignificant."
"dota_chatwheel_label_abyssal_underlord_2"	"พวกไร้ค่า!"
"[english]dota_chatwheel_label_abyssal_underlord_2"	"Insignificant!"
"dota_chatwheel_message_abyssal_underlord_3"	"จงกราบนายใหม่ของเจ้า"
"[english]dota_chatwheel_message_abyssal_underlord_3"	"Bow to your new lord."
"dota_chatwheel_label_abyssal_underlord_3"	"จงกราบนายใหม่ของเจ้า"
"[english]dota_chatwheel_label_abyssal_underlord_3"	"Bow to your new lord."
"dota_chatwheel_message_abyssal_underlord_4"	"สิ้นหวังแล้ว"
"[english]dota_chatwheel_message_abyssal_underlord_4"	"There is no hope."
"dota_chatwheel_label_abyssal_underlord_4"	"สิ้นหวังแล้ว"
"[english]dota_chatwheel_label_abyssal_underlord_4"	"There is no hope."
"dota_chatwheel_message_abyssal_underlord_5"	"เกาะแน่น ๆ นะน้องนะ"
"[english]dota_chatwheel_message_abyssal_underlord_5"	"Hold on to your butts."
"dota_chatwheel_label_abyssal_underlord_5"	"เกาะแน่น ๆ!"
"[english]dota_chatwheel_label_abyssal_underlord_5"	"Hold on!"
"dota_chatwheel_message_terrorblade_laugh"	"ฮือฮะฮ่ะฮ่าฮ่าาา"
"[english]dota_chatwheel_message_terrorblade_laugh"	"Hehahahahahh."
"dota_chatwheel_label_terrorblade_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_terrorblade_laugh"	"Laugh"
"dota_chatwheel_message_terrorblade_thank"	"เป็นมารที่ช่างงดงามเสียจริง"
"[english]dota_chatwheel_message_terrorblade_thank"	"What a handsome devil."
"dota_chatwheel_label_terrorblade_thank"	"เป็นมารที่ช่างงดงามเสียจริง"
"[english]dota_chatwheel_label_terrorblade_thank"	"What a handsome devil."
"dota_chatwheel_message_terrorblade_deny"	"โอ้ พวกมันคงจะเกลียดข้าเพราะเรื่องนี้"
"[english]dota_chatwheel_message_terrorblade_deny"	"Oh, they're gonna hate me for this."
"dota_chatwheel_label_terrorblade_deny"	"พวกมันคงจะเกลียดข้าเพราะเรื่องนี้"
"[english]dota_chatwheel_label_terrorblade_deny"	"They're gonna hate me for this."
"dota_chatwheel_message_terrorblade_1"	"อุบายแลกอย่างแยบยล"
"[english]dota_chatwheel_message_terrorblade_1"	"Trick of the trade."
"dota_chatwheel_label_terrorblade_1"	"อุบายแลกอย่างแยบยล"
"[english]dota_chatwheel_label_terrorblade_1"	"Trick of the trade."
"dota_chatwheel_message_terrorblade_2"	"ศัตรูอันเลวร้ายคือตัวเจ้าเอง"
"[english]dota_chatwheel_message_terrorblade_2"	"Your own worst enemy."
"dota_chatwheel_label_terrorblade_2"	"ศัตรูอันเลวร้ายคือตัวเจ้าเอง"
"[english]dota_chatwheel_label_terrorblade_2"	"Your own worst enemy."
"dota_chatwheel_message_terrorblade_3"	"นั่นคงมิใช่ความชาญฉลาดกระมัง"
"[english]dota_chatwheel_message_terrorblade_3"	"Perhaps that wasn't wise."
"dota_chatwheel_label_terrorblade_3"	"นั่นคงมิใช่ความชาญฉลาดกระมัง"
"[english]dota_chatwheel_label_terrorblade_3"	"Perhaps that wasn't wise."
"dota_chatwheel_message_terrorblade_4"	"คมมีดอันชาญฉลาดจักพรากชีวิตผู้โง่เขลา"
"[english]dota_chatwheel_message_terrorblade_4"	"A wise blade takes a fool's life."
"dota_chatwheel_label_terrorblade_4"	"คมมีดอันชาญฉลาด"
"[english]dota_chatwheel_label_terrorblade_4"	"Wise blade."
"dota_chatwheel_message_terrorblade_5"	"จงต่อกรกับข้า เจ้าขี้ขลาด!"
"[english]dota_chatwheel_message_terrorblade_5"	"Fight me, cowards!"
"dota_chatwheel_label_terrorblade_5"	"จงต่อกรกับข้า!"
"[english]dota_chatwheel_label_terrorblade_5"	"Fight me!"
"dota_chatwheel_message_phoenix_laugh"	"ขันหัวเราะ"
"[english]dota_chatwheel_message_phoenix_laugh"	"Laughing Squawk"
"dota_chatwheel_label_phoenix_laugh"	"ขันหัวเราะ"
"[english]dota_chatwheel_label_phoenix_laugh"	"Laughing Squawk"
"dota_chatwheel_message_phoenix_thank"	"ขันขอบคุณ"
"[english]dota_chatwheel_message_phoenix_thank"	"Thankful Squawk"
"dota_chatwheel_label_phoenix_thank"	"ขันขอบคุณ"
"[english]dota_chatwheel_label_phoenix_thank"	"Thankful Squawk"
"dota_chatwheel_message_phoenix_deny"	"ขันปฏิเสธ"
"[english]dota_chatwheel_message_phoenix_deny"	"Denying Squawk"
"dota_chatwheel_label_phoenix_deny"	"ขันปฏิเสธ"
"[english]dota_chatwheel_label_phoenix_deny"	"Denying Squawk"
"dota_chatwheel_message_phoenix_1"	"ขันฉลองชัยชนะ"
"[english]dota_chatwheel_message_phoenix_1"	"Triumphant Squawk"
"dota_chatwheel_label_phoenix_1"	"ขันฉลองชัยชนะ"
"[english]dota_chatwheel_label_phoenix_1"	"Triumphant Squawk"
"dota_chatwheel_message_phoenix_2"	"ขันเสียใจ"
"[english]dota_chatwheel_message_phoenix_2"	"Sorrowful Squawk"
"dota_chatwheel_label_phoenix_2"	"ขันเสียใจ"
"[english]dota_chatwheel_label_phoenix_2"	"Sorrowful Squawk"
"dota_chatwheel_message_phoenix_3"	"ขันเยาะเย้ย"
"[english]dota_chatwheel_message_phoenix_3"	"Taunting Squawk"
"dota_chatwheel_label_phoenix_3"	"ขันเยาะเย้ย"
"[english]dota_chatwheel_label_phoenix_3"	"Taunting Squawk"
