"lang"
{ 
	"Language" "polish" 
	"Tokens" 
	{
		// To create a new key ( like $health ) just add the entry here
		"dota_ability_variable_health"				"pkt. zdrowia"					// $health
		"dota_ability_variable_mana"				"pkt. many"						// $mana
		"dota_ability_variable_armor"				"pkt. pancerza"						// $armor
		"dota_ability_variable_damage"				"pkt. obrażeń"					// $damage
		"dota_ability_variable_str"					"pkt. Siły"					// $str
		"dota_ability_variable_int"					"pkt. Inteligencji"				// $int
		"dota_ability_variable_agi"					"pkt. Zręczności"					// $agi
		"dota_ability_variable_all"					"pkt. wszystkich atrybutów"			// $all
		"dota_ability_variable_primary_attribute"	"pkt. głównego atrybutu"			// $primary_attribute
		"dota_ability_variable_attack"				"jedn. szybkości ataku"				// $attack
		"dota_ability_variable_hp_regen"			"pkt. regeneracji zdrowia"			// $hp_regen
"dota_ability_variable_mana_regen"			"pkt. regeneracji many"			// $mana_regen
		"dota_ability_variable_mana_regen_aura"		"jedn. aury regeneracji many"	// $mana_regen_aura
		"dota_ability_variable_spell_amp"			"obrażeń od czarów"				// $spell_amp
		"dota_ability_variable_debuff_amp"			"czasu trwanie negatywnych efektów"			// $debuff_amp
		"dota_ability_variable_move_speed"			"szybkości ruchu"			// $move_speed
		"dota_ability_variable_evasion"				"szansy na unik"					// $evasion
		"dota_ability_variable_spell_resist"		"odporności na magię"			// $spell_resist
"dota_ability_variable_spell_lifesteal_creep"	"kradzieży zdrowia z czarów (creepy)"	// $spell_lifesteal_creep
		"dota_ability_variable_spell_lifesteal_hero"	"kradzieży zdrowia z czarów (bohaterowie)"	// $spell_lifesteal_hero
		"dota_ability_variable_selected_attrib"		"pkt. wybranego atrybutu"		// $selected_attribute
		"dota_ability_variable_attack_range"		"jedn. zasięgu ataku <font color='#7d7d7d'>(tylko dla dystansowych)</font>"	// $attack_range
		"dota_ability_variable_attack_range_melee"	"jedn. zasięgu ataku <font color='#7d7d7d'>(tylko walczący wręcz)</font>"	// $attack_range_melee
		"dota_ability_variable_cast_range"			"zasięgu rzutu"				// $cast_range
		"dota_ability_variable_status_resist"		"odporności na statusy"			// $status_resist
		"dota_ability_variable_projectile_speed"	"jedn. szybkości pocisku"			// $projectile_speed
		"dota_ability_variable_manacost_reduction"	"redukcji kosztów many"		// $manacost_reduction
		"dota_ability_variable_cooldown_reduction"	"Skrócenie czasów oczekiwania"		// $cooldown_reduction 

		//ATTRIBUTES
		"DOTA_Tooltip_ability_item_dagon_5_Note0"									"Natychmiastowo zabija iluzje."
		//"DOTA_Tooltip_ability_item_dagon_5_damage"						        "BURST DAMAGE:"
		"DOTA_Tooltip_ability_item_dagon_5_bonus_int"						"+$int"
		"DOTA_Tooltip_ability_item_dagon_5_bonus_str"						"+$str"
		"DOTA_Tooltip_ability_item_dagon_5_bonus_agi"						"+$agi"
		//"DOTA_Tooltip_ability_item_dagon_5_abilitycastrange"							"CAST RANGE:"
		
		"DOTA_Tooltip_ability_item_demon_edge_Lore"						"Jedna z najstarszych broni wykutych przez demona-kowala Abzidiana; zabiła swojego twórcę, gdy ten chciał wypróbować jej ostrze."
		"DOTA_Tooltip_ability_item_demon_edge_bonus_damage"						"+$damage"
		
		"DOTA_Tooltip_ability_item_desolator_Lore"							"Okrutna broń używana do torturowania więźniów politycznych."
		"DOTA_Tooltip_ability_item_desolator_Note0"								"Obniżanie pancerza działa też na budynki."
		//"DOTA_Tooltip_ability_item_desolator_corruption_armor"					"ARMOR REDUCTION:"
		"DOTA_Tooltip_ability_item_desolator_bonus_damage"						"+$damage"		
		
		"DOTA_Tooltip_modifier_desolator_buff"					"Desolator"
		"DOTA_Tooltip_modifier_desolator_buff_Description"		"Desolator zredukował twój pancerz o %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS% pkt."

		"DOTA_Tooltip_ability_item_diffusal_blade_Description"				"<h1>Aktywna: Inhibit</h1> Rzucenie na wroga spowoduje spowolnienie go na %purge_slow_duration% s.<br><br>Zasięg: %abilitycastrange%\n<h1>Pasywna: Manabreak</h1>Każdy atak spala %feedback_mana_burn% pkt. many, zadając %damage_per_burn% pkt. obrażeń fizycznych za każdy spalony punkt many. <br><br>Iluzje walczące wręcz spalają %feedback_mana_burn_illusion_melee% pkt. many co atak, a iluzje walczące na dystans %feedback_mana_burn_illusion_ranged% pkt. many co atak."
		"DOTA_Tooltip_ability_item_diffusal_blade_Lore"							"Zaklęte ostrze pozwalające posiadaczowi godzić prosto w duszę wroga."
		"DOTA_Tooltip_ability_item_diffusal_blade_bonus_agility"				"+$agi"
		"DOTA_Tooltip_ability_item_diffusal_blade_bonus_intellect"				"+$int"
		//"DOTA_Tooltip_ability_item_diffusal_blade_purge_slow_duration"		"PURGE SLOW DURATION:"
		//"DOTA_Tooltip_ability_item_diffusal_blade_abilitycastrange"		"PURGE CAST RANGE:"

		"DOTA_Tooltip_modifier_item_diffusal_blade_slow"				"Diffusal Blade – Inhibit"
		"DOTA_Tooltip_modifier_item_diffusal_blade_slow_Description"	"Spowolnienie szybkości ruchu o %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

		"DOTA_Tooltip_ability_item_diffusal_blade_2_Description"				"<h1>Aktywna: Purge</h1> Rzucenie na wroga spowoduje usunięcie z niego efektów i spowolni go na %purge_slow_duration% s.<br><br>Zasięg: %abilitycastrange%\n<h1>Pasywna: Manabreak</h1>Każdy atak spala %feedback_mana_burn% pkt. many, zadając %damage_per_burn% pkt. obrażeń fizycznych za każdy spalony punkt many. <br><br>Iluzje walczące wręcz spalają %feedback_mana_burn_illusion_melee% pkt. many co atak, a iluzje walczące na dystans %feedback_mana_burn_illusion_ranged% pkt. many co atak. <br><br>Typ rozproszenia: <span class=\"GameplayValues GameplayVariable\">zwykłe</span>"
		"DOTA_Tooltip_ability_item_diffusal_blade_2_Lore"						"Zaklęte ostrze pozwalające posiadaczowi godzić prosto w duszę wroga."
		"DOTA_Tooltip_ability_item_diffusal_blade_2_bonus_agility"				"+$agi"
		"DOTA_Tooltip_ability_item_diffusal_blade_2_bonus_intellect"			"+$int"
"DOTA_Tooltip_ability_item_dust_Note0"									"Na wrogów w promieniu działania zostanie nałożony efekt ujawniający ich podczas niewidzialności."
		//"DOTA_Tooltip_ability_item_dust_duration"								"DURATION:"
		//"DOTA_Tooltip_ability_item_dust_radius"								"RADIUS:"
		//"DOTA_Tooltip_ability_item_dust_movespeed"							"%SLOW:"
		"DOTA_Tooltip_ability_item_dust_Lore"									"Można ukryć swoje oblicze, ale nigdy swoją objętość."
		
		"DOTA_Tooltip_modifier_item_dustofappearance"					"Dust of Appearance"
		"DOTA_Tooltip_modifier_item_dustofappearance_Description"		"Efekt niewidzialności zniwelowany. Spowolnienie o %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."


		"DOTA_Tooltip_ability_item_eagle_Lore"									"W tym mistycznym rogu zaklęto majestatyczny krzyk orła; zapewnia nieograniczoną zręczność tym, którzy go usłyszą."
		"DOTA_Tooltip_ability_item_eagle_bonus_agility"							"+$agi"
		
		"DOTA_Tooltip_ability_item_energy_booster_Lore"							"Ten lazurowy klejnot jest często dodawany do kolekcji czarodziei chcących zwiększyć swoje zdolności bojowe."
		"DOTA_Tooltip_ability_item_energy_booster_bonus_mana"					"+$mana"
		
		"DOTA_Tooltip_ability_item_ethereal_blade_Note0"						"Współdzieli czas oczekiwania z Ghost Scepter."
		"DOTA_Tooltip_ability_item_ethereal_blade_Note3"						"Użycie Town Portal Scroll lub Boots of Travel nie rozproszy efektu Ethereal Form."
		"DOTA_Tooltip_ability_item_ethereal_blade_bonus_agility"				"+$agi"
		"DOTA_Tooltip_ability_item_ethereal_blade_bonus_strength"				"+$str"
		"DOTA_Tooltip_ability_item_ethereal_blade_bonus_intellect"				"+$int"
		//"DOTA_Tooltip_ability_item_ethereal_blade_blast_movement_slow"	"%BLAST ENEMY MOVE SLOW:"		
		//"DOTA_Tooltip_ability_item_ethereal_blade_duration"					"BLAST ENEMY DURATION:"
		//"DOTA_Tooltip_ability_item_ethereal_blade_duration_ally"				"BLAST ALLY/SELF DURATION:"
		//"DOTA_Tooltip_ability_item_ethereal_blade_ethereal_damage_bonus"		"%INCREASED MAGIC DAMAGE:"
		"DOTA_Tooltip_ability_item_ethereal_blade_Lore"						"Migotliwe ostrze upiornej natury mogące zadawać obrażenia zarówno magiczne, jak i fizyczne."
		
		"DOTA_Tooltip_modifier_item_ethereal_blade_ethereal"				"Ether Blast"
		"DOTA_Tooltip_modifier_item_ethereal_blade_ethereal_Description"	"Postać eteryczna. Otrzymywanie o %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_DECREPIFY_UNIQUE%%% więcej obrażeń magicznych, nie można atakować ani być atakowanym."
		"DOTA_Tooltip_modifier_item_ethereal_blade_slow"				"Ethereal Blade – spowolnienie"
		"DOTA_Tooltip_modifier_item_ethereal_blade_slow_Description"	"Spowolnienie szybkości ruchu o %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

		"DOTA_Tooltip_ability_item_flask_Description"							"<h1>Użycie: Salve</h1> Zapewnia wskazanej jednostce %health_regen% pkt. regeneracji zdrowia na %buff_duration% s.<br><br>Jeśli jednostka zostanie zaatakowana przez wrogiego bohatera lub Roshana, efekt zostaje utracony.<br><br>Zasięg: %abilitycastrange%"
		"DOTA_Tooltip_ability_item_flask_Lore"								"Magiczny balsam, który potrafi szybko zagoić nawet najgłębsze rany."
		//"DOTA_Tooltip_ability_item_flask_total_health"							"HEALTH RESTORED:"
		//"DOTA_Tooltip_ability_item_flask_buff_duration"							"DURATION:"
		
		"DOTA_Tooltip_modifier_flask_healing"				"Healing Salve"
		"DOTA_Tooltip_modifier_flask_healing_Description"		"Premia do regeneracji zdrowia."

		"DOTA_Tooltip_ability_item_force_staff_Description"						"<h1>Aktywna: Force</h1>Popycha wskazaną jednostkę o %push_length% jednostek w kierunku, w którym jest ona zwrócona.<br><br>Zasięg: %abilitycastrange%"
		"DOTA_Tooltip_ability_item_force_staff_Lore"						"Pozwala manipulować położeniem innych osób - na ich korzyść lub szkodę."
		"DOTA_Tooltip_ability_item_force_staff_Note0"							"Rzucenie na siebie spowoduje użycie Force na twoim bohaterze."
		"DOTA_Tooltip_ability_item_force_staff_Note1"							"Użycie nie przerywa czynności wykonywanych przez cel."
		"DOTA_Tooltip_ability_item_force_staff_Note2"							"Nie zadziała na jednostki objęte działaniem umiejętności Chronosphere, Duel lub Black Hole."
		"DOTA_Tooltip_ability_item_force_staff_bonus_intellect"					"+$int"
		"DOTA_Tooltip_ability_item_force_staff_bonus_health"					"+$health"
		
		"DOTA_Tooltip_modifier_item_forcestaff_active"				"Force"
		"DOTA_Tooltip_modifier_item_forcestaff_active_Description"	"Odepchnięcie przez Force Staff."

		"DOTA_Tooltip_ability_item_gauntlets_Lore"								"Ćwiekowane skórzane rękawice, które dodają brutalnej siły."
		"DOTA_Tooltip_ability_item_gauntlets_bonus_strength"					"+$str"
		
		//"DOTA_Tooltip_ability_item_gem_radius"										"TRUE SIGHT RADIUS:"
		"DOTA_Tooltip_ability_item_gem_Note0"									"Nie działa w ekwipunku kuriera."
		"DOTA_Tooltip_ability_item_gem_Lore"										"Bo żadne z głębinowych sług, \nNi utopione w morzach zło, \nNi sam Maelrawn o Mackach Stu \nNie spoczną, nim odnajdą go."
		
		"DOTA_Tooltip_ability_item_ghost_Description"							"<h1>Aktywna: Ghost Form</h1> Przyjmujesz formę ducha na %duration% s. W tej formie masz odporność na obrażenia fizyczne, ale nie możesz atakować i otrzymujesz obrażenia magiczne zwiększone o %extra_spell_damage_percent%%%."
		"DOTA_Tooltip_ability_item_ghost_Note0"								"Kończy się, gdy nabędziesz niewrażliwość na czary i nie będzie mieć efektu, gdy już ją masz."
		"DOTA_Tooltip_ability_item_ghost_Note1"								"Współdzieli czas oczekiwania z Ethereal Blade."
		"DOTA_Tooltip_ability_item_ghost_bonus_all_stats"						"+$all"
		//"DOTA_Tooltip_ability_item_ghost_duration"							"GHOST DURATION:"
		//"DOTA_Tooltip_ability_item_ghost_extra_spell_damage_percent"							"%GHOST ADDED MAGIC DAMAGE:"
		"DOTA_Tooltip_ability_item_ghost_Lore"								"Posiadacz przybiera formę upiora, która pozwala mu na uniknięcie obrażeń fizycznych."

		"DOTA_Tooltip_modifier_ghost_state"						"Ghost Form"
		"DOTA_Tooltip_modifier_ghost_state_Description"			"Postać eteryczna. Otrzymywanie %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_DECREPIFY_UNIQUE%%% więcej obrażeń magicznych, nie można atakować ani być atakowanym."



		"DOTA_Tooltip_ability_item_aether_staff_Description"						"test."
		"DOTA_Tooltip_ability_item_aether_staff_Lore"								"notes."

		"DOTA_Tooltip_ability_item_gloves_Lore"									"Para magicznych rękawic, które wydają się czynić broń lekką jak piórko."		
		"DOTA_Tooltip_ability_item_gloves_bonus_attack_speed"					"+$attack"
		
		"DOTA_Tooltip_ability_item_greater_crit_Description"					"<h1>Pasywna: Critical Strike</h1>Każdy atak ma %crit_chance%%% szansy na zadanie %crit_multiplier%%% obrażeń."
		"DOTA_Tooltip_ability_item_greater_crit_Note0" 							"Critical Strike nie działa przeciwko budynkom."
		"DOTA_Tooltip_ability_item_greater_crit_Lore"							"Broń o niezwykłej mocy, która jest trudna do opanowania nawet dla najsilniejszych wojowników."
		//"DOTA_Tooltip_ability_item_greater_crit_crit_chance"					"%CRITICAL CHANCE:"
		//"DOTA_Tooltip_ability_item_greater_crit_crit_multiplier"				"%CRITICAL DAMAGE:"
		"DOTA_Tooltip_ability_item_greater_crit_bonus_damage"					"+$damage"		
		
		"DOTA_Tooltip_ability_item_hand_of_midas_Description"					"<h1>Aktywna: Transmute</h1> Zabija jednostkę niebędącą bohaterem, przyznając %bonus_gold% szt. złota oraz %xp_multiplier% razy więcej doświadczenia. <br><br>Nie można użyć na starożytnych creepach.<br><br>Zasięg: %abilitycastrange%"
		"DOTA_Tooltip_ability_item_hand_of_midas_Lore"							"Zachowana nieznanymi magicznymi sposobami Ręka Midasa jest bronią chciwców, którzy poświęcają zwierzęta, by napełnić własne kieszenie."
		"DOTA_Tooltip_ability_item_hand_of_midas_Note0"							"Otrzymane złoto jest pewne (nie otrzymasz normalnej nagrody za zabójstwo creepa)."
		"DOTA_Tooltip_ability_item_hand_of_midas_Note1"							"Doświadczenie uzyskane przez użycie Transmute nie jest dzielone z innymi."
		"DOTA_Tooltip_ability_item_hand_of_midas_bonus_attack_speed"			"+$attack"
		//"DOTA_Tooltip_ability_item_hand_of_midas_abilitycastrange"	"TRANSMUTE CAST RANGE:"
		
		"DOTA_Tooltip_ability_item_headdress_Description"						"<h1>Pasywna: Regeneration Aura </h1>Zapewnia sojusznikom %aura_health_regen% pkt. regeneracji zdrowia.<br><br>Promień: %aura_radius%"
		"DOTA_Tooltip_ability_item_headdress_Lore"								"Tworzy kojącą aurę, która przywraca siły sojusznikom."
		//"DOTA_Tooltip_ability_item_headdress_bonus_all_stats"					"+$all"
		"DOTA_Tooltip_ability_item_headdress_health_regen"      "+$hp_regen"
		
		"DOTA_Tooltip_modifier_item_headdress_aura"				"Headdress – Regeneration Aura"
		"DOTA_Tooltip_modifier_item_headdress_aura_Description"	"Regenerowanie %fMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% pkt. zdrowia na sekundę."
		
		//"DOTA_Tooltip_ability_item_heart_Description"							"<h1>Passive: Regeneration Amplification</h1>When below %low_health_threshold%%% health, increases all passive health regeneration by %hp_regen_amp%%%."
		"DOTA_Tooltip_ability_item_heart_Lore"									"Zakonserwowane serce wymarłego potwora. Zwiększa hart ducha."
		"DOTA_Tooltip_ability_item_heart_bonus_strength"						"+$str"
		"DOTA_Tooltip_ability_item_heart_bonus_health"							"+$health"
		"DOTA_Tooltip_ability_item_heart_health_regen_pct"							"%+regeneracji maksymalnego zdrowia"
		
		"DOTA_Tooltip_ability_item_helm_of_iron_will_Lore"				"Hełm legendarnego wojownika, który poległ w bitwie."
		"DOTA_Tooltip_ability_item_helm_of_iron_will_bonus_armor"				"+$armor"
		"DOTA_Tooltip_ability_item_helm_of_iron_will_bonus_regen"				"+$hp_regen"
		
		"DOTA_Tooltip_ability_item_helm_of_the_dominator_Description"			"<h1>Aktywna: Dominate</h1>Przejmuje kontrolę nad jedną neutralną jednostką niebędącą starożytnym creepem i zmienia jej szybkość ruchu na %speed_base% jedn. oraz maksymalne zdrowie na co najmniej %health_min% pkt. Zapewnia również tej jednostce +%creep_bonus_damage% pkt. bazowych obrażeń od ataku, +%creep_bonus_hp_regen% pkt. regeneracji zdrowia, +%creep_bonus_mp_regen% pkt. regeneracji many i +%creep_bonus_armor% pkt. pancerza.<br><br>Zdominowane jednostki z maksymalnym zdrowiem powyżej %health_min% pkt. zachowują swoje oryginalne maksymalne zdrowie. Nagroda w złocie za zabójstwo zdominowanej jednostki jest ustawiana na %bounty_gold% szt. złota. <br><br>Zasięg: %abilitycastrange%"
		"DOTA_Tooltip_ability_item_helm_of_the_dominator_Lore"					"Nakrycie głowy nieżyjącego nekromanty, które zapewnia ogromną moc."
		"DOTA_Tooltip_ability_item_helm_of_the_dominator_Note0"					"Nie można dominować więcej niż jednej jednostki jednocześnie. Jeżeli nowa jednostka zostanie zdominowana, poprzednia umrze."
		"DOTA_Tooltip_ability_item_helm_of_the_dominator_Note1"					"Może również zdominować wrogie creepy ze ścieżek i przyzwane jednostki."
		"DOTA_Tooltip_ability_item_helm_of_the_dominator_Note2"					"Sprzedanie Helm of the Dominator spowoduje, że zdominowane jednostki umrą."
		"DOTA_Tooltip_ability_item_helm_of_the_dominator_bonus_stats"			"+$all"
		"DOTA_Tooltip_ability_item_helm_of_the_dominator_bonus_armor"				"+$armor"
		"DOTA_Tooltip_ability_item_helm_of_the_dominator_bonus_regen"				"+$hp_regen"
		
		"DOTA_Tooltip_ability_item_helm_of_the_overlord_Description"			"<h1>Aktywna: Dominate</h1>Przejmuje kontrolę nad jedną neutralną jednostką i zmienia jej szybkość ruchu na %speed_base% jedn. oraz maksymalne zdrowie na co najmniej %health_min% pkt. Zapewnia również tej jednostce +%creep_bonus_damage% pkt. bazowych obrażeń od ataku, +%creep_bonus_hp_regen% pkt. regeneracji zdrowia, +%creep_bonus_mp_regen% pkt. regeneracji many i +%creep_bonus_armor% pkt. pancerza.<br><br>Zdominowane jednostki z maksymalnym zdrowiem powyżej %health_min% pkt. zachowują swoje oryginalne maksymalne zdrowie. Nagroda w złocie za zabójstwo zdominowanej jednostki jest ustawiana na %bounty_gold% szt. złota. <br><br>Zasięg: %abilitycastrange%\n<h1>Pasywna: Vladmir's Aura</h1>Przyznaje pobliskim sojusznikom %lifesteal_aura%%% kradzieży zdrowia, %damage_aura%%% premii do obrażeń, %mana_regen_aura% pkt. regeneracji many i %armor_aura% pkt. pancerza."
		"DOTA_Tooltip_ability_item_helm_of_the_overlord_Lore"					"Nakrycie głowy nieżyjącego nekromanty, które zapewnia ogromną moc."
		"DOTA_Tooltip_ability_item_helm_of_the_overlord_Note0"					"Można zdominować maksymalnie dwie jednostki jednocześnie."
		"DOTA_Tooltip_ability_item_helm_of_the_overlord_Note1"					"Może również zdominować wrogie creepy ze ścieżek i przyzwane jednostki."
		"DOTA_Tooltip_ability_item_helm_of_the_overlord_Note2"					"Sprzedanie spowoduje, że zdominowane jednostki umrą."
		"DOTA_Tooltip_ability_item_helm_of_the_overlord_bonus_stats"			"+$all"
		"DOTA_Tooltip_ability_item_helm_of_the_overlord_bonus_armor"				"+$armor"
		"DOTA_Tooltip_ability_item_helm_of_the_overlord_bonus_regen"				"+$hp_regen"



		"DOTA_Tooltip_modifier_item_helm_of_the_dominator_aura"					"Helm of the Dominator – aura"
		"DOTA_Tooltip_modifier_item_helm_of_the_dominator_aura_Description"		"Zwiększenie regeneracji zdrowia o %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% pkt. i bazowych obrażeń o %dMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%%."

		"DOTA_Tooltip_ability_item_hood_of_defiance_Description"    		"<h1>Aktywna: Barrier</h1> Tworzy tarczę przeciw czarom, która pochłania %barrier_block% pkt. obrażeń magicznych. Trwa %barrier_duration% s."
		"DOTA_Tooltip_ability_item_hood_of_defiance_Lore"			    	"Odporne na czary, przybrane futrem nakrycie głowy, którego obawiają się czarodzieje."
		"DOTA_Tooltip_ability_item_hood_of_defiance_Note0"					"Mnoży się z innymi źródłami odporności na magię."
		"DOTA_Tooltip_ability_item_hood_of_defiance_tooltip_resist"			"%+$spell_resist"
		"DOTA_Tooltip_ability_item_hood_of_defiance_bonus_health_regen"		"+$hp_regen"
		//"DOTA_Tooltip_ability_item_hood_of_defiance_barrier_block"	    	"BARRIER BLOCK:"
		//"DOTA_Tooltip_ability_item_hood_of_defiance_barrier_duration"    	"BARRIER DURATION:"

		"DOTA_Tooltip_ability_item_eternal_shroud_Description"    		"<h1>Aktywna: Shroud</h1> Tworzy tarczę przeciw czarom, która absorbuje %barrier_block% pkt. obrażeń magicznych i konwertuje otrzymane obrażenia na manę. Trwa %barrier_duration% s."
		"DOTA_Tooltip_ability_item_eternal_shroud_Lore"		"Nieskazitelny kaptur, który żywi się waśnią, by wzmocnić swojego właściciela."
		"DOTA_Tooltip_ability_item_eternal_shroud_bonus_spell_resist"		"%+$spell_resist"
		"DOTA_Tooltip_ability_item_eternal_shroud_bonus_health_regen"		"+$hp_regen"
		"DOTA_Tooltip_modifier_item_eternal_shroud_barrier"					"Shroud"
		"DOTA_Tooltip_modifier_item_eternal_shroud_barrier_Description"		"Magiczna tarcza, która blokuje %dMODIFIER_PROPERTY_INCOMING_SPELL_DAMAGE_CONSTANT% pkt. nadchodzących obrażeń magicznych, przekształcając otrzymane obrażenia w manę."

		"DOTA_Tooltip_modifier_item_hood_of_defiance_barrier"				"Barrier"
		"DOTA_Tooltip_modifier_item_hood_of_defiance_barrier_Description"	"Tarcza magiczna, która blokuje %dMODIFIER_PROPERTY_INCOMING_SPELL_DAMAGE_CONSTANT% pkt. nadchodzących obrażeń magicznych."

		"DOTA_Tooltip_ability_item_hyperstone_Lore"						"Mistyczny, rzeźbiony kamień, który zwiększa zapał posiadacza."
		"DOTA_Tooltip_ability_item_hyperstone_bonus_attack_speed"				"+$attack"
		
		"DOTA_Tooltip_ability_item_moon_shard_bonus_attack_speed"				"+$attack"
		//"DOTA_Tooltip_ability_item_moon_shard_consumed_bonus" "CONSUME ATTACK SPEED:"
		//"DOTA_Tooltip_ability_item_moon_shard_consumed_bonus_night_vision" "CONSUME NIGHT VISION:"
		"DOTA_Tooltip_ability_item_moon_shard_Lore"								"Podobno jest to łza Bogini Księżyca Selimeny."
		
		"DOTA_Tooltip_modifier_item_moon_shard_consumed"	"Moon Shard"
		"DOTA_Tooltip_modifier_item_moon_shard_consumed_Description"	"Zwiększenie szybkości ataku o %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% jednostek, zwiększenie zasięgu wzroku w nocy o %dMODIFIER_PROPERTY_BONUS_NIGHT_VISION_UNIQUE% jednostek po zużyciu Moon Sharda."
		"DOTA_Tooltip_modifier_item_moon_shard_consumed_Description_Dashboard"	"Zwiększenie szybkości ataku oraz zasięgu wzroku w nocy po zużyciu Moon Sharda."


		"DOTA_Tooltip_ability_item_invis_sword_Description"						"<h1>Aktywna: Shadow Walk</h1>Zapewnia ci niewidzialność na %windwalk_duration% s lub do momentu zaatakowania wroga bądź rzucenia czaru. Podczas trwania niewidzialności poruszasz się o %windwalk_movement_speed%%% szybciej i możesz przenikać przez jednostki. <br><br>Jeśli utracisz niewidzialność poprzez zaatakowanie przeciwnika, ten atak zada dodatkowe %windwalk_bonus_damage% pkt. obrażeń fizycznych."
		"DOTA_Tooltip_ability_item_invis_sword_Lore"						"Ostrze upadłego króla pozwalające poruszać się niepostrzeżenie i atakować z ukrycia."
		"DOTA_Tooltip_ability_item_invis_sword_Note0"							"Posiada czas zanikania wynoszący %windwalk_fade_time% s."
		"DOTA_Tooltip_ability_item_invis_sword_Note1"							"Jeśli czas trwania niewidzialności skończy się przed zaatakowaniem wroga, dodatkowe obrażenia zostaną utracone."
		//"DOTA_Tooltip_ability_item_invis_sword_windwalk_duration"					"SHADOW WALK DURATION:"
		//"DOTA_Tooltip_ability_item_invis_sword_windwalk_bonus_damage"		"SHADOW WALK DAMAGE:"		
		"DOTA_Tooltip_ability_item_invis_sword_bonus_damage"					"+$damage"
		"DOTA_Tooltip_ability_item_invis_sword_bonus_attack_speed"				"+$attack"

		"DOTA_Tooltip_modifier_item_invisibility_edge_windwalk"				"Shadow Walk"
		"DOTA_Tooltip_modifier_item_invisibility_edge_windwalk_Description"	"Jednostka niewidzialna niczym wiatr. Zwiększenie szybkości ruchu o %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, można przenikać przez jednostki. Atak przerywający niewidzialność zada 175 dodatkowych pkt. obrażeń."

		"DOTA_Tooltip_ability_item_silver_edge_Description"						"<h1>Aktywna: Shadow Walk</h1> Zapewnia ci niewidzialność na %windwalk_duration% s lub do momentu zaatakowania wroga bądź rzucenia czaru. Podczas trwania niewidzialności poruszasz się o %windwalk_movement_speed%%% szybciej i możesz przenikać przez jednostki. <br><br>Jeśli utracisz niewidzialność poprzez zaatakowanie wroga, ten atak zada celowi dodatkowe %windwalk_bonus_damage% pkt. obrażeń fizycznych oraz gwarantowane trafienie krytyczne o wartości %crit_multiplier%%% obrażeń, a także wyłączy jego umiejętności pasywne na %backstab_duration% s.\n<h1>Pasywna: Critical Strike</h1>Przyznaje każdemu atakowi %crit_chance%%% szansy na zadanie %crit_multiplier%%% obrażeń."
		"DOTA_Tooltip_ability_item_silver_edge_bonus_damage"				"+$damage"
		"DOTA_Tooltip_ability_item_silver_edge_bonus_attack_speed"			"+$attack"
		//"DOTA_Tooltip_ability_item_silver_edge_bonus_strength"                "+$str"
		//"DOTA_Tooltip_ability_item_silver_edge_windwalk_duration"					"SHADOW WALK DURATION:"
		//"DOTA_Tooltip_ability_item_silver_edge_windwalk_bonus_damage"		"BONUS ATTACK DAMAGE:"
		//"DOTA_Tooltip_ability_item_silver_edge_backstab_reduction"		"%ENEMY DAMAGE REDUCTION:"
		//"DOTA_Tooltip_ability_item_silver_edge_backstab_duration"		"REDUCTION DURATION:"
		"DOTA_Tooltip_ability_item_silver_edge_Lore"						"Kiedyś użyto go, by zabić niesprawiedliwego króla, ale niestety w wyniku tego w królestwie wybuchła wojna domowa."

		"DOTA_Tooltip_modifier_item_silver_edge_windwalk"	"Shadow Walk"
		"DOTA_Tooltip_modifier_item_silver_edge_windwalk_Description"	"Niewidzialność. Zwiększenie szybkości ruchu o %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, można poruszać się przez jednostki. Atak kończący niewidzialność zada dodatkowe %dMODIFIER_PROPERTY_TOOLTIP% pkt. obrażeń, spowolni cel i wyłączy jego umiejętności pasywne."
		"DOTA_Tooltip_modifier_silver_edge_debuff"		"Shadow Walk – atak"
		"DOTA_Tooltip_modifier_silver_edge_debuff_Description"		"Pasywne umiejętności wyłączone."


		"DOTA_Tooltip_ability_item_glimmer_cape_Description"						"<h1>Aktywna: Glimmer</h1> Po %fade_delay% s opóźnienia zapewnia niewidzialność i %active_magical_armor%%% odporności na magię tobie albo wybranej sojuszniczej jednostce na %duration% s. <br><br>Zasięg: %abilitycastrange%<br><br>Użycie nie przerywa inkantacji."
		//"DOTA_Tooltip_ability_item_glimmer_cape_bonus_attack_speed"			"+$attack"
