"lang"
{ 
	"Language" "japanese" 
	"Tokens" 
	{
		// To create a new key ( like $health ) just add the entry here
		"dota_ability_variable_health"				"HP"					// $health
		"dota_ability_variable_mana"				"マナ"						// $mana
		"dota_ability_variable_armor"				"アーマー"						// $armor
		"dota_ability_variable_damage"				"ダメージ"					// $damage
		"dota_ability_variable_str"					"Strength"					// $str
		"dota_ability_variable_int"					"Intelligence"				// $int
		"dota_ability_variable_agi"					"Agility"					// $agi
		"dota_ability_variable_all"					"すべての属性"			// $all
		"dota_ability_variable_attack"				"攻撃速度"				// $attack
		"dota_ability_variable_mana_regen"			"マナ自然回復"			// $mana_regen
		"dota_ability_variable_spell_amp"			"スペルダメージ"				// $spell_amp
		"dota_ability_variable_move_speed"			"移動速度"			// $move_speed
		"dota_ability_variable_evasion"				"回避"					// $evasion
		"dota_ability_variable_selected_attrib"		"選択中の属性"		// $selected_attribute
		"dota_ability_variable_attack_range"		"攻撃範囲 <font color='#7d7d7d'>(Ranged のみ)</font>"	// $attack_range
		"dota_ability_variable_cast_range"			"キャスト範囲"				// $cast_range
//ATTRIBUTES
		"DOTA_Tooltip_ability_attribute_bonus"											"属性値ボーナス"
		"DOTA_Tooltip_ability_techies_minefield_sign_lifetime"				"SIGN 持続時間:"
		"DOTA_Tooltip_modifier_techies_minefield_sign_aura"					"Minefield Sign"
		"DOTA_Tooltip_ability_winter_wyvern_arctic_burn_attack_range_bonus"		"ボーナス攻撃範囲:"
		"DOTA_Tooltip_ability_winter_wyvern_arctic_burn_move_slow"				"%移動減速:"
		"DOTA_Tooltip_ability_winter_wyvern_splinter_blast_movespeed_slow_tooltip"		"%移動減速："
		"DOTA_Tooltip_ability_winter_wyvern_splinter_blast_duration"			"減速 持続時間:"		
		"DOTA_Tooltip_ability_winter_wyvern_cold_embrace_duration"			"持続時間:"
		"DOTA_Tooltip_ability_winter_wyvern_winters_curse_radius"			"CURSE 範囲:"
		"DOTA_Tooltip_ability_winter_wyvern_winters_curse_bonus_attack_speed"	"CURSE 攻撃速度:"
		"DOTA_Tooltip_ability_winter_wyvern_winters_curse_duration"			"CURSE 持続時間N:"
		"DOTA_Tooltip_modifier_winter_wyvern_arctic_burn_flight"			"Arctic Burn Flight"
		"DOTA_Tooltip_modifier_winter_wyvern_arctic_burn_slow"			"Arctic Burn Slow"
		"DOTA_Tooltip_modifier_winter_wyvern_splinter_blast_slow"		"Splinter Blast 減速"
		"DOTA_Tooltip_modifier_winter_wyvern_cold_embrace"		"Cold Embrace"
		"DOTA_Tooltip_modifier_winter_wyvern_winters_curse"		"Winter's Curse"
		"DOTA_Tooltip_modifier_winter_wyvern_winters_curse_aura"		"Winter's Curse ターゲット"
		// Arc Warden
		"DOTA_Tooltip_ability_arc_warden_flux"				"Flux"
		"DOTA_Tooltip_ability_arc_warden_flux_duration"			"持続時間:"
		"DOTA_Tooltip_ability_arc_warden_flux_damage_per_second"	"ダメージ／秒："
		"DOTA_Tooltip_ability_arc_warden_magnetic_field_radius"		"範囲:"
		"DOTA_Tooltip_ability_arc_warden_magnetic_field_duration"	"持続時間:"
		"DOTA_Tooltip_ability_arc_warden_magnetic_field_attack_speed_bonus" "攻撃速度ボーナス："
		"DOTA_Tooltip_ability_arc_warden_spark_wraith_duration"		"持続時間:"
		"DOTA_Tooltip_ability_arc_warden_spark_wraith_spark_damage"	"ダメージ:"
		"DOTA_Tooltip_ability_arc_warden_tempest_double_duration"	"持続時間:"
		"DOTA_Tooltip_modifier_arc_warden_flux"				"Flux"
		"DOTA_Tooltip_modifier_arc_warden_magnetic_field_attack_speed"		"Magnetic Field"
		"DOTA_Tooltip_modifier_arc_warden_tempest_double"		"Tempest Double"
		// Monkey King
		"DOTA_Tooltip_ability_monkey_king_tree_dance"				"Tree Dance"
		"DOTA_Tooltip_ability_monkey_king_tree_dance_Lore"			"木の天蓋に沿って、ちょうど手の届かないところで踊る。"
		"DOTA_Tooltip_ability_monkey_king_tree_dance_Note0"			"Tree Dance のクールダウンは着地から始まる。"
		"DOTA_Tooltip_ability_monkey_king_tree_dance_perched_jump_distance"	"距離:"
		"DOTA_Tooltip_ability_monkey_king_tree_dance_jump_damage_cooldown"	"ダメージ クールダウン:"
		"DOTA_Tooltip_ability_monkey_king_tree_dance_impact_damage_tooltip"	"PRIMAL SPRING ダメージ:"
		"DOTA_Tooltip_ability_monkey_king_tree_dance_impact_movement_slow_tooltip"	"%PRIMAL SPRING 減速:"
		"DOTA_Tooltip_ability_monkey_king_primal_spring"					"Primal Spring"
		"DOTA_Tooltip_ability_monkey_king_primal_spring_Lore"				"敵のいない安全な場所から敵の真ん中へ飛び込み、容赦なく攻撃を与える。"
		"DOTA_Tooltip_ability_monkey_king_primal_spring_impact_damage"			"ダメージ:"
		"DOTA_Tooltip_ability_monkey_king_primal_spring_impact_movement_slow"	"%移動減速:"
		"DOTA_Tooltip_ability_monkey_king_primal_spring_max_distance"			"最大距離:"
		"DOTA_Tooltip_Ability_monkey_king_primal_spring_early"					"Spring Early"
		"DOTA_Tooltip_ability_monkey_king_boundless_strike"						"Boundless Strike"
		"DOTA_Tooltip_ability_monkey_king_boundless_strike_Description"			"如意棒を巨大化させて地面をたたきつけ、直線状にいる敵をスタンさせてダメージを与える。攻撃に基づいてクリティカルヒットを与える。トゥルーストライクを与える。"
		"DOTA_Tooltip_ability_monkey_king_boundless_strike_Lore"				"伝説の如意棒が持ち主の意志通りに成長し、誰も逃げることができなくなる。"
		"DOTA_Tooltip_ability_monkey_king_boundless_strike_stun_duration"		"スタン持続時間:"
		"DOTA_Tooltip_ability_monkey_king_jingu_mastery"						"Jingu Mastery"
		"DOTA_Tooltip_ability_monkey_king_jingu_mastery_Note0"					"敵を Boundless Strike で撃ち、ヒット数に加える。"
		"DOTA_Tooltip_ability_monkey_king_jingu_mastery_required_hits"			"必要なヒット数:"
		"DOTA_Tooltip_ability_monkey_king_jingu_mastery_counter_duration"		"カウンター持続時間:"
		"DOTA_Tooltip_ability_monkey_king_jingu_mastery_charges"				"チャージ:"
		"DOTA_Tooltip_ability_monkey_king_jingu_mastery_bonus_damage"			"ボーナスダメージ:"
		"DOTA_Tooltip_ability_monkey_king_jingu_mastery_lifesteal"				"%ボーナスライフ吸収:"
		"DOTA_Tooltip_ability_monkey_king_mischief"				"Mischief"
		"DOTA_Tooltip_ability_monkey_king_mischief_movespeed"		"移動速度:"
		"DOTA_Tooltip_ability_monkey_king_untransform"				"Revert Form"
		"DOTA_Tooltip_ability_monkey_king_untransform_Description"	"元の形に戻る。"
		"DOTA_Tooltip_ability_monkey_king_wukongs_command"					"Wukong's Command"
		"DOTA_Tooltip_ability_monkey_king_wukongs_command_Lore"			"毛皮の房を抜き取って敵に吹き付け、それぞれの毛を自身の分身に変える。"
		"DOTA_Tooltip_ability_monkey_king_wukongs_command_Note0"			"兵士たちは Jingu Mastery ボーナスは受け取らない。"
		"DOTA_Tooltip_ability_monkey_king_wukongs_command_attack_speed"	"兵士の攻撃速度:"
		"DOTA_Tooltip_ability_monkey_king_wukongs_command_duration"		"持続時間:"
// Items
		"DOTA_Tooltip_Ability_item_abyssal_blade"				"Abyssal Blade"
		"DOTA_Tooltip_Ability_item_arcane_ring"			"Arcane Ring"
		"DOTA_Tooltip_Ability_item_armlet"				"Armlet of Mordiggian"
		"DOTA_Tooltip_Ability_item_assault"				"Assault Cuirass"
		"DOTA_Tooltip_Ability_item_basher"				"Skull Basher"
		"DOTA_Tooltip_Ability_item_belt_of_strength"			"Belt of Strength"
		"DOTA_Tooltip_Ability_item_bfury"				"Battle Fury"
		"DOTA_Tooltip_Ability_item_black_king_bar"			"Black King Bar"
		"DOTA_Tooltip_Ability_item_blade_mail"				"Blade Mail"
		"DOTA_Tooltip_Ability_item_blades_of_attack"			"Blades of Attack"
		"DOTA_Tooltip_Ability_item_blade_of_alacrity"			"Alacrity の刃"
		"DOTA_Tooltip_Ability_item_blink"				"Blink Dagger"
		"DOTA_Tooltip_Ability_item_bloodstone"				"Bloodstone"
		"DOTA_Tooltip_Ability_item_boots"				"Boots of Speed"
		"DOTA_Tooltip_Ability_item_boots_of_elves"			"Band of Elvenskin"
		"DOTA_Tooltip_Ability_item_bottle"				"Bottle"
		"DOTA_Tooltip_Ability_item_bottle_double_damage"	"ルーン：　ダブルダメージ"
		"DOTA_Tooltip_Ability_item_bottle_haste"			"ルーン： ヘイスト"
		"DOTA_Tooltip_Ability_item_bottle_illusion"			"ルーン： イリュージョン"
		"DOTA_Tooltip_Ability_item_bottle_invisible"		"ルーン： インビジビリティ"
		"DOTA_Tooltip_Ability_item_bottle_regeneration"		"ルーン：　リジェネレーション"
		"DOTA_Tooltip_Ability_item_bottle_bounty"		"ルーン：バウンティー"
		"DOTA_Tooltip_Ability_item_bottle_arcane"		"ルーン: Arcane"
		"DOTA_Tooltip_Ability_item_bracer"				"Bracer"
		"DOTA_Tooltip_Ability_item_branches"				"Iron Branch"
		"DOTA_Tooltip_Ability_item_broadsword"				"Broadsword"
		"DOTA_Tooltip_Ability_item_buckler"				"Buckler"
		"DOTA_Tooltip_Ability_item_butterfly"				"Butterfly"
		"DOTA_Tooltip_Ability_item_chainmail"				"Chainmail"
		"DOTA_Tooltip_Ability_item_circlet"				"Circlet"
		"DOTA_Tooltip_Ability_item_clarity"				"Clarity"
		"DOTA_Tooltip_Ability_item_cloak"				"Cloak"
		"DOTA_Tooltip_Ability_item_banana"				"Banana"
		"DOTA_Tooltip_Ability_item_jade_bow"				"Jade Bow"
		"DOTA_Tooltip_Ability_item_blight_stone"			"Blight Stone"
		"DOTA_Tooltip_Ability_item_claymore"				"Claymore"
		"DOTA_Tooltip_Ability_item_crimson_guard"				"Crimson Guard"
		"DOTA_Tooltip_Ability_item_courier"				"Animal Courier"
		"DOTA_Tooltip_Ability_item_flying_courier"			"Flying Courier"
		"DOTA_Tooltip_Ability_item_cyclone"				"Eul's Scepter of Divinity"
		"DOTA_Tooltip_Ability_item_cyclone_2"				"Eul's Scepter of Divinity (レベル 2)"
		"DOTA_Tooltip_Ability_item_dagon"				"Dagon"
		"DOTA_Tooltip_Ability_item_dagon_2"				"Dagon"
		"DOTA_Tooltip_Ability_item_dagon_2L"			"Dagon (レベル 2)"
		"DOTA_Tooltip_Ability_item_dagon_3"				"Dagon"
		"DOTA_Tooltip_Ability_item_dagon_3L"			"Dagon (レベル 3)"
		"DOTA_Tooltip_Ability_item_dagon_4"				"Dagon"
		"DOTA_Tooltip_Ability_item_dagon_4L"			"Dagon (レベル 4)"
		"DOTA_Tooltip_Ability_item_dagon_5"				"Dagon"
		"DOTA_Tooltip_Ability_item_dagon_5L"			"Dagon (レベル 5)"
		"DOTA_Tooltip_Ability_item_demon_edge"				"Demon Edge"
		"DOTA_Tooltip_Ability_item_desolator"				"Desolator"
		"DOTA_Tooltip_Ability_item_diffusal_blade"			"Diffusal Blade"
		"DOTA_Tooltip_Ability_item_diffusal_blade_2"			"Diffusal Blade"
		"DOTA_Tooltip_Ability_item_diffusal_blade_2L"		"Diffusal Blade (レベル 2)"
		"DOTA_Tooltip_Ability_item_dust"				"Dust of Appearance"
		"DOTA_Tooltip_Ability_item_eagle"				"Eaglesong"
		"DOTA_Tooltip_Ability_item_energy_booster"			"Energy Booster"
		"DOTA_Tooltip_Ability_item_ethereal_blade"			"Ethereal Blade"
		"DOTA_Tooltip_Ability_item_flask"				"Healing Salve"
		"DOTA_Tooltip_Ability_item_force_staff"			"Force Staff"
		"DOTA_Tooltip_Ability_item_recipe_force_staff"			"Force Staff レシピ"
		"DOTA_Tooltip_Ability_item_gauntlets"				"Gauntlets of Strength"
		"DOTA_Tooltip_Ability_item_gem"				"Gem of True Sight"
		"DOTA_Tooltip_Ability_item_ghost"				"Ghost Scepter"
		"DOTA_Tooltip_Ability_item_aether_staff"				"Aether Staff"
		"DOTA_Tooltip_Ability_item_gloves"				"Gloves of Haste"
		"DOTA_Tooltip_Ability_item_greater_crit"			"Daedalus"
		"DOTA_Tooltip_Ability_item_hand_of_midas"			"Hand of Midas"
		"DOTA_Tooltip_Ability_item_headdress"				"Headdress"
		"DOTA_Tooltip_Ability_item_heart"				"Heart of Tarrasque"
		"DOTA_Tooltip_Ability_item_helm_of_iron_will"			"Helm of Iron Will"
		"DOTA_Tooltip_Ability_item_helm_of_the_dominator"		"Helm of the Dominator"
		"DOTA_Tooltip_Ability_item_hood_of_defiance"			"Hood of Defiance"
		"DOTA_Tooltip_Ability_item_hyperstone"				"Hyperstone"
		"DOTA_Tooltip_Ability_item_invis_sword"			"Shadow Blade"
		"DOTA_Tooltip_Ability_item_silver_edge"			"Silver Edge"
		"DOTA_Tooltip_Ability_item_glimmer_cape"			"Glimmer Cape"
		"DOTA_Tooltip_Ability_item_red_mist"			"Red Mist"
		"DOTA_Tooltip_Ability_item_octarine_core"			"Octarine Core"
		"DOTA_Tooltip_Ability_item_iron_talon"			"Iron Talon"
		"DOTA_Tooltip_Ability_item_enchanted_mango"			"Enchanted Mango"
		"DOTA_Tooltip_Ability_item_lotus_orb"			"Lotus Orb"
		"DOTA_Tooltip_Ability_item_nightfall_striders"			"Nightfall Striders"
		"DOTA_Tooltip_Ability_item_guardian_greaves"		"Guardian Greaves"
		"DOTA_Tooltip_Ability_item_ward_dispenser"		"Observer and Sentry Wards"
		"DOTA_Tooltip_Ability_item_solar_crest"			"Solar Crest"
		"DOTA_Tooltip_Ability_item_rune_breaker"			"Rune Breaker"
		"DOTA_Tooltip_Ability_item_bounty_pact"			"Bounty Pact"
		"DOTA_Tooltip_Ability_item_natures_mend"		"Nature's Mend"
		"DOTA_Tooltip_Ability_item_blinders"			"Blinders"
		"DOTA_Tooltip_Ability_item_javelin"				"Javelin"
		"DOTA_Tooltip_Ability_item_lesser_crit"			"Crystalys"
		"DOTA_Tooltip_Ability_item_lifesteal"				"Morbid Mask"
		"DOTA_Tooltip_Ability_item_sphere"				"Linken's Sphere"
		"DOTA_Tooltip_Ability_item_maelstrom"				"Maelstrom"
		"DOTA_Tooltip_Ability_item_magic_stick"			"Magic Stick"
		"DOTA_Tooltip_Ability_item_magic_wand"				"Magic Wand"
		"DOTA_Tooltip_Ability_item_manta"				"Manta Style"
		"DOTA_Tooltip_Ability_item_mantle"				"知性のマント"
		"DOTA_Tooltip_Ability_item_mask_of_madness"			"Mask of Madness"
		"DOTA_Tooltip_Ability_item_mekansm"				"Mekansm"
		"DOTA_Tooltip_Ability_item_mithril_hammer"			"Mithril Hammer"
		"DOTA_Tooltip_Ability_item_mjollnir"				"Mjollnir"
		"DOTA_Tooltip_Ability_item_monkey_king_bar"			"Monkey King Bar"
		"DOTA_Tooltip_Ability_item_mystic_staff"			"Mystic Staff"
		"DOTA_Tooltip_Ability_item_necronomicon"			"Necronomicon"
		"DOTA_Tooltip_Ability_item_necronomicon_2"			"Necronomicon"
		"DOTA_Tooltip_Ability_item_necronomicon_2L"			"Necronomicon (レベル 2)"
		"DOTA_Tooltip_Ability_item_necronomicon_3"			"Necronomicon"
		"DOTA_Tooltip_Ability_item_necronomicon_3L"			"Necronomicon (レベル 3)"
		"DOTA_Tooltip_Ability_item_null_talisman"			"Null Talisman"
		"DOTA_Tooltip_Ability_item_whip"			"鞭"
		"DOTA_Tooltip_Ability_item_oblivion_staff"			"Oblivion Staff"
		"DOTA_Tooltip_Ability_item_ogre_axe"				"Ogre Axe"
		"DOTA_Tooltip_Ability_item_orchid"				"Orchid Malevolence"
		"DOTA_Tooltip_Ability_item_bloodthorn"				"Bloodthorn"
		"DOTA_Tooltip_Ability_item_pers"				"Perseverance"
		"DOTA_Tooltip_Ability_item_phase_boots"			"Phase Boots"
		"DOTA_Tooltip_Ability_item_pipe"				"Pipe of Insight"
		"DOTA_Tooltip_Ability_item_platemail"				"Platemail"
		"DOTA_Tooltip_Ability_item_point_booster"			"Point Booster"
		"DOTA_Tooltip_Ability_item_poor_mans_shield"			"Poor Man's Shield"
		"DOTA_Tooltip_Ability_item_power_treads"			"Power Treads"
		"DOTA_Tooltip_Ability_item_power_treads_str"		"Strength"
		"DOTA_Tooltip_Ability_item_power_treads_agi"		"Agility"
		"DOTA_Tooltip_Ability_item_power_treads_int"		"Intelligence"
		"DOTA_Tooltip_Ability_item_quarterstaff"			"Quarterstaff"
		"DOTA_Tooltip_Ability_item_quelling_blade"			"Quelling Blade"
		"DOTA_Tooltip_Ability_item_radiance"				"Radiance"
		"DOTA_Tooltip_Ability_item_rapier"				"Divine Rapier"
		"DOTA_Tooltip_Ability_item_reaver"				"Reaver"
		"DOTA_Tooltip_Ability_item_refresher"				"Refresher Orb"
		"DOTA_Tooltip_Ability_item_aegis"			"Aegis of the Immortal"
		"DOTA_Tooltip_Ability_item_cheese"			"Cheese"
		"DOTA_Tooltip_Ability_item_relic"				"Sacred Relic"
		"DOTA_Tooltip_Ability_item_ring_of_basilius"			"Ring of Basilius"
		"DOTA_Tooltip_Ability_item_ring_of_health"			"Ring of Health"
		"DOTA_Tooltip_Ability_item_ring_of_protection"			"Ring of Protection"
		"DOTA_Tooltip_Ability_item_ring_of_regen"			"Ring of Regen"
		"DOTA_Tooltip_Ability_item_robe"				"Robe of the Magi"
		"DOTA_Tooltip_Ability_item_rod_of_atos"				"Rod of Atos"
		"DOTA_Tooltip_Ability_item_sange"				"Sange"
		"DOTA_Tooltip_Ability_item_heavens_halberd"				"Heaven's Halberd"
		"DOTA_Tooltip_Ability_item_sange_and_yasha"			"Sange and Yasha"
		"DOTA_Tooltip_Ability_item_satanic"				"Satanic"
		"DOTA_Tooltip_Ability_item_sheepstick"				"Scythe of Vyse"
		"DOTA_Tooltip_Ability_item_shivas_guard"			"Shiva's Guard"
		"DOTA_Tooltip_Ability_item_skadi"				"Eye of Skadi"
		"DOTA_Tooltip_Ability_item_slippers"				"Slippers of Agility"
		"DOTA_Tooltip_Ability_item_sobi_mask"				"Sage's Mask"
		"DOTA_Tooltip_Ability_item_soul_booster"			"Soul Booster"
		"DOTA_Tooltip_Ability_item_soul_ring"				"Soul Ring"
		"DOTA_Tooltip_Ability_item_staff_of_wizardry"			"Staff of Wizardry"
		"DOTA_Tooltip_Ability_item_stout_shield"			"Stout Shield"
		"DOTA_Tooltip_Ability_item_venomous_shield"			"Venomous Spike (仮の名称)"
		"DOTA_Tooltip_Ability_item_moon_shard"			"Moon Shard"
		"DOTA_Tooltip_Ability_item_talisman_of_evasion"		"Talisman of Evasion"
		"DOTA_Tooltip_Ability_item_tango"				"Tango"
		"DOTA_Tooltip_Ability_item_tango_single"			"Tango (共有)"
		"DOTA_Tooltip_Ability_item_tpscroll"				"Town Portal Scroll"
		"DOTA_Tooltip_Ability_item_tranquil_boots"			"Tranquil Boots"
		"DOTA_Tooltip_Ability_item_recipe_tranquil_boots"	"Tranquil Boots のレシピ"
		"DOTA_Tooltip_Ability_item_recipe_tranquil_boots2"	"Tranquil Boots レベル 2 レシピ"
		"DOTA_Tooltip_Ability_item_travel_boots"			"Boots of Travel"
		"DOTA_Tooltip_Ability_item_recipe_travel_boots"			"Boots of Travel レシピ"
		"DOTA_Tooltip_Ability_item_ultimate_orb"			"Ultimate Orb"
		"DOTA_Tooltip_Ability_item_ultimate_scepter"			"Aghanim's Scepter"
		"DOTA_Tooltip_Ability_item_urn_of_shadows"			"Urn of Shadows"
		"DOTA_Tooltip_Ability_item_recipe_urn_of_shadows"	"Urn of Shadows レシピ"
		"DOTA_Tooltip_Ability_item_vanguard"				"Vanguard"
		"DOTA_Tooltip_Ability_item_vitality_booster"			"Vitality Booster"
		"DOTA_Tooltip_Ability_item_vladmir"					"Vladmir's Offering"
		"DOTA_Tooltip_Ability_item_void_stone"				"Void Stone"
		"DOTA_Tooltip_Ability_item_ward_observer"			"Observer Ward"
		"DOTA_Tooltip_Ability_item_ward_sentry"			"Sentry Ward"
		"DOTA_Tooltip_Ability_item_wraith_band"			"Wraith Band"
		"DOTA_Tooltip_Ability_item_yasha"				"Yasha"
		"DOTA_Tooltip_Ability_recipe"		"レシピ: %s1"
		"DOTA_Tooltip_Ability_item_arcane_boots"			"Arcane Boots"
		"DOTA_Tooltip_Ability_item_arcane_boots2"			"Arcane Boots 2"
		"DOTA_Tooltip_Ability_item_orb_of_venom"			"Orb of Venom"
		"DOTA_Tooltip_Ability_item_ancient_janggo"			"Drum of Endurance"
		"DOTA_Tooltip_Ability_item_medallion_of_courage"	"Medallion of Courage"
		"DOTA_Tooltip_Ability_item_smoke_of_deceit"			"Smoke of Deceit"
		"DOTA_Tooltip_Ability_item_veil_of_discord"			"Veil of Discord"
		"DOTA_Tooltip_Ability_item_ring_of_aquila"			"Ring of Aquila"
		"DOTA_Tooltip_Ability_item_shadow_amulet"			"Shadow Amulet"
		"DOTA_Tooltip_Ability_item_river_painter"			"リバー薬瓶:  クロム"
		"DOTA_Tooltip_Ability_item_river_painter2"			"リバー薬瓶:  干ばつ"
		"DOTA_Tooltip_Ability_item_river_painter3"			"リバー薬瓶:  スライム"
		"DOTA_Tooltip_Ability_item_river_painter4"			"リバー薬瓶: オイル"
		"DOTA_Tooltip_Ability_item_river_painter5"			"リバー薬便: 電気"
		"DOTA_Tooltip_Ability_item_river_painter6"			"リバー薬瓶:  ポーション"
		"DOTA_Tooltip_Ability_item_river_painter7"			"リバー薬便: Blood"
		"DOTA_Tooltip_Ability_item_recipe_cyclone"					"Eul's Scepter レシピ"
		"DOTA_Tooltip_Ability_item_recipe_silver_edge"				"Silver Edge レシピ"
		"DOTA_Tooltip_Ability_item_recipe_maelstrom"				"Maelstrom レシピ"
		"DOTA_Tooltip_Ability_item_recipe_shivas_guard"				"Shiva's Guard レシピ"
		"DOTA_Tooltip_Ability_item_recipe_diffusal_blade"			"Diffusal Blade レシピ"
		"DOTA_Tooltip_Ability_item_recipe_ancient_janggo"			"Drum of Endurance レシピ"
		"DOTA_Tooltip_Ability_item_recipe_orchid"					"Orchid Malevolence レシピ"
		"DOTA_Tooltip_Ability_item_recipe_bloodstone"				"Bloodstone レシピ"
		"DOTA_Tooltip_Ability_item_recipe_manta"					"Manta Style レシピ"
		"DOTA_Tooltip_Ability_item_recipe_hurricane_pike"			"Hurricane Pike レシピ"
		"DOTA_Tooltip_Ability_item_recipe_refresher"				"Refresher Orb レシピ"
		"DOTA_Tooltip_Ability_item_recipe_sphere"					"Linken's Sphere レシピ"
		"DOTA_Tooltip_Ability_item_recipe_greater_crit"				"Daedalus レシピ"
		"DOTA_Tooltip_Ability_item_recipe_hand_of_midas"			"Hand of Midas レシピ"
		"DOTA_Tooltip_Ability_item_recipe_mekansm"					"Mekansm レシピ"
		"DOTA_Tooltip_Ability_item_recipe_assault"					"Assault Cuirass レシピ"
		"DOTA_Tooltip_Ability_item_recipe_pipe"						"Pipe of Insight レシピ"
		"DOTA_Tooltip_Ability_item_recipe_heart"					"Heart of Tarrasque レシピ"
		"DOTA_Tooltip_Ability_item_recipe_bloodthorn"				"Bloodthorn レシピ"
		"DOTA_Tooltip_Ability_item_recipe_guardian_greaves"			"Guardian Greaves レシピ"
		"DOTA_Tooltip_Ability_item_recipe_mjollnir"					"Mjollnir レシピ"
		"DOTA_Tooltip_Ability_item_recipe_abyssal_blade"			"Abyssal Blade レシピ"
		"DOTA_Tooltip_Ability_item_recipe_black_king_bar"			"Black King Bar レシピ"
		"DOTA_Tooltip_Ability_item_recipe_dagon"					"Dagon レシピ"
		"DOTA_Tooltip_Ability_item_recipe_soul_ring"				"Soul Ring レシピ"
		"DOTA_Tooltip_Ability_item_recipe_yasha"					"Yasha レシピ"
		"DOTA_Tooltip_Ability_item_recipe_crimson_guard"			"Crimson Guard レシピ"
		"DOTA_Tooltip_Ability_item_recipe_necronomicon"				"Necronomicon レシピ"
		"DOTA_Tooltip_Ability_item_recipe_sange"					"Sange レシピ"
		"DOTA_Tooltip_Ability_item_recipe_basher"					"Skull Basher レシピ"
		"DOTA_Tooltip_Ability_item_recipe_aether_lens"				"Aether Lens レシピ"
		"DOTA_Tooltip_Ability_item_recipe_veil_of_discord"			"Veil of Discord レシピ"
		"DOTA_Tooltip_Ability_item_recipe_buckler"					"Buckler レシピ"
		"DOTA_Tooltip_Ability_item_recipe_lesser_crit"				"Crystalys レシピ"
		"DOTA_Tooltip_Ability_item_recipe_mask_of_madness"			"Mask of Madness レシピ"
		"DOTA_Tooltip_Ability_item_recipe_headdress"				"Headdress レシピ"
		"DOTA_Tooltip_Ability_item_recipe_wraith_band"				"Wraith Band レシピ"
		"DOTA_Tooltip_Ability_item_recipe_helm_of_the_dominator"	"Helm of the Dominator レシピ"
		"DOTA_Tooltip_Ability_item_recipe_armlet"					"Armlet of Mordiggian レシピ"
		"DOTA_Tooltip_Ability_item_recipe_null_talisman"			"Null Talisman レシピ"
		"DOTA_Tooltip_Ability_item_recipe_iron_talon"				"Iron Talon レシピ"
		"DOTA_Tooltip_Ability_item_recipe_radiance"					"Radiance レシピ"
		// Roshan
		"DOTA_Tooltip_Ability_roshan_spell_block"				"Spell Block"
		"DOTA_Tooltip_Ability_roshan_bash"					"Bash"
		"DOTA_Tooltip_Ability_roshan_bash_Description"		"Roshan は攻撃時に一定確率でスタンを与える。"
		"DOTA_Tooltip_Ability_roshan_bash_bash_chance"		"%確率："
		"DOTA_Tooltip_Ability_roshan_bash_bonus_damage"		"ボーナスダメージ:"
		"DOTA_Tooltip_Ability_roshan_bash_stun_duration"	"スタン持続時間："
		"DOTA_Tooltip_Ability_roshan_slam"					"Slam"
		"DOTA_Tooltip_Ability_roshan_slam_radius"			"範囲:"
		"DOTA_Tooltip_Ability_roshan_slam_slow_duration_hero"	"ヒーロー持続時間："
		"DOTA_Tooltip_Ability_roshan_slam_slow_duration_unit"	"ユニット持続時間："
		"DOTA_Tooltip_Ability_roshan_slam_slow_amount"		"%減速："
		"DOTA_Tooltip_Ability_roshan_slam_damage"			"ダメージ:"
		"DOTA_Tooltip_Ability_roshan_devotion"				"Strength of the Immortal"
		"DOTA_Tooltip_modifier_roshan_spell_block"		"Spell Block"
		"DOTA_Tooltip_modifier_roshan_bash"				"Bash"
		"DOTA_Tooltip_modifier_roshan_slam"				"Slam"
		"DOTA_Tooltip_modifier_roshan_devotion"			"Devotion"
// Kobold Foreman: Speed Aura

		"DOTA_Tooltip_ability_kobold_taskmaster_speed_aura"									"Speed Aura"
		"DOTA_Tooltip_ability_kobold_taskmaster_speed_aura_Description"						"その残虐な能力で、彼の移動速度と周囲の味方の移動速度を上昇させる。"
		"DOTA_Tooltip_ability_kobold_taskmaster_speed_aura_bonus_movement_speed"			"%移動速度:"
		"DOTA_Tooltip_ability_kobold_taskmaster_speed_aura_radius"							"範囲:"

		"DOTA_Tooltip_modifier_kobold_taskmaster_speed_aura_bonus"							"Speed Aura"
		"DOTA_Tooltip_modifier_kobold_taskmaster_speed_aura_bonus_Description"				"移動速度が%dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%上昇する。"
		
		// Hill Troll Priest: Mana Aura

		"DOTA_Tooltip_ability_forest_troll_high_priest_mana_aura"									"Mana Aura"
		"DOTA_Tooltip_ability_forest_troll_high_priest_mana_aura_Description"						"周囲のすべての味方にボーナスマナ自然回復を与える。"
		"DOTA_Tooltip_ability_forest_troll_high_priest_mana_aura_mana_regen"			"マナ自然回復:"
		"DOTA_Tooltip_ability_forest_troll_high_priest_mana_aura_radius"							"範囲:"

		"DOTA_Tooltip_modifier_forest_troll_high_priest_mana_aura_bonus"							"Mana Aura"
// Hellbear Smasher: Swiftness Aura

		"DOTA_Tooltip_ability_centaur_khan_endurance_aura"									"Swiftness Aura"
		"DOTA_Tooltip_ability_centaur_khan_endurance_aura_bonus_attack_speed"				"攻撃速度:"
		"DOTA_Tooltip_ability_centaur_khan_endurance_aura_radius"							"範囲:"
