"lang"
{ 
	"Language" "italian" 
	"Tokens" 
	{
		// To create a new key ( like $health ) just add the entry here
		"dota_ability_variable_health"				"di salute"					// $health
		"dota_ability_variable_mana"				"di mana"						// $mana
		"dota_ability_variable_armor"				"di armatura"						// $armor
		"dota_ability_variable_damage"				"di danno"					// $damage
		"dota_ability_variable_str"					"di Forza"					// $str
		"dota_ability_variable_int"					"di Intelligenza"				// $int
		"dota_ability_variable_agi"					"di Agilità"					// $agi
		"dota_ability_variable_all"					"a tutti gli attributi"			// $all
		"dota_ability_variable_primary_attribute"	"all'attributo primario"			// $primary_attribute
		"dota_ability_variable_attack"				"di velocità di attacco"				// $attack
		"dota_ability_variable_hp_regen"			"di rigenerazione della salute"		// $hp_regen
		"dota_ability_variable_lifesteal"			"di prosciugamento della salute"					// $lifesteal
		"dota_ability_variable_mana_regen"			"di rigen. del mana"			// $mana_regen
		"dota_ability_variable_mana_regen_aura"		"di rigen. del mana (aura)"	// $mana_regen_aura
		"dota_ability_variable_spell_amp"			"di danno degli incantesimi"				// $spell_amp
		"dota_ability_variable_debuff_amp"			"alla durata degli effetti negativi"			// $debuff_amp
		"dota_ability_variable_move_speed"			"di velocità di movimento"			// $move_speed
		"dota_ability_variable_evasion"				"di elusività"					// $evasion
		"dota_ability_variable_spell_resist"		"di resistenza alla magia"			// $spell_resist
		"dota_ability_variable_spell_lifesteal"		"di prosciugamento dagli incantesimi"			// $spell_lifesteal
		"dota_ability_variable_spell_lifesteal_creep"	"di prosciugamento dagli incantesimi (creep)"	// $spell_lifesteal_creep
		"dota_ability_variable_spell_lifesteal_hero"	"di prosciugamento dagli incantesimi (Eroi)"	// $spell_lifesteal_hero
		"dota_ability_variable_selected_attrib"		"all'attributo selezionato"		// $selected_attribute
		"dota_ability_variable_attack_range"		"di gittata d'attacco <font color='#7d7d7d'>(solo a distanza)</font>"	// $attack_range
		"dota_ability_variable_attack_range_melee"	"di gittata d'attacco <font color='#7d7d7d'>(solo da mischia)</font>"	// $attack_range_melee
		"dota_ability_variable_cast_range"			"di gittata di lancio"				// $cast_range
		"dota_ability_variable_status_resist"		"di resistenza agli stati"			// $status_resist
		"dota_ability_variable_projectile_speed"	"di velocità dei proiettili"			// $projectile_speed
		"dota_ability_variable_manacost_reduction"	"di riduzione dei costi in mana"		// $manacost_reduction
		"dota_ability_variable_cooldown_reduction"	"di riduzione dei tempi di ricarica"		// $cooldown_reduction 

		"dota_ability_variable_damage_int_hero"	"di danno (Eroi Intelligenza)"
		"DOTA_Tooltip_ability_item_slippers_bonus_agility"						"+$agi"
		
		"DOTA_Tooltip_ability_item_sobi_mask_Lore"								"Una maschera comunemente utilizzata in vari rituali da maghi e stregoni."
		"DOTA_Tooltip_ability_item_sobi_mask_bonus_mana_regen"					"+$mana_regen"
				
		"DOTA_Tooltip_ability_item_soul_booster_Lore"					"Recupera il coraggio perduto."
		"DOTA_Tooltip_ability_item_soul_booster_bonus_health"					"+$health"
		"DOTA_Tooltip_ability_item_soul_booster_bonus_mana"						"+$mana"
		//"DOTA_Tooltip_ability_item_soul_booster_bonus_magical_armor"			"%+$spell_resist"		

		"DOTA_Tooltip_ability_item_soul_ring_Description"						"<h1>Attiva: Sacrificio</h1> Sacrifica %health_sacrifice% punti salute per ottenere temporaneamente %mana_gain% punti mana. Ha una durata di %duration% secondi.<br><br>Se il tuo mana è già al massimo, i punti mana ottenuti creeranno una riserva che verrà usata prima del mana normale.\n\nNome in inglese: <b><font color='#F2A93E'>Soul Ring</font></b>"
		"DOTA_Tooltip_ability_item_soul_ring_Lore"								"Un anello che si nutre dell'anima di chi lo indossa."
		"DOTA_Tooltip_ability_item_soul_ring_Note0"								"Il mana extra verrà perduto se non viene usato prima del termine dell'effetto."
		"DOTA_Tooltip_ability_item_soul_ring_bonus_strength"						"+$str"
		"DOTA_Tooltip_ability_item_soul_ring_bonus_armor"					"+$armor"
		//"DOTA_Tooltip_ability_item_soul_ring_duration"								"SACRIFICE DURATION:"
		
		"DOTA_Tooltip_modifier_item_soul_ring_buff"				"Sacrificio"
		"DOTA_Tooltip_modifier_item_soul_ring_buff_Description"	"Ha sacrificato un po' di salute in cambio di mana. Il mana aggiuntivo verrà perso al termine di Sacrificio."

		"DOTA_Tooltip_ability_item_staff_of_wizardry_Lore"						"Un bastone dai poteri magici tramandato dai maghi più anziani."
		"DOTA_Tooltip_ability_item_staff_of_wizardry_bonus_intellect"			"+$int"
				
		"DOTA_Tooltip_ability_item_stout_shield_Description"					"<h1>Passiva: Blocco dei danni</h1>Ti fa ottenere il %block_chance%%% di probabilità di bloccare %damage_block_melee% danni se impersoni un Eroe da mischia, oppure %damage_block_ranged% se impersoni un Eroe a distanza.\n\nNome in inglese: <b><font color='#F2A93E'>Stout Shield</font></b>"
		"DOTA_Tooltip_ability_item_stout_shield_Lore"							"Il fondo della botte di vino di un uomo è lo scudo di un altro."
		"DOTA_Tooltip_ability_item_stout_shield_Note0"							"Molteplici fonti di blocco dei danni non sono cumulabili."
		//"DOTA_Tooltip_ability_item_stout_shield_block_chance"					"%BLOCK CHANCE:"
		//"DOTA_Tooltip_ability_item_stout_shield_damage_block_melee"				"MELEE DAMAGE BLOCK:"
		//"DOTA_Tooltip_ability_item_stout_shield_damage_block_ranged"			"RANGED DAMAGE BLOCK:"
				
		"DOTA_Tooltip_ability_item_venomous_shield_Description"					" "
		"DOTA_Tooltip_ability_item_venomous_shield_Lore"						" "
		
		"DOTA_Tooltip_ability_item_talisman_of_evasion_Note0"			"È cumulabile a riduzione con altre fonti di elusività."
		"DOTA_Tooltip_ability_item_talisman_of_evasion_Lore"					"Una collana che ti permette di prevedere gli attacchi dei nemici."
		"DOTA_Tooltip_ability_item_talisman_of_evasion_bonus_evasion"			"%+$evasion"		
		
		"DOTA_Tooltip_ability_item_tango_Description"							"<h1>Uso: Divorare</h1> Mangia l'albero bersagliato per aumentare la rigenerazione della salute di %health_regen% per %buff_duration% secondi. Mangiare un Ramo di Ferro raddoppierà i punti salute rigenerati.<br><br>Dispone di %tooltip_charges% cariche. Può essere usato su un Eroe alleato per dargli un Tango.<br><br>Gittata di utilizzo sugli alberi: %abilitycastrange%\n\nNome in inglese: <b><font color='#F2A93E'>Tango</font></b>"
		"DOTA_Tooltip_ability_item_tango_Lore"								"Foraggio per sopravvivere sul campo di battaglia."
		//"DOTA_Tooltip_ability_item_tango_Note0"								"Heals for double duration when used on a Ironwood Tree or Wards."
		//"DOTA_Tooltip_ability_item_tango_total_heal"							"EAT TREE HEALTH RESTORED:"
		//"DOTA_Tooltip_ability_item_tango_total_heal_ward_tooltip"		"EAT WARD HEALTH RESTORED:"
		//"DOTA_Tooltip_ability_item_tango_cast_range_ward"					"EAT WARD CAST RANGE:"
		//"DOTA_Tooltip_ability_item_tango_buff_duration"					"HEAL DURATION:"
		
		"DOTA_Tooltip_modifier_tango_heal"				"Tango"
		"DOTA_Tooltip_modifier_tango_heal_Description"			"Rigenera %fMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% punti salute ogni secondo."

		"DOTA_Tooltip_ability_item_tango_single_Description"							"<h1>Uso: Divorare</h1> Mangia l'albero bersagliato per aumentare la rigenerazione della salute di %health_regen% per %buff_duration% secondi. Mangiare un Ramo di Ferro raddoppierà i punti salute rigenerati.<br><br>Gittata di utilizzo sugli alberi: %abilitycastrange%\n\nNome in inglese: <b><font color='#F2A93E'>Tango (Shared)</font></b>"
		"DOTA_Tooltip_ability_item_tango_single_Lore"								"Gnam gnam gnam..."
		//"DOTA_Tooltip_ability_item_tango_single_Note0"								"Heals for double duration when used on a Ironwood Tree or Wards."
		//"DOTA_Tooltip_ability_item_tango_single_total_heal"							"EAT TREE HEALTH RESTORED:"
		//"DOTA_Tooltip_ability_item_tango_single_total_heal_ward_tooltip"		"EAT WARD HEALTH RESTORED:"
		//"DOTA_Tooltip_ability_item_tango_single_cast_range_ward"					"EAT WARD CAST RANGE:"
		//"DOTA_Tooltip_ability_item_tango_single_buff_duration"					"HEAL DURATION:"
		
		"DOTA_Tooltip_ability_item_tpscroll_Description"						"<h1>Uso: Teletrasporto</h1>Ti teletrasporta verso la struttura alleata bersagliata dopo una canalizzazione di %tooltip_channel_time% secondi. <br><br>Cliccaci sopra due volte con il pulsante sinistro del mouse per teletrasportarti alla fontana della tua squadra.\n\nNome in inglese: <b><font color='#F2A93E'>Town Portal Scroll</font></b>"
		"DOTA_Tooltip_ability_item_tpscroll_Note0"						"Il tempo di canalizzazione aumenterà per ogni Eroe che si sarà teletrasportato in quello stesso luogo in successione."
		"DOTA_Tooltip_ability_item_tpscroll_Note1"						"Il teletrasporto può essere bloccato o annullato dalle abilità che provocano un radicamento."
		"DOTA_Tooltip_ability_item_tpscroll_Lore"						"Ciò di cui ha veramente bisogno un Eroe."

		"DOTA_Tooltip_ability_item_tpscroll_2_Description"						"<h1>Uso: Teletrasporto</h1>Ti teletrasporta verso una struttura, una unità o un Eroe alleato bersagliato dopo una canalizzazione di %tooltip_channel_time% secondi. <br><br>Cliccaci sopra due volte con il pulsante sinistro del mouse per teletrasportarti alla fontana della tua squadra.\n\nNome in inglese: <b><font color='#F2A93E'>Town Portal Scroll</font></b>"
		"DOTA_Tooltip_ability_item_tpscroll_2_Note0"						"Il tempo di canalizzazione aumenterà per ogni Eroe che si sarà teletrasportato in quello stesso luogo in successione."
		"DOTA_Tooltip_ability_item_tpscroll_2_Lore"						"Ciò di cui un Eroe ha veramente bisogno."

		
		"DOTA_Tooltip_ability_item_tranquil_boots_Description"					"<h1>Passiva: Rottura</h1> Quando attacchi un Eroe o vieni attaccato da una qualsiasi Unità, l'aumento di %bonus_health_regen% della rigenerazione della salute viene annullato e l'aumento della velocità di movimento viene ridotto a %broken_movement_speed% per %break_time% secondi.\nI bonus alla velocità di movimento dovuti a molteplici paia di stivali non sono cumulabili.\n\nNome in inglese: <b><font color='#F2A93E'>Tranquil Boots</font></b>"
		"DOTA_Tooltip_ability_item_tranquil_boots_Lore"							"Sebbene aumentino la longevità di chi li indossa, questi stivali non sono particolarmente affidabili."
		"DOTA_Tooltip_ability_item_tranquil_boots_bonus_movement_speed"			"+$move_speed"
		"DOTA_Tooltip_ability_item_tranquil_boots_bonus_health_regen"			"+$hp_regen"
		
		//"DOTA_Tooltip_modifier_item_tranquil_boots_heal"		"Tranquil Boots"
		//"DOTA_Tooltip_modifier_item_tranquil_boots_heal_Description"		"Regenerating %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% HP per second."

		"DOTA_Tooltip_ability_item_tranquil_boots2_Description"					"<h1>Passiva: Rottura</h1> Quando attacchi o vieni attaccato, l'aumento di %bonus_health_health% della rigenerazione della salute viene annullato e l'aumento della velocità di movimento viene ridotto a %broken_movement_speed% per %break_time% secondi.\n\nNome in inglese: <b><font color='#F2A93E'>Tranquil Boots</font></b>"
		"DOTA_Tooltip_ability_item_tranquil_boots2_Lore"							"Sebbene aumentino la longevità di chi li indossa, questi stivali non sono particolarmente affidabili."
		"DOTA_Tooltip_ability_item_tranquil_boots2_bonus_movement_speed"			"+$move_speed"
		"DOTA_Tooltip_ability_item_tranquil_boots2_bonus_armor"					"+$armor"
		"DOTA_Tooltip_ability_item_tranquil_boots2_bonus_health_regen"			"+$hp_regen"

		"DOTA_Tooltip_ability_item_travel_boots_Description"					"<h1>Miglioramento: Pergamena del Portale Cittadino</h1>Migliora la tua Pergamena del Portale Cittadino, consentendole di bersagliare le Unità, riducendone il tempo di ricarica e facendo sì che non consumi alcuna carica all'utilizzo.\nI bonus alla velocità di movimento dovuti a molteplici paia di stivali non sono cumulabili.\n\nNome in inglese: <b><font color='#F2A93E'>Boots of Travel</font></b>"
		"DOTA_Tooltip_ability_item_travel_boots_Lore"							"Stivali alati che conferiscono l'onnipresenza."
		//"DOTA_Tooltip_ability_item_travel_boots_Note0"							"Movement speed bonuses from boots do not stack."
		"DOTA_Tooltip_ability_item_travel_boots_bonus_movement_speed"			"+$move_speed"		
		"DOTA_Tooltip_ability_item_travel_boots_tp_cooldown"			"TEMPO DI RICARICA (PERGAMENA DEL PORTALE CITTADINO):"		

		"DOTA_Tooltip_modifier_boots_of_travel_incoming"				"Stivali del Viaggiatore"
		"DOTA_Tooltip_modifier_boots_of_travel_incoming_Description"	"Un alleato si sta teletrasportando verso la tua posizione."
		"DOTA_Tooltip_modifier_boots_of_travel_recall"		"Stivali del Viaggiatore"
		"DOTA_Tooltip_modifier_boots_of_travel_recall_Description"		"Si sta teletrasportando verso un alleato."		

		"DOTA_Tooltip_ability_item_travel_boots_2_Description"					"<h1>Miglioramento: Pergamena del Portale Cittadino</h1>Migliora la tua Pergamena del Portale Cittadino, consentendole di bersagliare Unità ed Eroi, riducendone il tempo di ricarica e facendo sì che non consumi alcuna carica all'utilizzo.\nI bonus alla velocità di movimento dovuti a molteplici paia di stivali non sono cumulabili.\n\nNome in inglese: <b><font color='#F2A93E'>Boots of Travel 2</font></b>"
		"DOTA_Tooltip_ability_item_travel_boots_2_Lore"							"Stivali alati che conferiscono l'onnipresenza."
		//"DOTA_Tooltip_ability_item_travel_boots_2_Note0"						"Movement speed bonuses from boots do not stack."
		"DOTA_Tooltip_ability_item_travel_boots_2_bonus_movement_speed"			"+$move_speed"		
		"DOTA_Tooltip_ability_item_travel_boots_2_tp_cooldown"			"TEMPO DI RICARICA (PERGAMENA DEL PORTALE CITTADINO):"		
		"DOTA_Tooltip_ability_item_travel_boots_2_tp_channel_time"		"CANALIZZAZIONE (PERGAMENA DEL PORTALE CITTADINO):"		
		
		"DOTA_Tooltip_ability_item_ultimate_orb_Lore"							"Una sfera mistica che contiene l'essenza della vita."		
		"DOTA_Tooltip_ability_item_ultimate_orb_bonus_all_stats"				"+$all"
		
		
		"DOTA_Tooltip_modifier_item_aghanims_shard"		"Frammento di Aghanim"
		"DOTA_Tooltip_modifier_item_aghanims_shard_Description"	"Frammento di Aghanim."
		"DOTA_Tooltip_modifier_item_aghanims_shard_permanent_buff"		"Frammento di Aghanim"
		"DOTA_Tooltip_modifier_item_aghanims_shard_permanent_buff_Description"	"Anche un minuscolo frammento di questo cristallo magico può liberare il potenziale nascosto."
		
		"DOTA_Tooltip_modifier_item_aghanims_shard_2"		"Frammento di Aghanim"
		"DOTA_Tooltip_modifier_item_aghanims_shard_2_Description"	"Frammento di Aghanim."

		"DOTA_Tooltip_ability_item_aghanims_shard_Description"				"<h1>Passiva: Miglioramento delle abilità</h1>Migliora un'abilità esistente del tuo Eroe o ne aggiunge una nuova.\n\nNome in inglese: <b><font color='#F2A93E'>Aghanim's Shard</font></b>"
		"DOTA_Tooltip_ability_item_aghanims_shard_Lore"				"I frammenti di questo cristallo impossibile, di cui solo un mago conosce le origini, sono tanto ambiti quasi quanto il famoso scettro."
		"DOTA_Tooltip_ability_item_aghanims_shard_bonus_all_stats"			"+$all"

		"DOTA_Tooltip_ability_item_aghanims_shard_roshan_Description"				"<h1>Passiva: Miglioramento delle abilità</h1>Migliora un'abilità esistente del tuo Eroe o ne aggiunge una nuova.\n\nNome in inglese: <b><font color='#F2A93E'>Aghanim's Shard - Roshan</font></b>"
		"DOTA_Tooltip_ability_item_aghanims_shard_roshan_Lore"				"I frammenti di questo cristallo impossibile, di cui solo un mago conosce le origini, sono ambiti quasi quanto il famoso scettro."
		"DOTA_Tooltip_ability_item_aghanims_shard_roshan_bonus_all_stats"			"+$all"
		
		"DOTA_Tooltip_ability_item_ultimate_scepter_Description"				"<h1>Passiva: Miglioramento delle abilità</h1>Migliora la Ultimate e alcune abilità di tutti gli Eroi.\n\nNome in inglese: <b><font color='#F2A93E'>Aghanim's Scepter</font></b>"
		"DOTA_Tooltip_ability_item_ultimate_scepter_Lore"						"Lo scettro di un mago dotato dei poteri di un semidio."
		"DOTA_Tooltip_ability_item_ultimate_scepter_bonus_all_stats"			"+$all"
		"DOTA_Tooltip_ability_item_ultimate_scepter_bonus_health"				"+$health"
		"DOTA_Tooltip_ability_item_ultimate_scepter_bonus_mana"					"+$mana"
		
		"DOTA_Tooltip_ability_item_ultimate_scepter_2_Description"				"<h1>Passiva: Miglioramento delle abilità</h1>Migliora la Ultimate e alcune abilità di tutti gli Eroi.\n\nNome in inglese: <b><font color='#F2A93E'>Aghanim's Blessing</font></b>"
		"DOTA_Tooltip_ability_item_ultimate_scepter_2_Lore"						"Lo scettro di un mago dotato dei poteri di un semidio."
		"DOTA_Tooltip_ability_item_ultimate_scepter_2_bonus_all_stats"			"+$all"
		"DOTA_Tooltip_ability_item_ultimate_scepter_2_bonus_health"				"+$health"
		"DOTA_Tooltip_ability_item_ultimate_scepter_2_bonus_mana"					"+$mana"
		
		"DOTA_Tooltip_ability_item_ultimate_scepter_roshan_Description"				"<h1>Passiva: Miglioramento delle abilità</h1>Migliora la Ultimate e alcune abilità di tutti gli Eroi.\n\nNome in inglese: <b><font color='#F2A93E'>Aghanim's Blessing - Roshan</font></b>"
		"DOTA_Tooltip_ability_item_ultimate_scepter_roshan_Lore"						"Lo scettro di un mago dotato dei poteri di un semidio."
		
		"DOTA_Tooltip_ability_item_urn_of_shadows_Description"					"<h1>Attiva: Liberazione dell'anima</h1> Se usata sugli alleati aumenta di %soul_heal_amount% la rigenerazione della salute, mentre se usata sui nemici infligge %soul_damage_amount% danni al secondo.<br><br>L'effetto dura %duration% secondi.<br><br>Ottiene delle cariche ogni volta che un Eroe nemico muore in un raggio di %soul_radius% unità. Soltanto l'Urna più vicina all'Eroe morente otterrà una carica.<br><br>Gittata di lancio: %abilitycastrange%\n\nNome in inglese: <b><font color='#F2A93E'>Urn of Shadows</font></b>" 
		"DOTA_Tooltip_ability_item_urn_of_shadows_Note0"					"Le Urne delle Ombre vuote ottengono 2 cariche."
		"DOTA_Tooltip_ability_item_urn_of_shadows_Note1"					"Usare la Liberazione dell'anima su un Eroe che ha già l'effetto attivo ne aggiornerà la durata."
		"DOTA_Tooltip_ability_item_urn_of_shadows_Lore"							"Contiene le ceneri di potentissimi demoni."
		"DOTA_Tooltip_ability_item_urn_of_shadows_bonus_health"					"+$health"
		"DOTA_Tooltip_ability_item_urn_of_shadows_mana_regen"					"+$mana_regen"
		"DOTA_Tooltip_ability_item_urn_of_shadows_bonus_armor"					"+$armor"
		"DOTA_Tooltip_ability_item_urn_of_shadows_bonus_all_stats"				"+$all"
		//"DOTA_Tooltip_ability_item_urn_of_shadows_soul_heal_amount"				"RELEASE ALLY TOTAL HEAL:"
		//"DOTA_Tooltip_ability_item_urn_of_shadows_soul_damage_amount"				"RELEASE ENEMY TOTAL DAMAGE:"
		//"DOTA_Tooltip_ability_item_urn_of_shadows_soul_heal_duration"				"SOUL RELEASE DURATION:"
		//"DOTA_Tooltip_ability_item_urn_of_shadows_soul_release_abilitycastrange"	"SOUL RELEASE CAST RANGE:"
		
		"DOTA_Tooltip_modifier_item_urn_heal"					"Liberazione dell'anima"
		"DOTA_Tooltip_modifier_item_urn_heal_Description"		"Rigenera %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% punti salute al secondo."
		"DOTA_Tooltip_modifier_item_urn_damage"					"Liberazione dell'anima"
		"DOTA_Tooltip_modifier_item_urn_damage_Description"		"Sta subendo %dMODIFIER_PROPERTY_TOOLTIP% danni al secondo."

		"DOTA_Tooltip_ability_item_vanguard_Description"						"<h1>Passiva: Blocco dei danni</h1>Ottieni il %block_chance%%% di probabilità di bloccare %block_damage_melee% danni se impersoni un Eroe da mischia, oppure %block_damage_ranged% danni se impersoni un Eroe a distanza.\n\nNome in inglese: <b><font color='#F2A93E'>Vanguard</font></b>"
		"DOTA_Tooltip_ability_item_vanguard_Lore"								"Un potente scudo che difende chi lo imbraccia persino dagli attacchi più feroci."
		"DOTA_Tooltip_ability_item_vanguard_Note0"								"Molteplici fonti di blocco dei danni non sono cumulabili."
		"DOTA_Tooltip_ability_item_vanguard_bonus_health"						"+$health"
		"DOTA_Tooltip_ability_item_vanguard_bonus_health_regen"					"+$hp_regen"
		//"DOTA_Tooltip_ability_item_vanguard_block_damage_melee"					"BLOCK DAMAGE MELEE:"
		//"DOTA_Tooltip_ability_item_vanguard_block_damage_ranged"				"BLOCK DAMAGE RANGED:"
		//"DOTA_Tooltip_ability_item_vanguard_block_chance"						"BLOCK CHANCE:"
		
		"DOTA_Tooltip_ability_item_crimson_guard_Description"						"<h1>Attiva: Protezione</h1> Per un totale di %duration% secondi, gli Eroi e le strutture alleate vicine avranno una probabilità del %block_chance_active%%% di bloccare %block_damage_melee_active% danni da ciascun attacco subito.<br><br>Le Unità possono subire l'effetto di Protezione una volta ogni %tooltip_reapply_time% secondi.<br><br>Raggio: %bonus_aoe_radius%\n<h1>Passiva: Blocco dei danni</h1> Ti fa ottenere il %block_chance%%% di probabilità di bloccare %block_damage_melee% danni se impersoni un Eroe da mischia, oppure %block_damage_ranged% se impersoni un Eroe a distanza.\n\nNome in inglese: <b><font color='#F2A93E'>Crimson Guard</font></b>"
		"DOTA_Tooltip_ability_item_crimson_guard_Lore"								"Una corazza protettiva creata inizialmente per affrontare la temuta Belva che ritorna."
		"DOTA_Tooltip_ability_item_crimson_guard_bonus_health"						"+$health"
		"DOTA_Tooltip_ability_item_crimson_guard_bonus_health_regen"					"+$hp_regen"
		"DOTA_Tooltip_ability_item_crimson_guard_bonus_armor"					"+$armor"
		//"DOTA_Tooltip_ability_item_crimson_guard_block_damage_melee"			"BLOCK DAMAGE MELEE:"
		//"DOTA_Tooltip_ability_item_crimson_guard_block_damage_ranged"				"BLOCK DAMAGE RANGED:"		
		//"DOTA_Tooltip_ability_item_crimson_guard_block_chance"						"BLOCK CHANCE:"
		//"DOTA_Tooltip_ability_item_crimson_guard_bonus_aoe_armor"				"GUARD ARMOR:"	
		//"DOTA_Tooltip_ability_item_crimson_guard_block_damage_melee_active"				"GUARD DAMAGE BLOCK:"
		//"DOTA_Tooltip_ability_item_crimson_guard_duration"				"GUARD DURATION:"	
		//"DOTA_Tooltip_ability_item_crimson_guard_bonus_aoe_radius"				"GUARD RADIUS:"
		"DOTA_Tooltip_ability_item_crimson_guard_Note0"								"Molteplici fonti di blocco dei danni non sono cumulabili."

		"DOTA_Tooltip_modifier_item_crimson_guard_aura"					"Bonus di armatura (Protezione Cremisi)"
		"DOTA_Tooltip_modifier_item_crimson_guard_aura_Description"		"Armatura aumentata di %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."

		"DOTA_Tooltip_modifier_item_crimson_guard_effect"					"Bonus di armatura (Protezione Cremisi)"
		"DOTA_Tooltip_modifier_item_crimson_guard_effect_Description"		"Armatura aumentata di %MODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."

		"DOTA_Tooltip_modifier_item_crimson_guard_extra"		"Protezione"
		"DOTA_Tooltip_modifier_item_crimson_guard_extra_Description"		"Ha ottenuto il 100%% di probabilità di bloccare %dMODIFIER_PROPERTY_PHYSICAL_CONSTANT_BLOCK% danni dagli attacchi subiti."
		"DOTA_Tooltip_modifier_item_crimson_guard_nostack"	"Protetto di recente"
		"DOTA_Tooltip_modifier_item_crimson_guard_nostack_Description"	"La Protezione non ha effetto sulle Unità che sono state protette dalla Protezione di recente."
		
		"DOTA_Tooltip_ability_item_vitality_booster_Lore"						"Un rubino che è stato tramandato attraverso le generazioni da una stirpe di guerrieri."
		"DOTA_Tooltip_ability_item_vitality_booster_bonus_health"				"+$health"
		
		"DOTA_Tooltip_ability_item_vladmir_Description"							"<h1>Passiva: Aura di Vladmir</h1>Permette di prosciugare il %vampiric_aura%%% della salute dei nemici con gli attacchi, fa ottenere un bonus di danno del %damage_aura%%% e aumenta di %mana_regen_aura% la rigenerazione del mana e di %armor_aura% l'armatura degli alleati vicini. <br><br>Raggio: %aura_radius%\n\nNome in inglese: <b><font color='#F2A93E'>Vladmir's Offering</font></b>"
		"DOTA_Tooltip_ability_item_vladmir_Lore"								"Una maschera inquietante posseduta dalla malvagità di un vampiro defunto."
		
		"DOTA_Tooltip_ability_item_wraith_pact_Description"							"<h1>Attiva: Rappresaglia spettrale</h1>Evoca un totem semovente per %abilityduration% secondi che riduce del %damage_penalty_aura%%% tutti i danni subiti dai nemici in un raggio di %aura_radius% e che infligge %aura_dps% danni al secondo.<br><br> Il totem può essere distrutto con 5 attacchi. I creep infliggono metà del danno al totem.\n<h1>Passiva: Aura di Vladmir</h1>Permette di prosciugare il %vampiric_aura%%% della salute dei nemici con gli attacchi, fa ottenere un bonus di danno del %damage_aura%%% e aumenta di %mana_regen_aura% la rigenerazione del mana e di %armor_aura% l'armatura degli alleati vicini.<br><br>Raggio: %aura_radius%\n\nNome in inglese: <b><font color='#F2A93E'>Wraith Pact</font></b>"
		"DOTA_Tooltip_ability_item_wraith_pact_Lore"								"Un amuleto senziente la cui animosità mette in discussione il coraggio dei nemici più potenti."
		"DOTA_Tooltip_ability_item_wraith_pact_bonus_health"						"+$health"
		"DOTA_Tooltip_ability_item_wraith_pact_bonus_mana"							"+$mana"

		"DOTA_Tooltip_modifier_item_wraith_pact_death_aura"							"Rappresaglia spettrale"
		"DOTA_Tooltip_modifier_item_wraith_pact_death_aura_Description"				"Danno inflitto ridotto del %dMODIFIER_PROPERTY_TOTALDAMAGEOUTGOING_PERCENTAGE%%%. Subisce %dMODIFIER_PROPERTY_TOOLTIP% danni al secondo."
		
		"DOTA_Tooltip_modifier_item_vladmir_aura"				"Aura di Vladmir"
		"DOTA_Tooltip_modifier_item_vladmir_aura_Description"	"I suoi attacchi prosciugano il %dMODIFIER_PROPERTY_TOOLTIP%%% della salute. Danno aumentato del %dMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%%, armatura aumentata di %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS% e rigenerazione del mana aumentata di %fMODIFIER_PROPERTY_MANA_REGEN_CONSTANT%."

		"DOTA_Tooltip_ability_item_void_stone_Description"						"Nome in inglese: <font color='#F2A93E'>Void Stone</font>\n \n"
		"DOTA_Tooltip_ability_item_void_stone_Lore"								"Gioiello un tempo usato per canalizzare le magie dei Reami Oscuri, questo anello pulsa di energia."
		"DOTA_Tooltip_ability_item_void_stone_bonus_mana_regen"					"+$mana_regen"


		"DOTA_Tooltip_ability_item_ward_observer_Description"					"<h1>Uso: Posiziona</h1>Posiziona un Guardiano Osservatore, un sorvegliante invisibile che fornisce visione terrena alla tua squadra nel raggio di %vision_range_tooltip% unità. Ha una durata di %duration_minutes_tooltip% minuti.<br><br>Tieni premuto CTRL per dare un Guardiano Osservatore a un alleato.<br><br>Gittata: %abilitycastrange%\n\nNome in inglese: <b><font color='#F2A93E'>Observer Ward</font></b>"
		//"DOTA_Tooltip_ability_item_ward_observer_vision_range"				"VISION RANGE:"
		//"DOTA_Tooltip_ability_item_ward_observer_duration_minutes_tooltip"	"DURATION (MINUTES):"
		"DOTA_Tooltip_ability_item_ward_observer_Lore"							"Una specie di pianta parzialmente senziente spesso coltivata dai maghi apprendisti."
		
		"DOTA_Tooltip_ability_item_ward_sentry_Description"						"<h1>Uso: Posiziona</h1> Posiziona un Guardiano Sentinella, un sorvegliante invisibile che applica l'effetto di Vera visione, ossia la possibilità di vedere le Unità e i Guardiani nemici invisibili, su tutti gli alleati che si trovano in un raggio di %true_sight_range%.<br>Ha una durata di %duration_minutes_tooltip% minuti.<br><br>Non fornisce visione terrena.<br>Tieni premuto CTRL per dare un Guardiano Sentinella a un Eroe alleato.<br/><br/>Gittata: %abilitycastrange%\n\nNome in inglese: <b><font color='#F2A93E'>Sentry Ward</font></b>"
		//"DOTA_Tooltip_ability_item_ward_sentry_true_sight_range"			"TRUE SIGHT RANGE:"
