"dota"
{
"DOTA_Accept"	"Приемане"
"DOTA_BattlePassLevelPurchaseUnavailable_Title"	"Бойният пропуск приключи"
"DOTA_BattlePassLevelPurchaseUnavailable_Message"	"Покупката на нива за този боен пропуск вече е недостъпна."
"DOTA_VR_DemoTitle"	"Пробване на {s:demo_name}"
"DOTA_VR_DemoGameInfo"	"Полуфинали в горна скоба — 1 игра"
"DOTA_BattlePassLog_FantasyChallengeWinnings"	"Печалби от въображаемото предизвикателство: Топ {i:percentile} процента"
"DOTA_FantasyScorePercentile"	"Процентна стойност"
"DOTA_ChangeLog_MiniGameplayPatch"	"Малка игрална промяна"
"dota_page_match_details_not_found"	"Данните за мача не са намерени"
"DOTA_ChangeLog_PostGame"	"Нов обзор след края на играта"
"dota_page_post_game_support_items"	"Предмети за Support"
"DOTA_Vote"	"Вот"
"npc_dota_hero_abyssal_underlord_hype"	"Призовавайте вълни от пъклени пламъци, за да пожертвате враговете, които са парализирани в злостния Ви захват. Пирувайте връз бойното клане, сдобивайки се със сила, докато враговете загиват около Вас, а атаките им биват отслабени от самото Ви присъствие. Разкъсайте разрив в реалността, за да се телепортирате редом със съотборниците си от другата страна на картата, поднасяйки кърваво възмездие на всеки, който би осмелил да се противопостави на Врогрос, Underlord и волята му."
"DOTA_BattlePassLog_BracketPrediction"	"Прогнози за скобите: {i:correct_answers} правилни отговора"
"DOTA_ChangeLog_UnderlordReleased"	"Нов герой: Underlord"
"DOTA_ChangeLog_TeammateStats"	"Вече са достъпни статистики за съотборниците"
"DOTA_Workshop_Attachment_Head_Particle_Autofill_Desc"	"Това прикачване определя позицията на околните ефектите по подразбиране за частиците към главата. Скелетната кост за прикачването към главата беше попълнена. Ще разполагате с опцията да промените позицията на прикаченото след компилирането."
"FrontPage_Debut_Underlord_Desc"	"Призовавайте вълни от пъклени пламъци, за да пожертвате враговете, които са парализирани в злостния Ви захват. Пирувайте връз бойното клане, сдобивайки се със сила, докато враговете загиват около Вас, а атаките им биват отслабени от самото Ви присъствие. Разкъсайте разрив в реалността, за да се телепортирате редом със съотборниците си от другата страна на картата, поднасяйки кърваво възмездие на всеки, който би осмелил да се противопостави на Врогрос, Underlord и волята му."
"FrontPage_Debut_Underlord_Cell_Desc"	"Нашественикът от пъкъла пристъпва посредством своя Dark Rift, жаден да завладее нови земи. Underlord пристига, носейки със себе си нов обзор след края на играта и добавените статистики за съотборниците."
"FrontPage_New_Update"	"Ново обновление"
"FrontPage_Update_Dark_Rift"	"Обновлението „Мрачният разрив“"
"DOTA_NowAvailable"	"Вече достъпно"
"seasonal_ranked_transfer_party"	"Прехвърляне към екипния рейтинг (MMR)"
"seasonal_ranked_transfer_solo"	"Прехвърляне към личния рейтинг (MMR)"
"seasonal_ranked_transfer_already"	"Вече е прехвърлен."
"seasonal_ranked_transfer_not_enough_games"	"Не може да се прехвърли. Изиграни са под 40 мача."
"seasonal_ranked_transfer_confirmation_title"	"Прехвърляне на рейтинга (MMR) от International"
"seasonal_ranked_transfer_confirmation_solo"	"Сигурни ли сте, че искате да замените своя личен рейтинг (MMR) с този от International през текущия сезон? Това не може да бъде отменено."
"seasonal_ranked_transfer_confirmation_party"	"Сигурни ли сте, че искате да замените своя екипен рейтинг (MMR) с този от International през текущия сезон? Това не може да бъде отменено."
"seasonal_ranked_transfer_confirmation_success"	"Успешно прехвърлихте рейтинга (MMR) от International към личния Ви такъв."
"seasonal_ranked_transfer_confirmation_failure"	"Грешка при опита за прехвърлянето на рейтинга (MMR) от International."
"dota_page_match_details_legend_tower_damage"	"СГРД"
"dota_page_match_details_legend_tower_damage_tooltip"	"Нанесени щети на кули и бараки"
"DOTA_TI6_BattlePass_Ended"	"Бойният пропуск за The International 2016 приключи"
"DOTA_SplashAd_WarhammerTreasure_Title"	"Warhammer: Treasure of the Old World"
"DOTA_SplashAd_WarhammerTreasure_Message"	"Съдържа тринадесет тематични Warhammer комплекта от Dota 2 работилницата."
"DOTA_PlayerContextMenu_IgnoreSpam"	"Игнориране на потребителя и докладване за спам"
"dota_page_match_details_legend_permanent_buffs"	"Бъфове"
"dota_page_post_game_vs_previous_local"	"с/у СРЕДНИТЕ ВИ СТОЙНОСТИ ЗА ТОЗИ ГЕРОЙ"
"dota_post_game_stats_kills"	"Убийства:"
"dota_post_game_stats_xpm"	"ОВМ:"
"dota_post_game_stats_gpm"	"ЗВМ:"
"dota_post_game_stats_deaths"	"Умирания:"
"dota_post_game_stats_assists"	"Асистенции:"
"dota_post_game_bot"	"Бот"
"dota_post_game_stats_bot_difficulty_passive"	"Трудност на бота: Пасивна"
"dota_post_game_stats_bot_difficulty_easy"	"Трудност на бота: Лесна"
"dota_post_game_stats_bot_difficulty_medium"	"Трудност на бота: Средна"
"dota_post_game_stats_bot_difficulty_hard"	"Трудност на бота: Трудна"
"dota_post_game_stats_bot_difficulty_unfair"	"Трудност на бота: Нечестна"
"DOTA_RecentGame_Replay"	"Повторение"
"DOTA_Tutorial_Multiplayer_Match"	"Мрежов мач"
"DOTA_Tutorial_Co-op_Match"	"Кооперативен мач"
"DOTA_Tutorial_Mechanics"	"Механики"
"DOTA_Tutorial_Mechanics_Desc"	"Научете основите за Dota, от това как да контролирате героя си до използването на магазина за предмети и още други. След този кратък урок ще имате обща представа за основните принципи на играта."
"DOTA_Tutorial_Strength_Desc"	"В този мач ще играете като Dragon Knight, ръкопашен силов герой. Те най-често имат повече здраве и регенерация за него, отколкото героите в други класове, което ги прави по-устойчиви на физически и заклинателни атаки. Тези герои придобиват бонус щети на атаката за всяка допълнителна точка в сила."
"DOTA_Tutorial_Agility_Desc"	"В този мач ще играете като Sniper, далекобоен ловък герой. Те най-често имат повече броня и скорост на атаката, отколкото героите в други класове. Това ги прави перфектни носители на могъщи предмети за щети на атаката. Тези герои придобиват бонус щети на атаката за всяка допълнителна точка в ловкост."
"DOTA_Tutorial_Intelligence_Desc"	"В този мач ще играете като Shadow Shaman, далекобоен интелектуален герой. Те най-често имат повече мана и регенерация за нея, отколкото героите в други класове, което ги прави идеални за роли фокусирани над уменията. Тези герои придобиват бонус щети на атаката за всяка допълнителна точка в интелект."
"DOTA_Tutorial_HoverText"	"Задръжте мишката върху иконата за описание"
"DOTA_Tutorial_TopicsCovered"	"Обхванати теми"
"DOTA_Tutorial_Mechanics_Bullets"	"— Закупуване на предмети от магазина;<br />— Управление на камерата и движението;<br />— Основно сражение;<br />— Повишаване нивото на умения;<br />— Използване на умения."
"DOTA_Tutorial_Co-op_Desc"	"Сега, след като вече сте усвоили основите на няколко героя, е време да се впуснете в игра с истински съотборници. Преборете се да унищожите Ancient на вражеския отбор от ботове. Работете съдружно и общувайте, за да повалите тези ботове в алеите и разбиете техния Ancient на парчета."
"DOTA_Tutorial_Multiplayer_Desc"	"Време е. Готови сте. Натиснете бутона, за да се впуснете в истински мрежов мач и се присъединете към своите нови съотборници. С тях ще се опълчите лице в лице с пет други играча. Не забравяйте — всички други също са новаци. Така че се отпуснете. Справяте се добре."
"DOTA_StartSoloBotMatchTutorial"	"Стартиране на самостоятелен мач с ботове"
"DOTA_StartCoopBotMatchTutorial"	"Стартиране на кооперативен мач с ботове"
"DOTA_StartMultiplayerMatchTutorial"	"Стартиране на мрежов мач"
"DOTA_StartMechanicsTutorial"	"Стартиране на обучението за механиките"
"DOTA_ChatMessage_Emote"	"<span class=\"{s:target_class} {s:sender_class} {s:visitor_class}\"><span class=\"ChatTarget\">[{s:target}]</span> <span class=\"ChatPersona\">{s:event_crest}{s:battle_cup_icon}{s:persona}</span> {g:dota_filtered_string:message}</span>"
"DOTA_ChatMessage_Emote_NoTarget"	"<span class=\"{s:target_class} {s:sender_class} {s:visitor_class}\"><span class=\"ChatPersona\">{s:event_crest}{s:battle_cup_icon}{s:persona}</span> {g:dota_filtered_string:message}</span>"
"DOTA_Chat_SuggestHero"	"предлага да изберете <a class=\"SuggestedHero\" href=\"event:DOTASuggestedHeroActivated( {d:hero_id} )\">[{g:dota_hero_name:hero_id}]</a>."
"DOTA_Chat_SuggestHeroRole"	"предлага да изберете <a class=\"SuggestedHeroRole\" href=\"event:DOTASuggestedHeroRoleActivated( {s:hero_role} )\">[{s:localized_hero_role}]</a> герой."
"DOTA_HeroSelector_ClearFilters_Button"	"Изчистване"
"DOTA_Lobby_Settings_Bot_Settings"	"НАСТРОЙКИ НА БОТОВЕ"
"DOTA_Lobby_Settings_Bots_Radiant"	"RADIANT БОТОВЕ"
"DOTA_Lobby_Settings_Bots_Radiant_Difficulty"	"ТРУДНОСТ НА RADIANT"
"DOTA_Lobby_Settings_Bots_Dire"	"DIRE БОТОВЕ"
"DOTA_Lobby_Settings_Bots_Dire_Difficulty"	"ТРУДНОСТ НА DIRE"
"DOTA_Lobby_Settings_Bots_Default"	"По подразбиране"
"DOTA_Bracket_Round1"	"Първи рунд"
"DOTA_Bracket_Round2"	"Четвъртфинали"
"DOTA_Bracket_Round3"	"Полуфинали"
"DOTA_Bracket_Finals"	"Финали"
"DOTA_WatchTournament_BattlePassSummary"	"Боен пропуск | Резюме"
"dota_settings_name_over_healthbar"	"Показване на имената над лентата за здравето"
"dota_settings_showheronames"	"Имена на герои"
"dota_settings_dontshownames"	"Нищо"
"dota_settings_minimapsimplebackground"	"Използване на семпъл фон за мини картата"
"dota_settings_parallax_mapping"	"Паралакс на земната повърхност"
"dota_settings_grassquality"	"Трева"
"dota_settings_tree_wind"	"Дървесен вятър"
"DOTA_HeroComplexity"	"Сложност"
"DOTA_HeroComplexity_Description_1"	"Механиките за уменията на този герой са сравнително лесни за изпълняване."
"DOTA_HeroComplexity_Description_2"	"Механиките за уменията на този герой изискват умерена степен на вещина, координация и уцелване на подходящия момент за изпълняване."
"DOTA_HeroComplexity_Description_3"	"Механиките за уменията на този герой изискват висока степен на вещина, координация и уцелване на подходящия момент за изпълняване."
"dota_weekend_tourney_hub_fall_2016"	"Есен 2016"
"DOTA_ItemRemoveGifter_Attributes_Title"	"Потвърдете премахването на информацията за подаръка"
"DOTA_ItemRemoveGifter_Attributes"	"Перманентно премахване на информацията относно подаръка за този предмет?"
"DOTA_ItemChangeGifter_Attributes_Processing_Title"	"Премахване на информацията за подаръка"
"DOTA_ItemChangeGifter_Attributes_Processing_Text"	"Моля, изчакайте за момент, докато подробностите на предмета се обновяват."
"DOTA_ItemRemoveGifter_Attributes_Succeeded"	"Успешно премахнахте информацията за подаръка от този предмет."
"DOTA_ChangeLog_LearnItems"	"Страница с предмети от магазина"
"DOTA_ChangeLog_BattleCupPartyBuilder"	"Съставяне на екип в бойната купа"
"DOTA_Treasure_InfuserPurchase"	"Закупуване на Infuser"
"DOTA_Treasure_InfusersOwned"	"Притежавани Infusers:"
"DOTA_Workshop_Animation_Spawn2"	"Раждане 2"
"DOTA_EventName_FallMajor2016"	"Есенен боен пропуск 2016"
"DOTA_Home_Fall_BattlePass_NotOwned"	"Бойният пропуск за есен 2016 вече е тук"
"DOTA_Home_Fall_BattlePass_NeedsActivate"	"Притежавате есенен боен пропуск 2016"
"DOTA_CacheTreasure_MissingCompendium_Fall2016"	"Трябва да притежавате есенен боен пропуск 2016, така че да закупите тези съкровища."
"FrontPage_Fall_2016_BattlePass_Desc"	"Есенният боен пропуск 2016 е изпълнен с приключения, съкровища и награди. Той ще е спътникът Ви през есенния Dota сезон 2016."
"FrontPage_Fall_2016_New_Fall"	"Ново за есенния сезон"
"DOTA_Compendium_SecondaryTabHeader_Bracket"	"Скоба"
"DOTA_Compendium_SecondaryTabHeader_FallComingSoon"	"The Boston Major"
"DOTA_SeasonPass_Fall_Treasure1"	"Есен 2016 съкровище I"
"DOTA_SeasonPass_Fall_Treasure2"	"Есен 2016 съкровище II"
"DOTA_SeasonPass_Fall_Treasure3"	"Есен 2016 съкровище III"
"DOTA_SeasonPass_Fall_Treasure4"	"Есен 2016 съкровище IV"
"DOTA_Wheel_FallTreasure"	"Есенно съкровище"
"DOTA_Fall2016_BattlePass_EndDate"	"Събитието свързано с есенния боен пропуск 2016 приключва в понеделник на 02 януари, 2017"
"DOTA_FallMajor2016_Achievement_Complete_1_Questline_Name"	"По правилния курс"
"DOTA_FallMajor2016_Achievement_Complete_1_Questline_Description"	"Завършете финалното приключение в някой от основните курсове"
"DOTA_FallMajor2016_Achievement_Complete_All_Questlines_Name"	"Тройна заплаха"
"DOTA_FallMajor2016_Achievement_Complete_All_Questlines_Description"	"Завършете финалното приключение във всичките три основни курса"
"DOTA_FallMajor2016_Achievement_Complete_All_Quests_Name"	"Всички до един"
"DOTA_FallMajor2016_Achievement_Complete_All_Quests_Description"	"Завършете всички 45 приключения от трите основни курса с поне 1 звезда"
"DOTA_FallMajor2016_Achievement_Complete_All_Quests_3_Star_Name"	"Звездомания"
"DOTA_FallMajor2016_Achievement_Complete_All_Quests_3_Star_Description"	"Завършете всички 45 приключения от трите основни курса с 3 звезди"
"DOTA_FallMajor2016_Achievement_Win_A_Wager_Name"	"Все още ме бива"
"DOTA_FallMajor2016_Achievement_Win_A_Wager_Description"	"Спечелете облог"
"DOTA_FallMajor2016_Achievement_Win_6000xp_Wagering_Name"	"Сърбят ме ръцете"
"DOTA_FallMajor2016_Achievement_Win_6000xp_Wagering_Description"	"Спечелете 6 000 бойни точки от облози"
"DOTA_FallMajor2016_Achievement_Win_10000xp_Wagering_Name"	"Няма такова нещо като хазартна игра"
"DOTA_FallMajor2016_Achievement_Win_10000xp_Wagering_Description"	"Спечелете 15 000 бойни точки от облози"
"DOTA_FallMajor2016_Achievement_Tip_A_Player_Name"	"Похвално намерение"
"DOTA_FallMajor2016_Achievement_Tip_A_Player_Description"	"Дайте бакшиш на играч в края на мача"
"DOTA_FallMajor2016_Achievement_Tip_10_Players_Name"	"Абсолютна добросъвестност"
"DOTA_FallMajor2016_Achievement_Tip_10_Players_Description"	"Дайте бакшиш на 50 играчи в своите мачове"
"DOTA_FallMajor2016_Achievement_Complete_4_Weekly_Missions_Name"	"Готови за мисия"
"DOTA_FallMajor2016_Achievement_Complete_4_Weekly_Missions_Description"	"Завършете 4 ежеседмични предизвикателства"
"DOTA_FallMajor2016_Achievement_Complete_8_Weekly_Missions_Name"	"Не е чак такова скучно задължение"
"DOTA_FallMajor2016_Achievement_Complete_8_Weekly_Missions_Description"	"Завършете 12 ежеседмични предизвикателства"
"DOTA_FallMajor2016_Achievement_Complete_12_Weekly_Missions_Name"	"Давам всичко от себе си"
"DOTA_FallMajor2016_Achievement_Complete_12_Weekly_Missions_Description"	"Завършете 20 ежеседмични предизвикателства"
"DOTA_FallMajor2016_Achievement_Complete_10_Daily_Missions_Name"	"Комфортен подбор"
"DOTA_FallMajor2016_Achievement_Complete_10_Daily_Missions_Description"	"Завършете 10 дневни героични предизвикателства"
"DOTA_FallMajor2016_Achievement_Complete_25_Daily_Missions_Name"	"Разширен репертоар"
"DOTA_FallMajor2016_Achievement_Complete_25_Daily_Missions_Description"	"Завършете 40 дневни героични предизвикателства"
"DOTA_FallMajor2016_Achievement_Complete_50_Daily_Missions_Name"	"Изиграйте ги наред"
"DOTA_FallMajor2016_Achievement_Complete_50_Daily_Missions_Description"	"Завършете 75 дневни героични предизвикателства"
"DOTA_FallMajor2016_Achievement_Get_30_BattlePoints_Name"	"Ентусиаст за бойната купа"
"DOTA_FallMajor2016_Achievement_Get_30_BattlePoints_Description"	"Спечелете 30 бойни точки в бойната купа"
"DOTA_FallMajor2016_Achievement_Get_100_BattlePoints_Name"	"Претендент за бойната купа"
"DOTA_FallMajor2016_Achievement_Get_100_BattlePoints_Description"	"Спечелете 100 бойни точки в бойната купа"
"DOTA_FallMajor2016_Achievement_Get_250_BattlePoints_Name"	"Непоколебимо към бойната купа"
"DOTA_FallMajor2016_Achievement_Get_250_BattlePoints_Description"	"Спечелете 250 бойни точки в бойната купа"
"DOTA_FallMajor2016_Achievement_Open_5_Treasure_I_Name"	"Съкровище I — откривател"
"DOTA_FallMajor2016_Achievement_Open_5_Treasure_I_Description"	"Отворете 5 от съкровище I"
"DOTA_FallMajor2016_Achievement_Open_10_Treasure_I_Name"	"Съкровище I — перфекционист"
"DOTA_FallMajor2016_Achievement_Open_10_Treasure_I_Description"	"Отворете 10 от съкровище I"
"DOTA_FallMajor2016_Achievement_Open_5_Treasure_II_Name"	"Съкровище II — откривател"
"DOTA_FallMajor2016_Achievement_Open_5_Treasure_II_Description"	"Отворете 5 от съкровище II"
"DOTA_FallMajor2016_Achievement_Open_10_Treasure_II_Name"	"Съкровище II — перфекционист"
"DOTA_FallMajor2016_Achievement_Open_10_Treasure_II_Description"	"Отворете 10 от съкровище II"
"DOTA_FallMajor2016_Achievement_Open_5_Treasure_III_Name"	"Съкровище III — откривател"
"DOTA_FallMajor2016_Achievement_Open_5_Treasure_III_Description"	"Отворете 5 от съкровище III"
"DOTA_FallMajor2016_Achievement_Open_10_Treasure_III_Name"	"Съкровище III — перфекционист"
"DOTA_FallMajor2016_Achievement_Open_10_Treasure_III_Description"	"Отворете 10 от съкровище III"
"DOTA_FallMajor2016_Achievement_Open_5_Treasure_IV_Name"	"Съкровище IV — откривател"
"DOTA_FallMajor2016_Achievement_Open_5_Treasure_IV_Description"	"Отворете 5 от съкровище IV"
"DOTA_FallMajor2016_Achievement_Open_10_Treasure_IV_Name"	"Съкровище IV — перфекционист"
"DOTA_FallMajor2016_Achievement_Open_10_Treasure_IV_Description"	"Отворете 10 от съкровище IV"
"DOTA_FallMajor2016_Achievement_Use_2_Infusers_Name"	"Потребителски модификации"
"DOTA_FallMajor2016_Achievement_Use_2_Infusers_Description"	"Използвайте 2 есенни Infusers"
"DOTA_FallMajor2016_Achievement_Use_5_Infusers_Name"	"Infuser консуматор"
"DOTA_FallMajor2016_Achievement_Use_5_Infusers_Description"	"Използвайте 5 есенни Infusers"
"DOTA_FallMajor2016_Achievement_Use_20_Infusers_Name"	"Празненство от частици"
"DOTA_FallMajor2016_Achievement_Use_20_Infusers_Description"	"Използвайте 20 есенни Infusers"
"DOTA_FallMajor2016_Reward_Blink_Effect"	"Blink ефект"
"DOTA_DB_SeasonPass_Fall_2016"	"Есен 2016"
"DOTA_DB_SeasonPass_fall2016_Prestige_Rewards_Colleseum"	"Сезонен терен — Есен<br><font color='#888888'>Ниво </font><font color='#96C68C'>1</font>"
"DOTA_DB_SeasonPass_fall2016_Prestige_Rewards_LoadScreens"	"Fall 2016 Battle Pass екран при зареждане<br><font color='#888888'>Ниво </font><font color='#96C68C'>1</font> / <font color='#96C68C'>17</font> / <font color='#96C68C'>21</font>"
"DOTA_DB_SeasonPass_fall2016_Prestige_Rewards_BattleCupTicket"	"Билет за седмичната бойна купа<br><font color='#888888'>Ниво </font><font color='#96C68C'>1</font> / <font color='#96C68C'>29</font>"
"DOTA_DB_SeasonPass_fall2016_Prestige_Rewards_Infuser"	"Treasure Upgrade Infuser — Fall 2016<br><font color='#888888'>Ниво </font><font color='#96C68C'>22</font>"
"DOTA_DB_SeasonPass_fall2016_Prestige_Rewards_LoadScreen1"	"Екран при зареждане I<br><font color='#888888'>Ниво </font><font color='#96C68C'>1</font>"
"DOTA_DB_SeasonPass_fall2016_Prestige_Rewards_LoadScreen2"	"Екран при зареждане II<br><font color='#888888'>Ниво </font><font color='#96C68C'>17</font>"
"DOTA_DB_SeasonPass_fall2016_Prestige_Rewards_LoadScreen3"	"Екран при зареждане III<br><font color='#888888'>Ниво </font><font color='#96C68C'>21</font>"
"DOTA_DB_SeasonPass_fall2016_Prestige_Rewards_Emoticon"	"Пакет с емотикони „Есен 2016“ <br><font color='#888888'>Ниво </font><font color='#96C68C'>2</font>"
"DOTA_DB_SeasonPass_fall2016_Prestige_Rewards_Fountain"	"Ефект за лечението от фонтана<br><font color='#888888'>Ниво <font color='#96C68C'>3</font> / <font color='#96C68C'>37</font> / <font color='#96C68C'>58</font></font>"
"DOTA_DB_SeasonPass_fall2016_Prestige_Rewards_TP"	"Ефект при телепортиране за героя<br><font color='#888888'>Ниво <font color='#96C68C'>4</font> / <font color='#96C68C'>31</font> / <font color='#96C68C'>52</font></font>"
"DOTA_DB_SeasonPass_fall2016_Prestige_Rewards_Courier"	"Wibbley куриер<br><font color='#888888'>Ниво <font color='#96C68C'>7</font> / <font color='#96C68C'>20</font> / <font color='#96C68C'>40</font> / <font color='#96C68C'>60</font></font>"
"DOTA_DB_SeasonPass_fall2016_Prestige_Rewards_Ward"	"Starecrow Ward<br><font color='#888888'>Ниво </font><font color='#96C68C'>8</font>"
"DOTA_DB_SeasonPass_fall2016_Prestige_Rewards_Blink"	"Blink Dagger ефект<br><font color='#888888'>Ниво <font color='#96C68C'>9</font></font>"
"DOTA_DB_SeasonPass_fall2016_Prestige_Rewards_Effigy"	"<b>Fall 2016 Effigy Block</b><br>
<i>Effigy Block I</i><font color='#888888'> ниво <font color='#96C68C'>12</font></font><br>
<i>Effigy Block II</i><font color='#888888'> ниво <font color='#96C68C'>26</font></font><br>
<i>Effigy Block III</i><font color='#888888'> ниво <font color='#96C68C'>48</font></font>"
"DOTA_DB_SeasonPass_fall2016_Prestige_Rewards_Forcestaff"	"Force Staff ефект<br><font color='#888888'>Ниво </font><font color='#96C68C'>24</font>"
"DOTA_DB_SeasonPass_fall2016_Prestige_Rewards_Taunt"	"<br>Есенни присмехи 2016</b><br>
<i>Присмех за Centaur: A Leg to Stand On</i><font color='#888888'> ниво <font color='#96C68C'>14</font></font><br>
<i>Присмех за Brewmaster: Drunken Antics </i><font color='#888888'> ниво <font color='#96C68C'>28</font></font><br>"
"DOTA_DB_SeasonPass_fall2016_Prestige_Rewards_Taunt_Centaur"	"Присмех за Centaur: A Leg to Stand On<font color='#888888'> ниво <font color='#96C68C'>14</font></font>"
"DOTA_DB_SeasonPass_fall2016_Prestige_Rewards_Taunt_Brew"	"Присмех за Brewmaster: Drunken Antics<font color='#888888'> ниво <font color='#96C68C'>28</font></font>"
"DOTA_DB_SeasonPass_fall2016_Prestige_Rewards_Cyclone"	"Eul's Scepter ефект<br><font color='#888888'>Ниво </font><font color='#96C68C'>30</font>"
"DOTA_Fall2016_BattlePassRewards_Intro"	"Съзрете пълната галерия с награди, която можете да спечелите от есенния боен пропуск 2016.<br><br><font color='#94D53F'>ПЕЧЕЛИТЕ НОВИ НАГРАДИ</font> всеки път, когато повишавате своето бойно ниво.<br><br><font color='#94D53F'>ПОВИШАВАТЕ НИВОТО СИ</font>, когато завършвате приключения, печелите облози в игрите и изпълнявате постижения.<br><br>Въпреки че онези, които завършват пълната колекция са рядко срещани и доблестни герои, всички, предприели това пътешествие могат да видят своя напредък тук."
"DOTA_BattlePassRewards_RecycleNote_fall2016"	"Съдържанието на съкровищата от есенния боен пропуск 2016 може да се рециклира за <b>500</b> бойни точки."
"DOTA_BattlePassRewards_QuestNote_fall2016"	"Завършете финалното приключение в някой курс, за да получите наградата от него. <br>Завършете всички приключенския курс с поне 40 звезди, така че да отключите специален стил за наградата."
"DOTA_Fall2016_QuestIntroTitleLabel"	"Приключения за есенния боен пропуск 2016"
"DOTA_Fall2016_QuestIntroCampaignTitleLabel"	"Бойният подход"
"DOTA_Fall2016_QuestIntroLore"	"Разтурете бойните планове на своя враг. Принудете ги да се страхуват от мъглявината в „Курса на саботьора“. Контролирайте картата и напътствайте потока на битката, за да подсигурите бързото възкачване в „Курса на пазителя“. Трупайте нарастващи предмети с мистична мощ, за да оглавите финалния устрем в „Курса на доминатора“."
"DOTA_CompendiumRecap_OverviewDetails_Boston"	"Групов етап: 03 — 04 декември, 2016\nОсновно събитие: 07 — 10 декември, 2016"
"DOTA_CompendiumRecap_OverviewVenueDetails_Boston"	"Wang Theatre — Бостън, САЩ"
"DOTA_CompendiumRecap_OverviewFormatDetails_Boston"	"16 отбора в мачове до най-добри от три при плейоф с директни елиминации. Гранд финалите са в мачове до най-добри от пет."
"DOTA_CompendiumRecap_OverviewFormatDetailsCont_Boston"	"Позициите ще се определят в груповия етап."
"DOTA_SeasonPass_Fall2016_Rewards_Expire"	"Събитието за есенния боен пропуск 2016 приключва на:"
"DOTA_SeasonPass_Fall2016_Rewards_Expired"	"Есенният боен пропуск 2016 изтече на:"
"DOTA_SeasonPass_Fall2016_Rewards_Expire_Date"	"02 януари, 2017"
"DOTA_GameItems_Shops"	"Магазини"
"DOTA_GameItems_AllShops"	"Всички магазини"
"DOTA_GameItems_ItemDetails"	"Подробности за предмета"
"DOTA_GameItems_AvailableAtMainShop"	"Достъпни от магазина в базата"
"DOTA_GameItems_AvailableAtSideShop"	"Достъпни от страничния магазин"
"DOTA_GameItems_AvailableAtSecretShop"	"Достъпни от тайния магазин"
"DOTA_GameItems_RequiresSecretShop"	"Изисква тайния магазин"
"dota_weekend_tourney_hub_tier_all"	"Всички дивизии"
"dota_weekend_tourney_hub_no_recent_tournaments"	"Няма скорошни турнири"
"dota_weekend_tourney_hub_no_leaderboard_data"	"Бъдете първи сред своите приятели и влезте в бойната купа!"
"DOTA_Hud_ChannelBar"	"Изпълняване {s:seconds_left}"
"DOTA_Compendium_SecondaryTabHeader_TrueSight"	"True Sight"
"DOTA_MoviePurchaseCompendium"	"Закупете бойния пропуск за Fall Major, така ще имате достъп до всичките три епизода на True Sight („Действителен взор“)!"
"DOTA_MovieStreamCountdown"	"Достъпно след {s:hours}:{s:minutes}"
"DOTA_MovieStreamOver"	"Излъчването на True Sight („Действителен взор“) приключи. Епизодът вече е достъпен в Steam библиотеката Ви за видео."
"DOTA_XboxDVR_Title"	"Препоръка за производителността"
"DOTA_XboxDVR_Explain"	"В операционната Ви система е включена функцията Xbox Game DVR, за която има доклади, че причинява проблеми с производителността в игрите. Те могат да са свързани с ограничени кадри в секунда, сривове или засичания.\n\nБихте ли искали да научите как функцията Xbox Game DVR може да бъде изключена на системата Ви?"
"DOTA_Compendium_SecondaryTabHeader_RegionalPredictions"	"Регионални прогнози"
"DOTA_Compendium_SecondaryTabHeader_InvitePredictions"	"Прогнози за покана"
"DOTA_Compendium_InvitePredictions"	"Предскажете правилно всички 8 поканени отбора, за да спечелите 2 000 бойни точки."
"DOTA_Compendium_SecondaryTabHeader_Invites"	"Покани"
"DOTA_Compendium_Invites_Countdown"	"{i:days} дена \n{s:hours}:{s:minutes}:{s:seconds}"
"DOTA_Compendium_Invites_ToBeDetermined"	"НЕУСТАНОВЕНО"
"DOTA_Compendium_Invites_OpenQualifiers"	"Свободни квалификации № {d:open_number}"
"dota_settings_hud_healthbar_disable_status_display"	"Изключване на текстов статус"
"dota_settings_hud_disable_damage_numbers"	"Скриване на числата за щети"
"dota_weekend_tourney_hub_stats_header_label"	"Статистики за миналата седмица"
"dota_weekend_tourney_hub_stats_worldwide_label"	"Глобални"
"dota_weekend_tourney_hub_stats_players_label"	"Играчи"
"dota_weekend_tourney_hub_tier_n"	"{i:tier} равнище"
"DOTA_ChangeLog_Halloween_Quest_Available"	"Бонус приключенски курс"
"DOTA_Treasure_ViewTreasure"	"Преглед на съкровището"
"FrontPage_Fall_2016_Treasure2_Desc"	"Вече е достъпно за притежателите на боен пропуск, като награда от бойно ниво или покупка в Dota 2 магазина. Съдържа комплекти с артикули за Lion, Silencer, Storm Spirit, Dark Seer и Treant Protector. Също така има ескалиращи шансове за отключването на много рядък комплект с артикули за Spirit Breaker или изключително рядък такъв за Juggernaut, който включва нова анимация при критична атака."
"DOTA_DB_SeasonPass_Halloween2016_Expire"	"Курсът ще е достъпен от 28 октомври — 14 ноември, 2016"
"DOTA_XboxDVR_Fix"	"В компютъра Ви е включена функцията Xbox Game DVR, за която има доклади, че причинява проблеми с производителността в игрите. Те могат да са свързани с намалени/ограничени кадри в секунда, сривове или засичания.\n\nБихте ли искали да научите как функцията Xbox Game DVR може да бъде изключена на системата Ви?"
"DOTA_DVRDisabled_Title"	"Промените са приложени"
