"hero_chat_wheel"
{
"dota_chatwheel_message_antimage_laugh"	"哈哈哈哈哈哈哈哈哈哈哈哈！"
"dota_chatwheel_message_nyx_assassin_deny"	"这怎么可能？"
"[english]dota_chatwheel_message_nyx_assassin_deny"	"How did this happen?"
"dota_chatwheel_label_nyx_assassin_deny"	"这怎么可能？"
"[english]dota_chatwheel_label_nyx_assassin_deny"	"How did this happen?"
"dota_chatwheel_message_nyx_assassin_1"	"无计可施。"
"[english]dota_chatwheel_message_nyx_assassin_1"	"Talentless."
"dota_chatwheel_label_nyx_assassin_1"	"无计可施。"
"[english]dota_chatwheel_label_nyx_assassin_1"	"Talentless"
"dota_chatwheel_message_nyx_assassin_2"	"夜神呲呲呲呲呲。"
"[english]dota_chatwheel_message_nyx_assassin_2"	"Nyx chichcichcihcihchi."
"dota_chatwheel_label_nyx_assassin_2"	"夜神呲呲呲呲呲。"
"[english]dota_chatwheel_label_nyx_assassin_2"	"Nyx chichcichcihcihchi."
"dota_chatwheel_message_nyx_assassin_3"	"我正等着你呢。"
"[english]dota_chatwheel_message_nyx_assassin_3"	"I'm waiting for you."
"dota_chatwheel_label_nyx_assassin_3"	"我正等着你呢。"
"[english]dota_chatwheel_label_nyx_assassin_3"	"I'm waiting for you.	"
"dota_chatwheel_message_nyx_assassin_4"	"暗杀成功。"
"[english]dota_chatwheel_message_nyx_assassin_4"	"Assassinated."
"dota_chatwheel_label_nyx_assassin_4"	"暗杀成功。"
"[english]dota_chatwheel_label_nyx_assassin_4"	"Assassinated."
"dota_chatwheel_message_nyx_assassin_5"	"夜神，夜神，夜神。"
"[english]dota_chatwheel_message_nyx_assassin_5"	"Nyx, Nyx, Nyx, Nyx."
"dota_chatwheel_label_nyx_assassin_5"	"夜神，夜神，夜神。"
"[english]dota_chatwheel_label_nyx_assassin_5"	"Nyx, Nyx, Nyx, Nyx."
"dota_chatwheel_message_naga_siren_laugh"	"啊哈哈哈哈哈哈。"
"[english]dota_chatwheel_message_naga_siren_laugh"	"Ahehehaheh."
"dota_chatwheel_label_naga_siren_laugh"	"大笑"
"[english]dota_chatwheel_label_naga_siren_laugh"	"Laugh"
"dota_chatwheel_message_naga_siren_thank"	"一切进展顺利。"
"[english]dota_chatwheel_message_naga_siren_thank"	"That went swimmingly."
"dota_chatwheel_label_naga_siren_thank"	"一切进展顺利。"
"[english]dota_chatwheel_label_naga_siren_thank"	"That went swimmingly."
"dota_chatwheel_message_naga_siren_deny"	"你的钱可真臭。"
"[english]dota_chatwheel_message_naga_siren_deny"	"A sour note."
"dota_chatwheel_label_naga_siren_deny"	"你的钱可真臭。"
"[english]dota_chatwheel_label_naga_siren_deny"	"A sour note."
"dota_chatwheel_message_naga_siren_1"	"你麻烦大了。"
"[english]dota_chatwheel_message_naga_siren_1"	"You're in deep now."
"dota_chatwheel_label_naga_siren_1"	"你麻烦大了。"
"[english]dota_chatwheel_label_naga_siren_1"	"You're in deep now."
"dota_chatwheel_message_naga_siren_2"	"我已经受够你了。"
"[english]dota_chatwheel_message_naga_siren_2"	"That's enough out of you."
"dota_chatwheel_label_naga_siren_2"	"我已经受够你了。"
"[english]dota_chatwheel_label_naga_siren_2"	"That's enough out of you."
"dota_chatwheel_message_naga_siren_3"	"该死的。"
"[english]dota_chatwheel_message_naga_siren_3"	"That's got to suck."
"dota_chatwheel_label_naga_siren_3"	"该死的。"
"[english]dota_chatwheel_label_naga_siren_3"	"That's got to suck."
"dota_chatwheel_message_naga_siren_4"	"我也是迫不得已。"
"[english]dota_chatwheel_message_naga_siren_4"	"It had to be."
"dota_chatwheel_label_naga_siren_4"	"我也是迫不得已。"
"[english]dota_chatwheel_label_naga_siren_4"	"It had to be."
"dota_chatwheel_message_naga_siren_5"	"我的腿！我的腿没知觉了。"
"[english]dota_chatwheel_message_naga_siren_5"	"My legs! I can't feel my legs."
"dota_chatwheel_label_naga_siren_5"	"我的腿！"
"[english]dota_chatwheel_label_naga_siren_5"	"My legs!"
"dota_chatwheel_message_keeper_of_the_light_laugh"	"呃呵呵呵呵呵。"
"[english]dota_chatwheel_message_keeper_of_the_light_laugh"	"Eh hee hee hee hee hee."
"dota_chatwheel_label_keeper_of_the_light_laugh"	"大笑"
"[english]dota_chatwheel_label_keeper_of_the_light_laugh"	"Laugh"
"dota_chatwheel_message_keeper_of_the_light_thank"	"愿光明与你同在。"
"[english]dota_chatwheel_message_keeper_of_the_light_thank"	"May the light keep you."
"dota_chatwheel_label_keeper_of_the_light_thank"	"愿光明与你同在。"
"[english]dota_chatwheel_label_keeper_of_the_light_thank"	"May the light keep you."
"dota_chatwheel_message_keeper_of_the_light_deny"	"魔法不够了。"
"[english]dota_chatwheel_message_keeper_of_the_light_deny"	"No mana."
"dota_chatwheel_label_keeper_of_the_light_deny"	"魔法不够了！"
"[english]dota_chatwheel_label_keeper_of_the_light_deny"	"No mana!"
"dota_chatwheel_message_keeper_of_the_light_1"	"真的嘛，你应该看见你的死期。"
"[english]dota_chatwheel_message_keeper_of_the_light_1"	"Really now, you should have seen that coming."
"dota_chatwheel_label_keeper_of_the_light_1"	"你应该看见你的死期！"
"[english]dota_chatwheel_label_keeper_of_the_light_1"	"Should have seen that coming!"
"dota_chatwheel_message_keeper_of_the_light_2"	"从我这条怒消失吧……额，怒是什么？"
"[english]dota_chatwheel_message_keeper_of_the_light_2"	"Get off my lawn...eh, what's a lawn?"
"dota_chatwheel_label_keeper_of_the_light_2"	"从我这条怒消失吧……额，怒是什么？"
"[english]dota_chatwheel_label_keeper_of_the_light_2"	"Get off my lawn...eh, what's a lawn?"
"dota_chatwheel_message_keeper_of_the_light_3"	"我的马说不，我也是。"
"[english]dota_chatwheel_message_keeper_of_the_light_3"	"My horse says nay and so do I."
"dota_chatwheel_label_keeper_of_the_light_3"	"我的马说不，我也是。"
"[english]dota_chatwheel_label_keeper_of_the_light_3"	"My horse says nay and so do I."
"dota_chatwheel_message_keeper_of_the_light_4"	"你的生命之光已熄灭。"
"[english]dota_chatwheel_message_keeper_of_the_light_4"	"Lights out for you."
"dota_chatwheel_label_keeper_of_the_light_4"	"你的生命之光已熄灭。"
"[english]dota_chatwheel_label_keeper_of_the_light_4"	"Lights out for you."
"dota_chatwheel_message_keeper_of_the_light_5"	"啊哈，啊呵呵，啊什么？"
"[english]dota_chatwheel_message_keeper_of_the_light_5"	"Ah hah, ah ha ha, eh what?"
"dota_chatwheel_label_keeper_of_the_light_5"	"啊哈，啊呵呵，啊什么？"
"[english]dota_chatwheel_label_keeper_of_the_light_5"	"Ah hah, ah ha ha, eh what?"
"dota_chatwheel_message_wisp_laugh"	"大笑声"
"[english]dota_chatwheel_message_wisp_laugh"	"Laughing Beeps"
"dota_chatwheel_label_wisp_laugh"	"大笑声"
"[english]dota_chatwheel_label_wisp_laugh"	"Laughing Beeps"
"dota_chatwheel_message_wisp_thank"	"感激声"
"[english]dota_chatwheel_message_wisp_thank"	"Thankful Beeps"
"dota_chatwheel_label_wisp_thank"	"感激声"
"[english]dota_chatwheel_label_wisp_thank"	"Thankful Beeps"
"dota_chatwheel_message_wisp_deny"	"拒绝声"
"[english]dota_chatwheel_message_wisp_deny"	"Denying Beeps"
"dota_chatwheel_label_wisp_deny"	"拒绝声"
"[english]dota_chatwheel_label_wisp_deny"	"Denying Beeps"
"dota_chatwheel_message_wisp_1"	"亲近声"
"[english]dota_chatwheel_message_wisp_1"	"Friendly Beeps"
"dota_chatwheel_label_wisp_1"	"亲近声"
"[english]dota_chatwheel_label_wisp_1"	"Friendly Beeps"
"dota_chatwheel_message_wisp_2"	"胜利声"
"[english]dota_chatwheel_message_wisp_2"	"Triumphant Beeps"
"dota_chatwheel_label_wisp_2"	"胜利声"
"[english]dota_chatwheel_label_wisp_2"	"Triumphant Beeps"
"dota_chatwheel_message_wisp_3"	"悲伤声"
"[english]dota_chatwheel_message_wisp_3"	"Sorrowful Beeps"
"dota_chatwheel_label_wisp_3"	"悲伤声"
"[english]dota_chatwheel_label_wisp_3"	"Sorrowful Beeps"
"dota_chatwheel_message_wisp_4"	"愤怒声"
"[english]dota_chatwheel_message_wisp_4"	"Angry Beeps"
"dota_chatwheel_label_wisp_4"	"愤怒声"
"[english]dota_chatwheel_label_wisp_4"	"Angry Beeps"
"dota_chatwheel_message_wisp_5"	"沉思声"
"[english]dota_chatwheel_message_wisp_5"	"Meditative Beeps"
"dota_chatwheel_label_wisp_5"	"沉思声"
"[english]dota_chatwheel_label_wisp_5"	"Meditative Beeps"
"dota_chatwheel_message_visage_laugh"	"啊哈哈哈哈哈哈哈哈！"
"[english]dota_chatwheel_message_visage_laugh"	"Ah ha ha ha ha ha ha ha ha!"
"dota_chatwheel_label_visage_laugh"	"大笑"
"[english]dota_chatwheel_label_visage_laugh"	"Laugh"
"dota_chatwheel_message_visage_thank"	"维萨吉很喜欢。"
"[english]dota_chatwheel_message_visage_thank"	"Visage like."
"dota_chatwheel_label_visage_thank"	"维萨吉很喜欢。"
"[english]dota_chatwheel_label_visage_thank"	"Visage like."
"dota_chatwheel_message_visage_deny"	"又是你？"
"[english]dota_chatwheel_message_visage_deny"	"You again?"
"dota_chatwheel_label_visage_deny"	"又是你？"
"[english]dota_chatwheel_label_visage_deny"	"You again?"
"dota_chatwheel_message_visage_1"	"你就这样死了。"
"[english]dota_chatwheel_message_visage_1"	"And so you die."
"dota_chatwheel_label_visage_1"	"你就这样死了。"
"[english]dota_chatwheel_label_visage_1"	"And so you die."
"dota_chatwheel_message_visage_2"	"我失败了。"
"[english]dota_chatwheel_message_visage_2"	"I have failed."
"dota_chatwheel_label_visage_2"	"我失败了。"
"[english]dota_chatwheel_label_visage_2"	"I have failed."
"dota_chatwheel_message_visage_3"	"你不许通过！"
"[english]dota_chatwheel_message_visage_3"	"You shall not pass!"
"dota_chatwheel_label_visage_3"	"你不许通过！"
"[english]dota_chatwheel_label_visage_3"	"You shall not pass!"
"dota_chatwheel_message_visage_4"	"我，就是死亡的面孔。"
"[english]dota_chatwheel_message_visage_4"	"Face of death."
"dota_chatwheel_label_visage_4"	"我，就是死亡的面孔。"
"[english]dota_chatwheel_label_visage_4"	"I am the unyielding face of death!"
"dota_chatwheel_message_visage_5"	"啊，好多了。"
"[english]dota_chatwheel_message_visage_5"	"Ahh this is much better."
"dota_chatwheel_label_visage_5"	"好多了。"
"[english]dota_chatwheel_label_visage_5"	"Much better"
"dota_chatwheel_message_slark_laugh"	"呵呵呵呵呵呵呵呵呵。"
"[english]dota_chatwheel_message_slark_laugh"	"Heh heh heh heh heh heh heh heh."
"dota_chatwheel_label_slark_laugh"	"大笑"
"[english]dota_chatwheel_label_slark_laugh"	"Laugh"
"dota_chatwheel_message_slark_thank"	"我知道我能够信任你们。"
"[english]dota_chatwheel_message_slark_thank"	"I know I can trust you guys."
"dota_chatwheel_label_slark_thank"	"我能信任你们。"
"[english]dota_chatwheel_label_slark_thank"	"On your belly"
"dota_chatwheel_message_slark_deny"	"正中下腹和双爪。"
"[english]dota_chatwheel_message_slark_deny"	"On your belly and crawl."
"dota_chatwheel_label_slark_deny"	"放弃吧。"
"[english]dota_chatwheel_label_slark_deny"	"Give it up."
"dota_chatwheel_message_slark_1"	"我听不到你。"
"[english]dota_chatwheel_message_slark_1"	"I can't hear you."
"dota_chatwheel_label_slark_1"	"我听不到你。"
"[english]dota_chatwheel_label_slark_1"	"I can't hear you."
"dota_chatwheel_message_slark_2"	"好吧那真是错得够快的。"
"[english]dota_chatwheel_message_slark_2"	"Well that went bad quickly."
"dota_chatwheel_label_slark_2"	"好吧那真是错得够快的。"
"[english]dota_chatwheel_label_slark_2"	"Well that went bad quickly."
"dota_chatwheel_message_slark_3"	"你咬到我的饵了。"
"[english]dota_chatwheel_message_slark_3"	"You took the bait."
"dota_chatwheel_label_slark_3"	"你咬到我的饵了。"
"[english]dota_chatwheel_label_slark_3"	"You took the bait."
"dota_chatwheel_message_slark_4"	"哦，所有努力都值得了。"
"[english]dota_chatwheel_message_slark_4"	"Oh this makes it all worthwhile."
"dota_chatwheel_label_slark_4"	"所有努力都值得"
"[english]dota_chatwheel_label_slark_4"	"All worth while."
"dota_chatwheel_message_slark_5"	"哦，那真挺好的。"
"[english]dota_chatwheel_message_slark_5"	"Oh that's very nice."
"dota_chatwheel_label_slark_5"	"哦，那真挺好的。"
"[english]dota_chatwheel_label_slark_5"	"Oh that's very nice."
"dota_chatwheel_message_medusa_laugh"	"呵呵呵哈哈哈哈哈！"
"[english]dota_chatwheel_message_medusa_laugh"	"Hmm hmm hmm ha ha ha ha ha!"
"dota_chatwheel_label_medusa_laugh"	"大笑"
"[english]dota_chatwheel_label_medusa_laugh"	"Laugh"
"dota_chatwheel_message_medusa_thank"	"华丽。"
"[english]dota_chatwheel_message_medusa_thank"	"Brilliant."
"dota_chatwheel_label_medusa_thank"	"华丽。"
"[english]dota_chatwheel_label_medusa_thank"	"Brilliant."
"dota_chatwheel_message_medusa_deny"	"补到你脸上。"
"[english]dota_chatwheel_message_medusa_deny"	"In your face."
"dota_chatwheel_label_medusa_deny"	"补到你脸上。"
"[english]dota_chatwheel_label_medusa_deny"	"In your face."
"dota_chatwheel_message_medusa_1"	"毒蛇不是你能抵抗的，小鸟。"
"[english]dota_chatwheel_message_medusa_1"	"Don't resist the cobra, little bird."
"dota_chatwheel_label_medusa_1"	"毒蛇不是你能抵抗的。"
"[english]dota_chatwheel_label_medusa_1"	"Don't resist the cobra"
"dota_chatwheel_message_medusa_2"	"该死！"
"[english]dota_chatwheel_message_medusa_2"	"Oh, crap!"
"dota_chatwheel_label_medusa_2"	"该死！"
"[english]dota_chatwheel_label_medusa_2"	"Oh, crap."
"dota_chatwheel_message_medusa_3"	"你知道我很冷血。"
"[english]dota_chatwheel_message_medusa_3"	"You knew I was cold-blooded."
"dota_chatwheel_label_medusa_3"	"你知道我很冷血。"
"[english]dota_chatwheel_label_medusa_3"	"You knew I was cold-blooded."
"dota_chatwheel_message_medusa_4"	"毒蛇要反击了。"
"[english]dota_chatwheel_message_medusa_4"	"The snake strikes back."
"dota_chatwheel_label_medusa_4"	"毒蛇要反击了。"
"[english]dota_chatwheel_label_medusa_4"	"The snake strikes back."
"dota_chatwheel_message_medusa_5"	"大家不要互相看！"
"[english]dota_chatwheel_message_medusa_5"	"Nobody look at anybody!"
"dota_chatwheel_label_medusa_5"	"大家不要互相看！"
"[english]dota_chatwheel_label_medusa_5"	"Nobody look at anybody!"
"dota_chatwheel_message_troll_warlord_laugh"	"呀哈哈哈哈哈哈哈。"
"[english]dota_chatwheel_message_troll_warlord_laugh"	"Yaaahahahaahhah."
"dota_chatwheel_label_troll_warlord_laugh"	"大笑"
"[english]dota_chatwheel_label_troll_warlord_laugh"	"Laugh"
"dota_chatwheel_message_troll_warlord_thank"	"疯狂吧！"
"[english]dota_chatwheel_message_troll_warlord_thank"	"Go crazy!"
"dota_chatwheel_label_troll_warlord_thank"	"疯狂吧！"
"[english]dota_chatwheel_label_troll_warlord_thank"	"Go crazy!"
"dota_chatwheel_message_troll_warlord_deny"	"真不幸。"
"[english]dota_chatwheel_message_troll_warlord_deny"	"Unfortunate."
"dota_chatwheel_label_troll_warlord_deny"	"真不幸。"
"[english]dota_chatwheel_label_troll_warlord_deny"	"Unfortunate."
"dota_chatwheel_message_troll_warlord_1"	"回来，再死一次吧。"
"[english]dota_chatwheel_message_troll_warlord_1"	"Come back and die again."
"dota_chatwheel_label_troll_warlord_1"	"回来……"
"[english]dota_chatwheel_label_troll_warlord_1"	"Come back..."
"dota_chatwheel_message_troll_warlord_2"	"就你也能上场，开玩笑的吧。"
"[english]dota_chatwheel_message_troll_warlord_2"	"You've got to be kidding."
"dota_chatwheel_label_troll_warlord_2"	"就你也能上场，开玩笑的吧。"
"[english]dota_chatwheel_label_troll_warlord_2"	"You've gotta be kidding."
"dota_chatwheel_message_troll_warlord_3"	"试着别去送。"
"[english]dota_chatwheel_message_troll_warlord_3"	"Try not to feed."
"dota_chatwheel_label_troll_warlord_3"	"试着别去送。"
"[english]dota_chatwheel_label_troll_warlord_3"	"Try not to feed."
"dota_chatwheel_message_troll_warlord_4"	"这不可能发生。"
"[english]dota_chatwheel_message_troll_warlord_4"	"This can't be happening."
"dota_chatwheel_label_troll_warlord_4"	"这不可能发生。"
"[english]dota_chatwheel_label_troll_warlord_4"	"This can't be happening."
"dota_chatwheel_message_troll_warlord_5"	"为什么没人喜欢我？"
"[english]dota_chatwheel_message_troll_warlord_5"	"Why doesn't anybody like me?"
"dota_chatwheel_label_troll_warlord_5"	"为什么没人喜欢我？"
"[english]dota_chatwheel_label_troll_warlord_5"	"Why doesn't anybody like me?"
"dota_chatwheel_message_centaur_laugh"	"呵哈哈哈哈哈哈！"
"[english]dota_chatwheel_message_centaur_laugh"	"Heheeeh hahah ehha."
"dota_chatwheel_label_centaur_laugh"	"大笑"
"[english]dota_chatwheel_label_centaur_laugh"	"Laugh"
"dota_chatwheel_message_centaur_thank"	"你的名字我万分尊敬。"
"[english]dota_chatwheel_message_centaur_thank"	"I shall honor your name."
"dota_chatwheel_label_centaur_thank"	"你的名字我万分尊敬。"
"[english]dota_chatwheel_label_centaur_thank"	"I shall honor your name."
"dota_chatwheel_message_centaur_deny"	"马蹄践踏。"
"[english]dota_chatwheel_message_centaur_deny"	"Stomped."
"dota_chatwheel_label_centaur_deny"	"马蹄践踏。"
"[english]dota_chatwheel_label_centaur_deny"	"Stomped."
"dota_chatwheel_message_centaur_1"	"嗯。"
"[english]dota_chatwheel_message_centaur_1"	"Mmmmm."
"dota_chatwheel_label_centaur_1"	"嗯。"
"[english]dota_chatwheel_label_centaur_1"	"Mmmmmm."
"dota_chatwheel_message_centaur_2"	"浪费啊。"
"[english]dota_chatwheel_message_centaur_2"	"What a waste."
"dota_chatwheel_label_centaur_2"	"浪费啊。"
"[english]dota_chatwheel_label_centaur_2"	"What a waste."
"dota_chatwheel_message_centaur_3"	"和你一起回地狱。"
"[english]dota_chatwheel_message_centaur_3"	"Back to hell with you."
"dota_chatwheel_label_centaur_3"	"和你一起回地狱。"
"[english]dota_chatwheel_label_centaur_3"	"Back to hell with you."
"dota_chatwheel_message_centaur_4"	"你无路可逃。"
"[english]dota_chatwheel_message_centaur_4"	"You had no chance."
"dota_chatwheel_label_centaur_4"	"你无路可逃。"
"[english]dota_chatwheel_label_centaur_4"	"You had no chance."
"dota_chatwheel_message_centaur_5"	"自损八百，伤敌一千。"
"[english]dota_chatwheel_message_centaur_5"	"Hurts you more than it hurts me."
"dota_chatwheel_label_centaur_5"	"自损八百，伤敌一千。"
"[english]dota_chatwheel_label_centaur_5"	"Hurts you more than it hurts me."
"dota_chatwheel_message_magnataur_laugh"	"啊哈哈。"
"[english]dota_chatwheel_message_magnataur_laugh"	"Ah ha ha."
"dota_chatwheel_label_magnataur_laugh"	"大笑"
"[english]dota_chatwheel_label_magnataur_laugh"	"Laugh"
"dota_chatwheel_message_magnataur_thank"	"是的，这正是我想要的。"
"[english]dota_chatwheel_message_magnataur_thank"	"Yes, this will do just fine."
"dota_chatwheel_label_magnataur_thank"	"这正是我想要的。"
"[english]dota_chatwheel_label_magnataur_thank"	"This will do just fine."
"dota_chatwheel_message_magnataur_deny"	"真差劲！"
"[english]dota_chatwheel_message_magnataur_deny"	"This is bullshit!"
"dota_chatwheel_label_magnataur_deny"	"真差劲！"
"[english]dota_chatwheel_label_magnataur_deny"	"This is bullshit!"
"dota_chatwheel_message_magnataur_1"	"哈哈哈！你还在期待什么呢？"
"[english]dota_chatwheel_message_magnataur_1"	"Ha ha ha ha! What did you expect?"
"dota_chatwheel_label_magnataur_1"	"你还在期待什么呢？"
"[english]dota_chatwheel_label_magnataur_1"	"What did you expect?"
"dota_chatwheel_message_magnataur_2"	"不是开玩笑吧？"
"[english]dota_chatwheel_message_magnataur_2"	"Are you kidding me?"
"dota_chatwheel_label_magnataur_2"	"不是开玩笑吧？"
"[english]dota_chatwheel_label_magnataur_2"	"Are you kidding me?"
"dota_chatwheel_message_magnataur_3"	"这是家常便饭。"
"[english]dota_chatwheel_message_magnataur_3"	"All in a day's work."
"dota_chatwheel_label_magnataur_3"	"这是家常便饭。"
"[english]dota_chatwheel_label_magnataur_3"	"All in a day's work."
"dota_chatwheel_message_magnataur_4"	"真丢人。"
"[english]dota_chatwheel_message_magnataur_4"	"How shameful."
"dota_chatwheel_label_magnataur_4"	"真丢人。"
"[english]dota_chatwheel_label_magnataur_4"	"How shameful."
"dota_chatwheel_message_magnataur_5"	"我告诉你。谁敢碰我的角，我就打烂他的脸。"
"[english]dota_chatwheel_message_magnataur_5"	"I tell you what. You touch my horn, I break your face."
"dota_chatwheel_label_magnataur_5"	"碰我的角就打烂他的脸。"
"[english]dota_chatwheel_label_magnataur_5"	"Touch my horn, break your face."
"dota_chatwheel_message_shredder_laugh"	"呵呵呵呵呵！"
"[english]dota_chatwheel_message_shredder_laugh"	"He he he he he!"
"dota_chatwheel_label_shredder_laugh"	"大笑"
"[english]dota_chatwheel_label_shredder_laugh"	"Laugh"
"dota_chatwheel_message_shredder_thank"	"我差不多信任你了。"
"[english]dota_chatwheel_message_shredder_thank"	"I almost trust you."
"dota_chatwheel_label_shredder_thank"	"我差不多信任你了。"
"[english]dota_chatwheel_label_shredder_thank"	"I almost trust you."
"dota_chatwheel_message_shredder_deny"	"你疯了没？因为我疯了哈哈。"
"[english]dota_chatwheel_message_shredder_deny"	"You mad? Cuz I am!"
"dota_chatwheel_label_shredder_deny"	"你疯了没？"
"[english]dota_chatwheel_label_shredder_deny"	"You mad?"
"dota_chatwheel_message_shredder_1"	"哦好极了哈哈。"
"[english]dota_chatwheel_message_shredder_1"	"Oh yeah ha ha."
"dota_chatwheel_label_shredder_1"	"哦好极了哈哈。"
"[english]dota_chatwheel_label_shredder_1"	"Oh yeah ha ha."
"dota_chatwheel_message_shredder_2"	"哦！哦！哦你看到这个了吗？看到了吗？哦这就是我一直想要的！哦我太开心了！"
"[english]dota_chatwheel_message_shredder_2"	"Oh! Oh! Oh-oh-you see this? You see? Oh this is what I've always wanted! Oh I'm so happy!"
"dota_chatwheel_label_shredder_2"	"这就是我一直想要的！"
"[english]dota_chatwheel_label_shredder_2"	"What I've always wanted!"
"dota_chatwheel_message_shredder_3"	"哦天呐，我好晕我要吐了。"
"[english]dota_chatwheel_message_shredder_3"	"Oh god I think I'm going to be sick."
"dota_chatwheel_label_shredder_3"	"哦天呐，我好晕我要吐了。"
"[english]dota_chatwheel_label_shredder_3"	"Oh god I think I'm going to be sick."
"dota_chatwheel_message_shredder_4"	"看到自己死了吗？哈，这是个冷笑话。"
"[english]dota_chatwheel_message_shredder_4"	"Saw that coming. Ha! Get it?"
"dota_chatwheel_label_shredder_4"	"看到自己死了吗？"
"[english]dota_chatwheel_label_shredder_4"	"Saw that coming!"
"dota_chatwheel_message_shredder_5"	"跑呀跑呀跑呀跑呀跑跑跑跑跑跑跑跑跑跑跑！"
"[english]dota_chatwheel_message_shredder_5"	"Run run run run runrunrunrunrunrunrunrunrunrunrunrunrunrunrunrunrunrun!"
"dota_chatwheel_label_shredder_5"	"跑呀跑呀跑呀跑呀跑！"
"[english]dota_chatwheel_label_shredder_5"	"Run run runrun runrunrun!"
"dota_chatwheel_message_bristleback_laugh"	"呵呵哈哈哈。"
"[english]dota_chatwheel_message_bristleback_laugh"	"Hehey hahaha."
"dota_chatwheel_label_bristleback_laugh"	"大笑"
"[english]dota_chatwheel_label_bristleback_laugh"	"Laugh"
"dota_chatwheel_message_bristleback_thank"	"无忧无虑。"
"[english]dota_chatwheel_message_bristleback_thank"	"Bright and breezy."
"dota_chatwheel_label_bristleback_thank"	"无忧无虑。"
"[english]dota_chatwheel_label_bristleback_thank"	"Bright and breezy."
"dota_chatwheel_message_bristleback_deny"	"啊，现在我爽了。"
"[english]dota_chatwheel_message_bristleback_deny"	"Ah, now I feel better."
"dota_chatwheel_label_bristleback_deny"	"现在我爽了。"
"[english]dota_chatwheel_label_bristleback_deny"	"Now I feel better."
"dota_chatwheel_message_bristleback_1"	"哦，真带劲。"
"[english]dota_chatwheel_message_bristleback_1"	"Oooh, that's lovely days."
"dota_chatwheel_label_bristleback_1"	"真带劲！"
"[english]dota_chatwheel_label_bristleback_1"	"That's lovely!"
"dota_chatwheel_message_bristleback_2"	"没门。"
"[english]dota_chatwheel_message_bristleback_2"	"No way."
"dota_chatwheel_label_bristleback_2"	"没门。"
"[english]dota_chatwheel_label_bristleback_2"	"No way."
"dota_chatwheel_message_bristleback_3"	"哦，想要来点这个吗？"
"[english]dota_chatwheel_message_bristleback_3"	"Oh, you want some of this… eh?"
"dota_chatwheel_label_bristleback_3"	"想要来点这个吗？"
"[english]dota_chatwheel_label_bristleback_3"	"You want some of this?"
"dota_chatwheel_message_bristleback_4"	"让我们听听你的尖叫声。"
"[english]dota_chatwheel_message_bristleback_4"	"Let's hear ya squeal."
"dota_chatwheel_label_bristleback_4"	"让我们听听你的尖叫声。"
"[english]dota_chatwheel_label_bristleback_4"	"Let's hear you squeal."
"dota_chatwheel_message_bristleback_5"	"好，又是谁活得不耐烦了。"
"[english]dota_chatwheel_message_bristleback_5"	"Well, what have we here."
"dota_chatwheel_label_bristleback_5"	"又是谁。"
"[english]dota_chatwheel_label_bristleback_5"	"What have we here."
"dota_chatwheel_message_tusk_laugh"	"哈哈哈哈哈！"
"[english]dota_chatwheel_message_tusk_laugh"	"Oh boy! Ha ha ha ha ha!"
"dota_chatwheel_label_tusk_laugh"	"大笑"
"[english]dota_chatwheel_label_tusk_laugh"	"Laugh"
"dota_chatwheel_message_tusk_thank"	"拳拳到肉。"
"[english]dota_chatwheel_message_tusk_thank"	"Fist Bump."
"dota_chatwheel_label_tusk_thank"	"拳拳到肉。"
"[english]dota_chatwheel_label_tusk_thank"	"Fist Bump."
"dota_chatwheel_message_tusk_deny"	"好吧，我尽力了。"
"[english]dota_chatwheel_message_tusk_deny"	"Well I tried."
"dota_chatwheel_label_tusk_deny"	"好吧，我尽力了。"
"[english]dota_chatwheel_label_tusk_deny"	"Well I tried."
"dota_chatwheel_message_tusk_1"	"你还好吗？"
"[english]dota_chatwheel_message_tusk_1"	"Are you okay?"
"dota_chatwheel_label_tusk_1"	"你还好吗？"
"[english]dota_chatwheel_label_tusk_1"	"Are you ok?"
"dota_chatwheel_message_tusk_2"	"怎么搞的！"
"[english]dota_chatwheel_message_tusk_2"	"Dohmvzm!"
"dota_chatwheel_label_tusk_2"	"怎么搞的！"
"[english]dota_chatwheel_label_tusk_2"	"Dohmvzm!"
"dota_chatwheel_message_tusk_3"	"巨牙-海民。"
"[english]dota_chatwheel_message_tusk_3"	"Tusky-duskie."
"dota_chatwheel_label_tusk_3"	"巨牙-海民。"
"[english]dota_chatwheel_label_tusk_3"	"Tusky-duskie."
"dota_chatwheel_message_tusk_4"	"哦，那一定很痛！"
"[english]dota_chatwheel_message_tusk_4"	"Oh, that had to hurt!"
"dota_chatwheel_label_tusk_4"	"哦，那一定很痛！"
"[english]dota_chatwheel_label_tusk_4"	"Oh, that had to hurt!"
"dota_chatwheel_message_tusk_5"	"这，失败成球了。"
"[english]dota_chatwheel_message_tusk_5"	"That was a big ball of failure."
"dota_chatwheel_label_tusk_5"	"失败成球了。"
"[english]dota_chatwheel_label_tusk_5"	"Big ball of failure."
"dota_chatwheel_message_skywrath_mage_laugh"	"哈哈！"
"[english]dota_chatwheel_message_skywrath_mage_laugh"	"Ha ha!"
"dota_chatwheel_label_skywrath_mage_laugh"	"大笑"
"[english]dota_chatwheel_label_skywrath_mage_laugh"	"Laugh"
"dota_chatwheel_message_skywrath_mage_thank"	"我不会检举你。"
"[english]dota_chatwheel_message_skywrath_mage_thank"	"I shall not report you."
